step,kernel_us,overhead_us,total_us,new_best
1,21905.4,87541.7,109447,1
2,51013.3,27363.6,78376.9,0
3,18236.8,28301.3,46538.1,1
4,10583.6,26882.9,37466.5,1
5,12131.7,30570.8,42702.5,0
6,11505,27556.7,39061.7,0
7,20739.2,27246.2,47985.4,0
8,13080.1,31022.4,44102.5,0
9,16343.4,31254.9,47598.2,0
10,11450.7,29338.3,40788.9,0
11,14066.1,31262.3,45328.4,0
12,16042.3,29496.5,45538.8,0
13,46816.2,28465.7,75282,0
14,22432.1,34290.4,56722.6,0
15,11842.7,28019,39861.7,0
16,17903.3,29414.3,47317.6,0
17,16626.6,29429.8,46056.4,0
18,10700.1,29656.8,40356.8,0
19,8951.49,28588.1,37539.6,1
20,16215.7,29179.1,45394.8,0
21,19689,29095.1,48784.1,0
22,14008.4,28703.5,42711.8,0
23,27870.9,31897.8,59768.7,0
24,10367.4,28175.6,38543,0
25,11489.3,26457.2,37946.5,0
26,22680.6,27484.5,50165.1,0
27,19987.6,25725.4,45712.9,0
28,16879.4,23832.5,40711.8,0
29,23721.7,22906.3,46627.9,0
30,19099.4,20323,39422.4,0
31,26972.2,22238.8,49211,0
32,20122.4,21968.3,42090.6,0
33,15388.5,24173.4,39562,0
34,16003.9,19710.8,35714.7,0
35,23227.3,22967.4,46194.7,0
36,18875.8,24954.2,43830,0
37,18165,28651,46816,0
38,12860,30723.3,43583.3,0
39,23929.5,28916.7,52846.1,0
40,10017.1,29458.2,39475.3,0
41,10528.4,28413.7,38942.1,0
42,47449.4,26859,74308.4,0
43,17175.3,28118.5,45293.9,0
44,39419.4,30942.3,70361.8,0
45,11063.5,29027.8,40091.3,0
46,16969,27599.1,44568.1,0
47,21209.6,27388.8,48598.4,0
48,15874.1,28504,44378.1,0
49,11664.7,30750.6,42415.3,0
50,36841.6,31519.9,68361.5,0
51,14968.2,30601.9,45570.1,0
52,27832.7,26843.4,54676.1,0
53,11930,29950.5,41880.5,0
54,15390.4,29556.7,44947,0
55,19529.2,28320.2,47849.3,0
56,24776,28008.1,52784.1,0
57,26508.4,31427.9,57936.3,0
58,33847.9,28810.1,62658.1,0
59,15842.5,29537.1,45379.6,0
60,34399.6,28870,63269.6,0
61,12055.7,34265.4,46321.1,0
62,16224.3,28215.2,44439.5,0
63,31819.9,30927.4,62747.3,0
64,20382.1,34158.5,54540.7,0
65,15676.1,28672.3,44348.4,0
66,22623.7,32268.6,54892.3,0
67,10754.8,29573.1,40327.8,0
68,12207.2,27781.8,39989.1,0
69,12202.6,29876.2,42078.8,0
70,11611.7,27968.5,39580.2,0
71,21842.4,29673,51515.3,0
72,10966.1,30907,41873.1,0
73,22019,31386.1,53405.1,0
74,9800.06,30509.2,40309.3,0
75,19501.4,33089.3,52590.7,0
76,15303.1,29141.5,44444.6,0
77,13363.6,29911.8,43275.4,0
78,11530.9,30224,41754.9,0
79,18802.4,30056.2,48858.7,0
80,13142,31763.9,44906,0
81,19531.5,29545.9,49077.3,0
82,15884,27163.9,43047.9,0
83,12989.1,29588.1,42577.2,0
84,23680.4,31528,55208.4,0
85,17283.2,29527.5,46810.6,0
86,19662.2,29550.1,49212.3,0
87,12106.7,29795.1,41901.8,0
88,13349.6,31515.1,44864.7,0
89,11579.1,30137.9,41717,0
90,18528.5,31635.6,50164.1,0
91,20709,33111.7,53820.7,0
92,20398.4,26974.3,47372.8,0
93,20556.9,32094.4,52651.3,0
94,18377.2,30958.5,49335.6,0
95,10741,30193,40934,0
96,12109.5,28472.1,40581.6,0
97,18904,29180,48084,0
98,21524,28023.3,49547.3,0
99,13200.3,29243.8,42444.1,0
100,18998.7,31953.2,50951.9,0
101,12752.8,30603.4,43356.2,0
102,15577.1,32283.1,47860.2,0
103,9111.68,29779.5,38891.2,0
104,11583.3,31199.8,42783.1,0
105,28563.9,30804.3,59368.2,0
106,12043.9,29960.6,42004.5,0
107,8578.08,30899.3,39477.4,1
108,12009.8,30415.9,42425.7,0
109,29678,31270.6,60948.7,0
110,12929.3,30426.1,43355.4,0
111,32515.6,31532.6,64048.2,0
112,13198.3,35618.5,48816.8,0
113,34185.1,31352.4,65537.5,0
114,16499.7,27362.9,43862.6,0
115,20804.2,29919.2,50723.5,0
116,23399,26406.7,49805.7,0
117,11347.7,29991.4,41339.1,0
118,9027.23,32811.3,41838.5,0
119,15465.9,30096.3,45562.1,0
120,16637.1,30239.4,46876.5,0
121,32084.7,27885.2,59969.9,0
122,11437.8,30225,41662.8,0
123,12281.4,29672.5,41953.9,0
124,15284.1,31486.1,46770.2,0
125,17259.6,30824.7,48084.4,0
126,10558.8,29938.3,40497.1,0
127,18902.4,27605.1,46507.6,0
128,10228,33264.8,43492.7,0
129,51230.8,27950.1,79180.9,0
130,16978.3,27895.4,44873.8,0
131,12848.6,32524,45372.6,0
132,22637.9,32080.5,54718.4,0
133,11172.6,27864.2,39036.8,0
134,22619.4,30560.9,53180.3,0
135,38646.6,31631.8,70278.4,0
136,25023.3,28715.2,53738.5,0
137,12155.6,29824.2,41979.8,0
138,20503,29499,50002.1,0
139,17543.2,32397,49940.3,0
140,41678.7,30163.7,71842.4,0
141,11521.9,26296.1,37817.9,0
142,22616.9,26820.8,49437.7,0
143,10694.5,33959.7,44654.2,0
144,21970.9,25062.7,47033.7,0
145,53921.5,28557.6,82479.1,0
146,19580.4,30338.4,49918.8,0
147,23831.4,31964,55795.4,0
148,43878.1,28954.1,72832.2,0
149,20265.5,33959.1,54224.6,0
150,18797.5,31176.9,49974.4,0
151,16941.3,30948.7,47890,0
152,33500.9,32174.6,65675.5,0
153,14658,30300.5,44958.5,0
154,9329.25,29240.5,38569.7,0
155,21605,28089,49694,0
156,13855.3,29994.6,43849.9,0
157,19851.2,29965.6,49816.8,0
158,10135.6,30699.1,40834.7,0
159,18620.5,27756.2,46376.6,0
160,26796.5,33863.4,60660,0
161,17514.5,28571.6,46086.1,0
162,14477.6,32247.2,46724.8,0
163,12893.9,32567.2,45461.1,0
164,18842.8,28977.9,47820.8,0
165,11795.1,29629.8,41425,0
166,11280,28553.8,39833.8,0
167,32588.2,30312.4,62900.6,0
168,22439,30503.8,52942.8,0
169,21753.6,29793.4,51547,0
170,22818.8,27773.6,50592.4,0
171,21272.8,34443.2,55716.1,0
172,45786,28719,74505,0
173,10737.7,32091.5,42829.2,0
174,11821.3,31786,43607.3,0
175,10608.7,31160.7,41769.4,0
176,22229.8,28103.1,50332.9,0
177,14846.3,28258.9,43105.2,0
178,73085,28324.1,101409,0
179,21597.8,31758.7,53356.5,0
180,33389.9,32052.3,65442.1,0
181,21044.5,29710.6,50755.2,0
182,11951.9,33405.5,45357.5,0
183,13689,28339.6,42028.6,0
184,17220.9,29616.8,46837.6,0
185,20133.5,30030.8,50164.3,0
186,13359.4,29880.8,43240.2,0
187,18949.3,30569.1,49518.4,0
188,16972.4,29642.3,46614.7,0
189,16415.1,30445.8,46861,0
190,15985.3,29627,45612.4,0
191,15127.2,29873,45000.2,0
192,14142.8,35375.7,49518.5,0
193,15225.1,28703.5,43928.6,0
194,28422.4,27433.6,55856,0
195,31568.6,29546.8,61115.4,0
196,26550,29680.9,56230.9,0
197,12733.2,29829.6,42562.8,0
198,17539.5,29877.9,47417.3,0
199,17985.1,30764.4,48749.4,0
200,56440,30293.7,86733.7,0
201,41448.6,31901.5,73350,0
202,18342.5,33383.7,51726.3,0
203,21780.6,28601.9,50382.5,0
204,20116.6,28739,48855.6,0
205,10446,29079.1,39525.1,0
206,8561.63,30978.2,39539.8,1
207,20443,28054.3,48497.4,0
208,34993.7,29695.6,64689.3,0
209,13658.6,27163.1,40821.7,0
210,14620.7,31781.6,46402.3,0
211,23529,27367.4,50896.4,0
212,12713.5,28493.7,41207.2,0
213,29800.4,30119.3,59919.7,0
214,13606,29717.1,43323.1,0
215,21026.5,27638.2,48664.7,0
216,14863.7,30528.2,45391.9,0
217,23099.1,29623.9,52723,0
218,12061.1,30907.2,42968.3,0
219,24935.1,29330.5,54265.6,0
220,24193.9,28600.8,52794.6,0
221,11755.2,30517.5,42272.7,0
222,39349.3,29767.8,69117.1,0
223,13865.1,31536.2,45401.2,0
224,11421.4,30227.5,41649,0
225,16500.1,26471,42971.1,0
226,21489.3,29328.5,50817.7,0
227,10340.1,30555.4,40895.5,0
228,13372.6,27535.8,40908.4,0
229,13996.5,28416.8,42413.3,0
230,10988.4,26891.8,37880.2,0
231,27425.1,28399.3,55824.3,0
232,17164.8,28266.4,45431.2,0
233,22968.1,29390,52358.1,0
234,23469.4,26883.2,50352.5,0
235,38840.6,31409.7,70250.3,0
236,19109.2,32798.3,51907.5,0
237,9227.07,33699.9,42927,0
238,14917.9,30075.6,44993.4,0
239,53157.4,28452.2,81609.6,0
240,11428.1,34740.1,46168.2,0
241,9015.26,30329.1,39344.4,0
242,13006.4,30423.5,43429.8,0
243,23705.5,29891.5,53597,0
244,15923.6,28585.5,44509.1,0
245,18846.4,28650.8,47497.1,0
246,11198.8,28339.2,39538.1,0
247,36231.7,33843.2,70074.9,0
248,13653.9,32240.2,45894.1,0
249,71830.1,28817,100647,0
250,11058.4,25938.9,36997.3,0
251,23079.9,32990,56069.9,0
252,11375.1,27662.1,39037.2,0
253,11323.3,31104.1,42427.4,0
254,15137.3,25914.7,41052,0
255,24813.3,27628.1,52441.4,0
256,25890,26538.2,52428.2,0
257,27171,31091.2,58262.3,0
258,34813.2,28910.3,63723.4,0
259,8522.08,32387.6,40909.7,1
260,19602,28583.3,48185.3,0
261,18216.7,27847.7,46064.4,0
262,12112.3,28620.8,40733.1,0
263,14498.7,29725.8,44224.4,0
264,26427.6,29472.2,55899.8,0
265,19539.3,29443.5,48982.8,0
266,15485.5,29595.8,45081.3,0
267,24603.3,31470.6,56073.9,0
268,20540.3,26132.3,46672.5,0
269,21634.4,32177.7,53812,0
270,17659.9,34661.6,52321.5,0
271,50221.9,33188.9,83410.7,0
272,14710.3,33165.1,47875.4,0
273,23869.9,28989.8,52859.7,0
274,20959.2,28237.9,49197.1,0
275,24828.3,31663,56491.3,0
276,26371.6,28322,54693.7,0
277,15673.6,29053.7,44727.4,0
278,13489.3,29672.5,43161.8,0
279,14610.8,27770.4,42381.2,0
280,13510.8,27622.3,41133.1,0
281,30150.8,28252.7,58403.5,0
282,11301.6,28365.3,39666.9,0
283,37805.4,29676.7,67482.1,0
284,11703.9,32935,44638.9,0
285,16430.1,28032.2,44462.3,0
286,26355,30171.2,56526.2,0
287,14856.3,29786.6,44642.9,0
288,13655.9,30324.4,43980.2,0
289,38989.3,39130.6,78119.9,0
290,16393.5,33815.1,50208.7,0
291,20462.9,30059.4,50522.3,0
292,15742.3,29202.4,44944.7,0
293,22286.9,26926.4,49213.3,0
294,22619,28061.4,50680.4,0
295,12071.2,29384.2,41455.4,0
296,36279.7,29723.1,66002.7,0
297,11849,31474.4,43323.3,0
298,11592,30426.7,42018.6,0
299,10799.4,27663.1,38462.5,0
300,20707.2,29938.2,50645.5,0
301,37983,29762.6,67745.6,0
302,12436.9,29769.3,42206.2,0
303,14330.5,31455.4,45785.9,0
304,16829.3,26266.5,43095.8,0
305,24180.4,31270.7,55451.1,0
306,27481.1,28084.7,55565.7,0
307,16494.7,28963.2,45457.9,0
308,20231.7,28298.5,48530.2,0
309,12264.5,28059.1,40323.7,0
310,21441,28408.5,49849.5,0
311,11444.3,29240,40684.4,0
312,17193.4,26241.3,43434.7,0
313,22365,27482.9,49847.9,0
314,9272.48,27826.3,37098.7,0
315,11734.6,28432.2,40166.7,0
316,19917.5,26200.2,46117.7,0
317,10066.2,31530.3,41596.4,0
318,21733.2,26950.4,48683.7,0
319,26717.4,30406.5,57123.9,0
320,28046.9,28053.1,56100,0
321,15296.1,28353.4,43649.5,0
322,12243.4,33289.8,45533.2,0
323,30851.1,30427.3,61278.4,0
324,17716.1,28506.6,46222.7,0
325,29550.6,29999.2,59549.9,0
326,20277.2,28203.7,48481,0
327,19001.3,28666.5,47667.9,0
328,15988.1,28539.8,44528,0
329,19349.9,31378.5,50728.4,0
330,13538.6,28419.7,41958.3,0
331,26995.8,27038.2,54034,0
332,26072.3,28284.4,54356.6,0
333,17635.4,27890.8,45526.1,0
334,9135.9,26164.7,35300.6,0
335,50646.8,22364.8,73011.6,0
336,15167.9,30146.9,45314.8,0
337,11700.9,27368.9,39069.7,0
338,14379,29734.7,44113.7,0
339,14834.7,29430.6,44265.3,0
340,20799.2,27568.8,48368,0
341,15513.3,28102.7,43616.1,0
342,27382.8,29772.8,57155.5,0
343,14948.2,27811.1,42759.3,0
344,10260.1,28341.9,38602,0
345,28847.4,28955.1,57802.5,0
346,20599.8,26205,46804.8,0
347,30651.6,26837.8,57489.4,0
348,8573.18,30222,38795.2,0
349,23189.9,27463.4,50653.3,0
350,12122.9,31329.3,43452.3,0
351,15731.6,27887.8,43619.5,0
352,15785.5,28633.6,44419.1,0
353,22246.8,28318.1,50564.9,0
354,21323.9,28776.6,50100.5,0
355,21839.7,28419.3,50259,0
356,11505.6,32045,43550.6,0
357,19940.4,27989.3,47929.7,0
358,9365.06,30932.8,40297.9,0
359,18345.7,30880.3,49226,0
360,41427.7,27944.3,69372,0
361,15787.6,29501.4,45289,0
362,38327.2,29388.3,67715.5,0
363,9960.06,32244.8,42204.8,0
364,17549.3,28823.5,46372.8,0
365,10447,29788.6,40235.6,0
366,14086.6,29054.6,43141.2,0
367,26318.7,31090.5,57409.2,0
368,28039.5,29847.7,57887.2,0
369,11153.6,27335.9,38489.5,0
370,15488.5,27510,42998.5,0
371,11748.1,28254.6,40002.7,0
372,17437.4,27700.2,45137.6,0
373,46151.3,28505.8,74657.1,0
374,8575.58,31452.6,40028.2,0
375,28024.3,28522.3,56546.6,0
376,23003.1,32378.9,55382,0
377,12182.9,29491.5,41674.4,0
378,10803.7,30411.1,41214.7,0
379,31963.6,29089.2,61052.8,0
380,25388.6,25579.5,50968.2,0
381,30831.3,21501.2,52332.5,0
382,38590,54155.3,92745.3,0
383,23202.1,32370.7,55572.9,0
384,26928.9,27872.8,54801.7,0
385,21019.3,28708,49727.3,0
386,18643.6,29144.4,47788,0
387,18417.8,30580,48997.7,0
388,20562.8,28853.3,49416,0
389,17316.8,27813.9,45130.7,0
390,31823.1,29309,61132.1,0
391,32682.5,31753.2,64435.6,0
392,19108.9,27377.2,46486.2,0
393,41096.3,31439.4,72535.6,0
394,31399.1,29556.3,60955.4,0
395,24456.2,28849.6,53305.8,0
