step,kernel_us,overhead_us,total_us,new_best,budget
1,16157,86571,102728,1,2000
2,16319.9,28648.4,44968.3,0,1999
3,10571.3,27098.7,37669.9,1,1998
4,37099.5,35141.9,72241.3,0,1997
5,13942.9,28613.5,42556.4,0,1996
6,52106.6,28233.4,80340,0,1995
7,24211.6,29921.2,54132.8,0,1994
8,23660.8,27532.2,51193.1,0,1993
9,16882,28514.6,45396.6,0,1992
10,18498.6,30491,48989.6,0,1991
11,14580.4,30096.8,44677.2,0,1990
12,33883.9,29711.9,63595.8,0,1989
13,41624.4,28633.5,70257.8,0,1988
14,19472.4,26004,45476.4,0,1987
15,20847.6,28615.6,49463.2,0,1986
16,21057.5,29178.6,50236.1,0,1985
17,11966.8,28971.1,40937.9,0,1
18,9839.49,28694.8,38534.3,1,0
