HW / # of runs / method / overhead,Performance decline (%)
"['GPU-750', '10000', '0.0', '100000']",10.616934643231062
"['GPU-750', '10000', '0.0', '1000000']",25.745760002091263
"['GPU-750', '10000', '1.0', '1000000']",25.295659645105058
"['GPU-750', '10000', '0.5', '1000000']",25.686726176617032
"['GPU-750', '1000000', '0.0', '1000000']",15.078163530086778
"['GPU-750', '10000', '1.0', '100000']",10.45930368563733
"['GPU-750', '10000', '0.5', '100000']",10.276305187221674
"['GPU-1070', '10000', '0.0', '100000']",14.880680577631248
"['GPU-1070', '10000', '0.0', '1000000']",129.63999609226292
"['GPU-1070', '10000', '1.0', '100000']",15.457193026379953
"['GPU-1070', '10000', '1.0', '1000000']",126.74745216511327
"['GPU-1070', '10000', '0.5', '1000000']",125.70371164223411
"['GPU-1070', '10000', '0.5', '100000']",15.09984318766594
"['GPU-750', '1000000', '0.0', '100000']",19.424743926995834
"['GPU-750', '1000000', '1.0', '1000000']",20.78253185167193
"['GPU-1070', '1000000', '1.0', '1000000']",17.633302389647007
"['GPU-1070', '1000000', '0.0', '1000000']",9.43659924506023
"['GPU-1070', '1000000', '1.0', '100000']",32.90215304694653
"['GPU-2080', '10000', '1.0', '100000']",8.475940119063257
"['GPU-2080', '10000', '0.0', '100000']",8.088120720534395
"['GPU-2080', '10000', '0.0', '1000000']",27.999904777210066
"['GPU-2080', '10000', '1.0', '1000000']",27.229747322838172
"['GPU-750', '1000000', '1.0', '100000']",28.448460237096658
"['GPU-2080', '10000', '0.5', '1000000']",27.357279847475436
"['GPU-2080', '10000', '0.5', '100000']",8.34959181773159
"['GPU-1070', '1000000', '0.0', '100000']",6.86262696890165
"['GPU-2080', '1000000', '1.0', '1000000']",17.96516282557608
"['GPU-2080', '1000000', '0.0', '100000']",17.225465888730476
"['GPU-2080', '1000000', '0.0', '1000000']",13.028444689721146
"['GPU-750', '1000000', '0.5', '1000000']",11.62005186970012
"['GPU-1070', '1000000', '0.5', '1000000']",10.751286340567487
"['GPU-2080', '1000000', '1.0', '100000']",25.21491827711707
"['GPU-2080', '1000000', '0.5', '1000000']",10.93098651135962
"['GPU-1070', '1000000', '0.5', '100000']",6.844971431463049
"['GPU-2080', '1000000', '0.5', '100000']",7.678624668899352
"['GPU-750', '1000000', '0.5', '100000']",6.628098470475886
