HW / # of runs / method / overhead,Performance decline (%)
"['GPU-750', '10000', '0.0', '1000000']",25.92051745031399
"['GPU-750', '10000', '1.0', '1000000']",25.225086025921513
"['GPU-750', '10000', '0.5', '1000000']",25.822311351002437
"['GPU-750', '10000', '0.0', '10000']",14.003097209176108
"['GPU-750', '10000', '1.0', '10000']",18.62141070989977
"['GPU-750', '10000000', '0.0', '1000000']",19.163147955955797
"['GPU-1070', '10000', '1.0', '1000000']",127.31050206793446
"['GPU-1070', '10000', '1.0', '10000']",17.131576494374283
"['GPU-1070', '10000', '0.0', '1000000']",130.28384060920249
"['GPU-1070', '10000', '0.0', '10000']",9.12051491239135
"['GPU-1070', '10000', '0.5', '1000000']",126.46620151242993
"['GPU-750', '10000000', '1.0', '1000000']",28.85999431632006
"['GPU-750', '10000000', '0.0', '10000']",22.303512135318833
"['GPU-750', '10000', '0.5', '10000']",10.02715310982022
"['GPU-1070', '10000', '0.5', '10000']",11.130658370280054
"['GPU-1070', '10000000', '1.0', '1000000']",31.560647088897102
"['GPU-750', '10000000', '1.0', '10000']",31.372472772954062
"['GPU-1070', '10000000', '0.0', '1000000']",7.0703478982903745
"['GPU-2080', '10000', '1.0', '1000000']",27.747299479721004
"['GPU-2080', '10000', '1.0', '10000']",15.825668754988426
"['GPU-2080', '10000', '0.0', '1000000']",27.483898800849726
"['GPU-2080', '10000', '0.0', '10000']",11.235601934544995
"['GPU-2080', '10000', '0.5', '1000000']",27.46453248568711
"['GPU-1070', '10000000', '1.0', '10000']",38.66867061927538
"['GPU-2080', '10000', '0.5', '10000']",9.521710170841652
"['GPU-2080', '10000000', '1.0', '1000000']",25.69010836435891
"['GPU-2080', '10000000', '0.0', '1000000']",17.819911998453996
"['GPU-2080', '10000000', '1.0', '10000']",27.39656752506816
"['GPU-2080', '10000000', '0.0', '10000']",17.278640264855515
"['GPU-1070', '10000000', '0.5', '1000000']",7.610359315430716
"['GPU-750', '10000000', '0.5', '1000000']",6.959985218801358
"['GPU-1070', '10000000', '0.0', '10000']",4.156335753135385
"['GPU-2080', '10000000', '0.5', '1000000']",8.002066002316681
"['GPU-750', '10000000', '0.5', '10000']",1.3228197206043684
"['GPU-1070', '10000000', '0.5', '10000']",1.2860021991606247
"['GPU-2080', '10000000', '0.5', '10000']",1.5199932538744303
