HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['GPU-750', '10000', '0.0', '1000']",0.148258479830263,0.12967039434402614,155.156,125.20773803563421,38.431,21.06454934243788,122.077
"['GPU-750', '10000', '0.0', '100']",0.15057262804350868,0.1302271739272737,166.541,135.31180406379926,39.708,22.859193686567338,132.361
"['GPU-750', '10000', '1.0', '1000']",0.21064250089046999,0.1623107899509712,157.786,126.33508698694912,25.969,19.39737196117041,135.855
"['GPU-750', '10000', '1.0', '100']",0.21500750238583044,0.16341336156010788,166.957,133.3099064248415,26.333,20.1227262318007,144.702
"['GPU-750', '10000000', '0.0', '100']",0.2082620461758313,0.1675728504101571,1015.362,571.5401411589565,141.515,318.05678702866885,921.323
"['GPU-750', '10000000', '0.0', '1000']",0.20839104954362933,0.16753508907158285,1015.362,571.5401411589565,141.305,317.9815465950815,921.533
"['GPU-1070', '10000', '1.0', '1000']",0.28175394213051885,0.2016179009403488,140.246,113.88603726532942,24.045,18.098977181045342,120.271
"['GPU-1070', '10000', '1.0', '100']",0.3074636831088528,0.2087158533302028,180.14,144.56075677721114,26.261,25.575435069613185,157.787
"['GPU-1070', '10000', '0.0', '1000']",0.07673422465755717,0.09645286337396926,128.381,108.17775112748463,111.273,55.51438075850257,77.928
"['GPU-1070', '10000', '0.0', '100']",0.06761846204513666,0.09014712873938092,170.325,146.30276612217557,141.537,78.62672974885831,103.864
"['GPU-750', '10000000', '1.0', '1000']",0.30369829322774106,0.1954387120499112,999.234,575.569901266562,72.774,210.17747482544368,942.668
"['GPU-750', '10000000', '1.0', '100']",0.30350266204340864,0.19573172013952447,999.234,575.569901266562,73.25,211.0582087955832,942.24
"['GPU-750', '10000', '0.5', '1000']",0.06213154428626782,0.05904098720966099,155.156,125.20773803563421,125.367,54.12484005519092,103.241
"['GPU-750', '10000', '0.5', '100']",0.055055189093774506,0.05119017831393086,166.541,135.31180406379926,157.368,57.73261275916759,113.221
"['GPU-1070', '10000000', '1.0', '1000']",0.3942802163144275,0.2535842872626979,986.008,591.3623592485405,75.938,255.60195647921003,949.148
"['GPU-1070', '10000000', '1.0', '100']",0.39420399511546517,0.25403333841689985,986.008,591.3623592485405,80.654,271.09436047988896,952.484
"['GPU-1070', '10000', '0.5', '1000']",0.09230646485241835,0.09067952022961796,133.907,110.11189014361709,117.721,39.02170112898718,88.702
"['GPU-2080', '10000', '1.0', '100']",0.20659765127689408,0.14296701367160924,250.305,197.24877179592272,26.254,23.392252649114404,226.147
"['GPU-2080', '10000', '1.0', '1000']",0.19876259578231928,0.14317453224541885,223.862,176.50365706126317,24.824,19.867989933558956,201.336
"['GPU-1070', '10000', '0.5', '100']",0.07891179239056903,0.08277467463923406,173.057,139.4317099909486,157.879,59.34824646946193,119.83
"['GPU-2080', '10000', '0.0', '100']",0.1396036130198392,0.11585310496846787,238.26,196.09700252681068,49.044,32.81831903068772,196.108
"['GPU-2080', '10000', '0.0', '1000']",0.1401605297303825,0.12196375007556415,214.488,170.36999106650208,45.388,28.130685309817817,175.618
"['GPU-2080', '10000', '0.5', '1000']",0.06993924263172485,0.06618939825112757,210.147,168.11312081750194,119.348,48.97579908485414,142.007
"['GPU-2080', '10000', '0.5', '100']",0.06293504263299067,0.06143824648367187,230.464,192.16402551986673,150.168,59.47575788504086,154.33
"['GPU-2080', '10000000', '1.0', '100']",0.26869251978866093,0.1622291691023103,977.059,581.6345033773357,64.377,194.39706497527166,937.726
"['GPU-2080', '10000000', '1.0', '1000']",0.2781771973119584,0.1619275198897134,982.466,587.1630359993721,60.403,183.44241219249162,946.215
"['GPU-2080', '10000000', '0.0', '100']",0.18057677165363165,0.1369463086030176,1001.099,580.6977175768818,143.186,318.8995412414386,922.733
"['GPU-1070', '10000000', '0.0', '100']",0.035469761439091405,0.07850895835780825,974.136,572.6014246437045,1221.165,883.3298793627441,848.695
"['GPU-2080', '10000000', '0.0', '1000']",0.17998636961970366,0.13815106369365363,989.174,582.8300967897934,147.132,326.36481822647494,906.958
"['GPU-1070', '10000000', '0.0', '1000']",0.036643728887632954,0.07907918873127201,974.136,572.6014246437045,1200.138,885.5639564458346,850.214
"['GPU-750', '10000000', '0.5', '100']",0.013727677526884679,0.0262035159711241,1022.422,580.0234425572814,1344.973,577.7162039193638,704.899
"['GPU-750', '10000000', '0.5', '1000']",0.013745758459153433,0.0261830407467491,1022.422,580.0234425572814,1343.204,577.6063801448181,705.826
"['GPU-1070', '10000000', '0.5', '1000']",0.010417970224131283,0.021557810911455783,974.136,572.6014246437045,1410.011,588.9010178960467,738.471
"['GPU-1070', '10000000', '0.5', '100']",0.009893482037850693,0.02103964473039632,974.136,572.6014246437045,1427.637,588.7205204772465,748.075
"['GPU-2080', '10000000', '0.5', '100']",0.011655053638845194,0.02498535237860243,990.217,583.2966311500522,1364.013,578.7803269211903,739.534
"['GPU-2080', '10000000', '0.5', '1000']",0.012530138437932908,0.02689440725654858,1010.056,577.0081410725502,1372.834,588.0767249636734,761.572
