HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['GPU-750', '10000', '0.0', '1000000']",0.2592051745031399,0.12911790298886197,6.164,4.7464833297927,16.769,0.48748230737125214,11.805
"['GPU-750', '10000', '1.0', '1000000']",0.2522508602592151,0.11638494596355216,6.151,4.650612755325905,16.884,1.1910264480690596,11.833
"['GPU-750', '10000', '0.5', '1000000']",0.25822311351002436,0.11957705181704664,6.164,4.7464833297927,16.853,1.131101675359028,11.855
"['GPU-750', '10000', '0.0', '10000']",0.14003097209176107,0.13741845848050516,97.595,81.57038050052238,30.56,11.846450945325355,74.799
"['GPU-750', '10000', '1.0', '10000']",0.18621410709899772,0.16047041119469094,100.125,81.69418201438828,22.526,11.947021553508641,81.445
"['GPU-750', '10000000', '0.0', '1000000']",0.19163147955955798,0.15257198397185015,635.822,484.2442238333876,70.636,80.01495800161368,574.578
"['GPU-1070', '10000', '1.0', '1000000']",1.2731050206793446,0.4666000045321669,2.623,1.8041261042399448,16.572,0.5355520516252364,14.949
"['GPU-1070', '10000', '1.0', '10000']",0.17131576494374282,0.1682084436257053,48.121,40.241922903857365,19.889,7.792732447607835,35.084
"['GPU-1070', '10000', '0.0', '1000000']",1.3028384060920248,0.49032397829327923,2.623,1.8041261042399448,16.866,0.44276856256965674,15.243
"['GPU-1070', '10000', '0.0', '10000']",0.0912051491239135,0.09049680135941957,49.236,39.579341884371956,47.323,14.580763731711725,30.759
"['GPU-1070', '10000', '0.5', '1000000']",1.2646620151242993,0.4548489706380651,2.763,1.8129619411339004,16.578,0.5271773894999671,14.815
"['GPU-750', '10000000', '1.0', '1000000']",0.2885999431632006,0.1858894519697826,690.095,511.13087558373934,34.13,54.82575216082311,660.741
"['GPU-750', '10000000', '0.0', '10000']",0.22303512135318834,0.1728728267923997,984.675,576.8837156438028,125.809,307.3795544908607,908.38
"['GPU-750', '10000', '0.5', '10000']",0.10027153109820221,0.09813076494505925,97.595,81.57038050052238,47.722,24.142094275352335,71.323
"['GPU-1070', '10000', '0.5', '10000']",0.11130658370280054,0.10262177780491857,49.236,39.579341884371956,40.539,10.40204205913435,31.895
"['GPU-1070', '10000000', '1.0', '1000000']",0.31560647088897104,0.21739537386292812,204.078,170.62799862859555,26.774,24.83793316683174,181.824
"['GPU-750', '10000000', '1.0', '10000']",0.31372472772954063,0.19943559619258697,1024.04,576.5882832663182,58.049,170.69236245069666,980.547
"['GPU-1070', '10000000', '0.0', '1000000']",0.07070347898290374,0.09701007709231196,205.315,166.42206516865485,170.136,107.3572238091131,131.183
"['GPU-2080', '10000', '1.0', '1000000']",0.27747299479721005,0.11735586184580085,5.427,4.169732725247507,16.723,0.8235720976332309,12.356
"['GPU-2080', '10000', '1.0', '10000']",0.15825668754988426,0.13814762709014333,106.02,85.17219968980488,22.315,11.567617516152582,87.579
"['GPU-2080', '10000', '0.0', '1000000']",0.27483898800849726,0.12651521477694755,5.463,4.1569978349765835,16.784,0.5112181530423191,12.415
"['GPU-2080', '10000', '0.0', '10000']",0.11235601934544995,0.11239593536882359,104.326,87.24118135376206,34.15,14.348013799826093,78.464
"['GPU-2080', '10000', '0.5', '1000000']",0.2746453248568711,0.11342211153777432,5.526,4.035012267639344,16.77,0.9418598621875762,12.32
"['GPU-1070', '10000000', '1.0', '10000']",0.3866867061927538,0.25187543400806106,971.158,584.5047998400013,67.938,212.51322819062347,926.6
"['GPU-2080', '10000', '0.5', '10000']",0.09521710170841653,0.08758629748493474,109.45,90.88900648593315,45.293,22.804980837527573,80.291
"['GPU-2080', '10000000', '1.0', '1000000']",0.2569010836435891,0.15111073352812504,563.411,432.62706813027773,34.009,59.14800858017115,532.428
"['GPU-2080', '10000000', '0.0', '1000000']",0.17819911998453997,0.13379001350385306,563.708,453.2264828272946,79.841,85.57862886842719,499.067
"['GPU-2080', '10000000', '1.0', '10000']",0.2739656752506816,0.1565513824468486,1005.956,569.1719828522835,60.665,182.0537798975896,964.499
"['GPU-2080', '10000000', '0.0', '10000']",0.17278640264855513,0.13444221388403102,1006.677,574.7499444723766,151.005,321.44166651975905,907.944
"['GPU-1070', '10000000', '0.5', '1000000']",0.07610359315430716,0.08391848375063538,205.315,166.42206516865485,202.831,92.8641719879093,151.858
"['GPU-750', '10000000', '0.5', '1000000']",0.06959985218801358,0.069237684708803,655.608,498.69774246130294,288.324,269.9862941410175,494.226
"['GPU-1070', '10000000', '0.0', '10000']",0.041563357531353845,0.08103929640653648,977.454,576.1987624804483,1089.6,887.6378169050707,863.47
"['GPU-2080', '10000000', '0.5', '1000000']",0.08002066002316681,0.06666931593708626,588.276,436.0893140447264,257.08,237.60555464887602,448.474
"['GPU-750', '10000000', '0.5', '10000']",0.013228197206043683,0.024357848530876178,984.675,576.8837156438028,1353.781,582.7874801666557,708.734
"['GPU-1070', '10000000', '0.5', '10000']",0.012860021991606248,0.023344579867841025,988.988,573.9204804291271,1383.993,591.9353824117967,744.279
"['GPU-2080', '10000000', '0.5', '10000']",0.015199932538744304,0.029715774447530326,978.524,572.6757017929082,1349.68,604.061226698089,768.266
