HW,Runs,Method,Overhead,Extra runtime (%) [Kristian],Extra runtime (%) [Jarda],"Diff (K - J), pp",Average extra runtime [Kristian],Extra runtime deviation [Kristian],Average GT TS [Kristian],GT TS deviation [Kristian],Average estimated TS [Kristian],Estimated TS deviation [Kristian],Average miss (tuning steps) [Kristian],Average extra runtime [Jarda],Extra runtime deviation [Jarda],Average GT TS [Jarda],GT TS deviation [Jarda],Average estimated TS [Jarda],Estimated TS deviation [Jarda],Average miss (tuning steps) [Jarda]
OK 1070,10000,0,100,6.71108668413225,6.76184620451366,-0.0507595203814092,0.0671108668413225,0.0931436487260419,176.419,149.719034992215,136.274,76.3386463332957,105.527,0.0676184620451366,0.0901471287393809,170.325,146.302766122176,141.537,78.6267297488583,103.864
OK 1070,10000,0,1000,7.59988866589114,7.67342246575571,-0.0735337998645704,0.0759988866589114,0.0977758380376093,131.755,106.210333654499,108.963,54.0286001206768,73.506,0.0767342246575571,0.0964528633739692,128.381,108.177751127485,111.273,55.5143807585026,77.928
OK 1070,10000,0,10000,9.32685208111408,9.12051491239135,0.20633716872273,0.0932685208111408,0.0939210964267424,51.859,40.7387667830041,48.106,14.56910306093,31.401,0.0912051491239135,0.0904968013594195,49.236,39.579341884372,47.323,14.5807637317117,30.759
1070,10000,0,100000,14.902479056364,14.8806805776312,0.0217984787328013,0.14902479056364,0.0876337622883724,9.543,7.96731767911886,16.884,0.408098027439491,10.351,0.148806805776312,0.081292871439182,9.184,7.33063053222572,16.898,0.411820349181533,10.298
1070,10000,0,1000000,127.332488793877,130.283840609202,-2.95135181532515,1.27332488793877,0.462118976803081,2.705,1.75327550601724,16.883,0.409036673172486,15.178,1.30283840609202,0.490323978293279,2.623,1.80412610423994,16.866,0.442768562569657,15.243
OK1070,10000,0.5,100,7.84113884666547,7.8911792390569,-0.0500403923914296,0.0784113884666547,0.0825897632412645,176.419,149.719034992215,160.204,76.1189357781623,126.947,0.078911792390569,0.082774674639234,173.057,139.431709990949,157.879,59.3482464694619,119.83
OK1070,10000,0.5,1000,8.93047398809214,9.23064648524183,-0.300172497149688,0.0893047398809214,0.0867673970058638,131.755,106.210333654499,122.257,49.5627778781617,88.716,0.0923064648524183,0.0906795202296179,133.907,110.111890143617,117.721,39.0217011289872,88.702
1070,10000,0.5,10000,11.5831417424953,11.1306583702801,0.452483372215239,0.115831417424953,0.105110781647283,51.859,40.7387667830041,40.636,9.72838650547972,33.279,0.111306583702801,0.102621777804919,49.236,39.579341884372,40.539,10.4020420591344,31.895
1070,10000,0.5,100000,14.9495948622339,15.0998431876659,-0.150248325432031,0.149495948622339,0.0766296727264914,9.543,7.96731767911886,17.005,2.3411482225609,10.512,0.150998431876659,0.0776335214707672,9.608,7.61172358930617,17.129,1.86181604891568,10.295
1070,10000,0.5,1000000,121.585265892561,126.46620151243,-4.88093561986868,1.21585265892561,0.432310929940194,2.705,1.75327550601724,16.272,0.469058631729494,14.567,1.2646620151243,0.454848970638065,2.763,1.8129619411339,16.578,0.527177389499967,14.815
OK1070,10000,1,100,31.2224401722637,30.7463683108853,0.476071861378458,0.312224401722637,0.226457898704542,176.419,149.719034992215,29.072,30.9717745051846,153.829,0.307463683108853,0.208715853330203,180.14,144.560756777211,26.261,25.5754350696132,157.787
OK1070,10000,1,1000,28.759448292532,28.1753942130519,0.584054079480151,0.28759448292532,0.217190479685463,131.755,106.210333654499,26.463,23.2485404057975,110.884,0.281753942130519,0.201617900940349,140.246,113.886037265329,24.045,18.0989771810453,120.271
1070,10000,1,10000,18.2104146750814,17.1315764943743,1.07883818070708,0.182104146750814,0.172813962287861,51.859,40.7387667830041,20.629,8.80496218049799,37.818,0.171315764943743,0.168208443625705,48.121,40.2419229038574,19.889,7.79273244760784,35.084
1070,10000,1,100000,14.9495948622339,15.45719302638,-0.507598164146042,0.149495948622339,0.0766296727264914,9.543,7.96731767911886,17.005,2.3411482225609,10.512,0.1545719302638,0.0766868452607441,9.076,7.69117832324801,17.12,1.8962067397834,10.726
1070,10000,1,1000000,121.585265892561,127.310502067934,-5.72523617537324,1.21585265892561,0.432310929940194,2.705,1.75327550601724,16.272,0.469058631729494,14.567,1.27310502067934,0.466600004532167,2.623,1.80412610423994,16.572,0.535552051625236,14.949
1070,1000000,0,100000,6.70587600300892,6.86262696890165,-0.15675096589273,0.0670587600300892,0.094590236066697,214.169,179.77315272031,167.136,106.768035965826,140.703,0.0686262696890165,0.0899906527677079,211.279,166.726384111814,168.754,104.89079789953,134.729
