HW / # of runs / method / overhead,Performance decline (%)
"['750', '10000', '1.0', '10000']",17.86547456224558
"['750', '10000', '1.0', '1000000']",25.476313843889738
"['750', '10000', '0.0', '10000']",13.744370005514542
"['750', '10000', '0.0', '1000000']",25.796602943940695
"['750', '10000', '0.5', '10000']",10.073985735835052
"['750', '10000', '0.5', '1000000']",25.833390078265246
"['750', '10000000', '1.0', '10000']",29.70868509046385
"['750', '10000000', '1.0', '1000000']",27.790935075469946
"['750', '10000000', '0.0', '10000']",22.082028980611657
"['750', '10000000', '0.0', '1000000']",20.1038408105139
"['750', '10000000', '0.5', '10000']",1.5344774644179195
"['750', '10000000', '0.5', '1000000']",7.670333273111305
"['1070', '10000', '1.0', '10000']",17.989317483397972
"['1070', '10000', '1.0', '1000000']",125.43634217671868
"['1070', '10000', '0.0', '10000']",9.282229869594918
"['1070', '10000', '0.0', '1000000']",131.7568656539925
"['1070', '10000', '0.5', '10000']",10.43314598861635
"['1070', '10000', '0.5', '1000000']",126.18648433071331
"['1070', '10000000', '1.0', '10000']",39.230490014159706
"['1070', '10000000', '1.0', '1000000']",33.2507086426369
"['1070', '10000000', '0.0', '10000']",4.492072587552755
"['1070', '10000000', '0.0', '1000000']",6.128554458384856
"['1070', '10000000', '0.5', '10000']",1.0512154683695727
"['1070', '10000000', '0.5', '1000000']",7.221970298781629
"['2080', '10000', '1.0', '10000']",14.786110554271003
"['2080', '10000', '1.0', '1000000']",27.264247432097793
"['2080', '10000', '0.0', '10000']",11.604626617095573
"['2080', '10000', '0.0', '1000000']",28.116284085025068
"['2080', '10000', '0.5', '10000']",8.964458554609376
"['2080', '10000', '0.5', '1000000']",27.50274451120957
"['2080', '10000000', '1.0', '10000']",27.5579196669689
"['2080', '10000000', '1.0', '1000000']",24.88797797558248
"['2080', '10000000', '0.0', '10000']",18.427594743238707
"['2080', '10000000', '0.0', '1000000']",17.657257591446825
"['2080', '10000000', '0.5', '10000']",1.415212186076643
"['2080', '10000000', '0.5', '1000000']",7.866903433545961
