HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['750', '10000', '1.0', '10000']",0.1786547456224558,0.1527720137758209,97.812,78.75387391106548,22.589,12.610792163857115,79.583
"['750', '10000', '1.0', '1000000']",0.25476313843889736,0.11424995357528839,6.205,4.896833160319024,16.85,1.1231651704001508,11.843
"['750', '10000', '0.0', '10000']",0.13744370005514542,0.1301515151667292,96.677,81.40360355045715,30.557,11.862914945324357,73.554
"['750', '10000', '0.0', '1000000']",0.25796602943940694,0.12571661623850908,5.9,4.48954340662834,16.773,0.48730996295992146,12.009
"['750', '10000', '0.5', '10000']",0.10073985735835052,0.09765694962171757,99.333,82.87752476395517,46.579,19.84700881745156,70.102
"['750', '10000', '0.5', '1000000']",0.25833390078265245,0.11304884112348698,5.807,4.517051139847766,16.761,1.0098905881331899,12.104
"['750', '10000000', '1.0', '10000']",0.2970868509046385,0.19348209488282442,1006.874,579.7464619331454,68.764,214.03625932070483,956.738
"['750', '10000000', '1.0', '1000000']",0.27790935075469947,0.18610640770607528,648.665,496.50540457783535,35.255,64.00331221897817,617.724
"['750', '10000000', '0.0', '10000']",0.22082028980611657,0.18191896677606198,1015.11,581.6766093801607,129.522,314.84336028571414,937.934
"['750', '10000000', '0.0', '1000000']",0.201038408105139,0.16190102101193504,637.561,497.394254368705,70.26,83.30829730585064,579.953
"['750', '10000000', '0.5', '10000']",0.015344774644179195,0.027900542223343983,1002.589,582.4885166928186,1325.625,579.4533634167636,711.2
"['750', '10000000', '0.5', '1000000']",0.07670333273111306,0.07549291864297748,649.02,503.50294894866306,271.948,267.28150571261006,521.284
"['1070', '10000', '1.0', '10000']",0.17989317483397974,0.17217502563865844,50.963,42.61705798151721,19.925,7.2019007907635055,37.31
"['1070', '10000', '1.0', '1000000']",1.2543634217671868,0.4553959330342572,2.813,1.8708369784671244,16.551,0.5266868139606307,14.738
"['1070', '10000', '0.0', '10000']",0.09282229869594918,0.09340543170255403,50.02,41.41890389665087,46.884,15.102269498323754,31.728
"['1070', '10000', '0.0', '1000000']",1.317568656539925,0.4815211726914621,2.656,1.7139614931497147,16.902,0.4317360304630597,15.246
"['1070', '10000', '0.5', '10000']",0.10433145988616349,0.09602562278961449,49.336,40.319363883870984,40.021,8.43164035048934,32.117
"['1070', '10000', '0.5', '1000000']",1.261864843307133,0.43678236492962175,2.742,1.8415851867345157,16.583,0.5376904313822221,14.841
"['1070', '10000000', '1.0', '10000']",0.3923049001415971,0.24401205467171677,960.105,566.9147678222891,59.177,188.54938257920656,924.118
"['1070', '10000000', '1.0', '1000000']",0.332507086426369,0.2148413487134127,211.546,175.86693232100228,26.46,21.273184998960545,188.902
"['1070', '10000000', '0.0', '10000']",0.04492072587552755,0.08932238717427388,956.462,579.0353292813833,1053.144,885.7388166180818,849.362
"['1070', '10000000', '0.0', '1000000']",0.06128554458384856,0.07953693202143926,214.662,180.47672912594575,182.539,110.7486996718246,141.351
"['1070', '10000000', '0.5', '10000']",0.010512154683695726,0.019792443528624037,975.205,579.0549619638882,1452.054,571.4138369728196,788.267
"['1070', '10000000', '0.5', '1000000']",0.0722197029878163,0.08264463396893361,215.741,183.1007097719722,187.729,83.4541045066089,153.754
"['2080', '10000', '1.0', '10000']",0.14786110554271004,0.13097241893487363,104.926,89.96897534150314,22.841,12.938999922714274,86.345
"['2080', '10000', '1.0', '1000000']",0.27264247432097793,0.1158361240113351,5.555,4.1860452697026584,16.834,1.0846400324531635,12.353
"['2080', '10000', '0.0', '10000']",0.11604626617095573,0.1131705044353039,107.301,88.76754135944061,33.773,13.635889079924345,81.524
"['2080', '10000', '0.0', '1000000']",0.2811628408502507,0.12346726769666518,5.374,4.120694601641816,16.804,0.48742589180305146,12.536
"['2080', '10000', '0.5', '10000']",0.08964458554609375,0.08278138104592081,106.249,86.96533216747925,45.186,22.291958280958628,77.845
"['2080', '10000', '0.5', '1000000']",0.2750274451120957,0.12100649030319739,5.58,4.311565840851789,16.818,0.9617047363926208,12.282
"['2080', '10000000', '1.0', '10000']",0.275579196669689,0.160241386357239,1010.185,568.8668972395916,64.284,190.32378029032523,966.029
"['2080', '10000000', '1.0', '1000000']",0.24887977975582481,0.1464960954768979,560.491,421.9883149081263,33.752,47.71717191955115,530.371
"['2080', '10000000', '0.0', '10000']",0.18427594743238707,0.13116457273264856,986.128,575.8496744950022,135.439,269.02341585631535,885.815
"['2080', '10000000', '0.0', '1000000']",0.17657257591446826,0.13290493214923316,556.037,442.0475128659814,74.991,81.990956324463,488.604
"['2080', '10000000', '0.5', '10000']",0.014152121860766429,0.027872208776469544,975.931,571.9309977951885,1337.413,591.127869780304,745.882
"['2080', '10000000', '0.5', '1000000']",0.0786690343354596,0.07094490090618005,543.779,434.6542374796316,260.458,239.8288061013522,418.611
