HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['GPU-1070', '10000', '0.0', '1000000']",1.2490762453371973,0.48481431141249026,2.919,1.9303986634889696,16.879,0.4651440637049988,14.96
"['GPU-750', '10000', '0.0', '1000000']",0.24458634677899072,0.12396617631202803,6.277,4.792105069799701,16.744,0.5352233178776874,11.629
"['GPU-1070', '10000', '1.0', '1000000']",1.2560523772202508,0.44454789560506613,2.785,1.8838192588462408,16.615,0.5466031467161527,14.83
"['GPU-750', '10000', '0.5', '1000000']",0.24585499545739373,0.11389137706760442,6.277,4.792105069799701,16.851,1.0958097462607275,11.712
"['GPU-1070', '10000', '0.5', '1000000']",1.2757576907910824,0.4525144249196989,2.714,1.7413224859284393,16.532,0.5431169303197978,14.818
"['GPU-750', '10000', '0.0', '10000']",0.15078920424883166,0.14073933531115634,99.148,78.55608248888178,28.467,11.45639170943452,75.809
"['GPU-1070', '10000', '0.0', '10000']",0.09504716787822175,0.09574122078811118,50.425,40.31950365517909,46.054,14.882173362785423,31.997
"['GPU-750', '10000', '1.0', '1000000']",0.24937703729488978,0.11411702714857097,6.063,4.6233138548015535,16.912,1.2289247332526105,11.969
"['GPU-1070', '10000', '1.0', '10000']",0.17269709158977103,0.16449070517439301,47.611,39.06325228395608,20.305,8.107402481683021,34.164
"['GPU-2080', '10000', '1.0', '10000']",0.15182117857414743,0.12543593529161906,110.982,90.05517017917406,22.583,13.439088920012399,92.651
"['GPU-1070', '10000000', '1.0', '1000000']",0.3091131378317686,0.22162535854695894,201.12,176.4484785992784,27.548,26.193733907177116,179.734
"['GPU-2080', '10000', '1.0', '1000000']",0.28082769985256384,0.12031299785178681,5.418,4.004656789289189,16.742,0.924897832195535,12.356
"['GPU-2080', '10000', '0.0', '1000000']",0.2773914095644921,0.12558945783277417,5.551,4.278247187809512,16.784,0.4953221174145164,12.381
"['GPU-2080', '10000', '0.0', '10000']",0.1157673811166035,0.11447215526209649,103.547,86.56492240509431,32.452,13.400660282239826,78.369
"['GPU-1070', '10000', '0.5', '10000']",0.10914460341635514,0.10167404283466489,48.361,39.17255007017031,39.235,9.500619716629016,31.062
"['GPU-750', '10000000', '0.0', '1000000']",0.20935329369197586,0.1651279888933261,660.049,494.4358751132446,62.319,73.27570701808342,600.418
"['GPU-750', '10000000', '0.0', '10000']",0.22922609873893637,0.17288333170742431,1017.616,571.6389547118006,101.463,229.37590246361975,928.045
"['GPU-2080', '10000', '0.5', '1000000']",0.2723232886992673,0.11894701005757416,5.728,4.3630283061195,16.803,0.958222834209246,12.147
"['GPU-750', '10000', '1.0', '10000']",0.17985371607201056,0.15392976037790917,96.564,80.79491261211935,23.169,13.44345338817374,77.931
"['GPU-750', '10000000', '1.0', '1000000']",0.2762841724355521,0.183763837129223,654.917,502.81293152722316,38.316,84.51997482252347,622.901
"['GPU-2080', '10000000', '0.0', '1000000']",0.16729955166980903,0.1256051874043605,589.761,444.79583167898505,79.825,86.81301961687544,519.28
"['GPU-2080', '10000', '0.5', '10000']",0.09022552155845871,0.08130723542959412,108.558,89.1909111737289,45.97,23.790651525336585,80.168
"['GPU-2080', '10000000', '1.0', '1000000']",0.2565305572640144,0.15104982233723047,561.59,439.54322187925953,30.465,40.46839229571641,534.743
"['GPU-1070', '10000000', '1.0', '10000']",0.40459887483811874,0.255383859407845,961.946,578.6525858267636,59.497,170.59968930510982,918.825
"['GPU-2080', '10000000', '0.0', '10000']",0.1773715927469073,0.13162994716967874,936.743,572.764774537506,137.635,285.19961040471287,842.914
"['GPU-750', '10000', '0.5', '10000']",0.11409717266175722,0.10842438301608233,99.148,78.55608248888178,44.638,21.45644322808419,70.174
"['GPU-1070', '10000000', '0.0', '1000000']",0.06588885616749753,0.0940024097594315,203.591,172.33726155129656,172.738,105.3976439774628,134.883
"['GPU-2080', '10000000', '1.0', '10000']",0.2754231214939555,0.15666581883951142,972.832,580.5953804294347,53.874,134.07688885113646,928.722
"['GPU-750', '10000000', '1.0', '10000']",0.3002463639754602,0.20055166340027222,996.015,578.0143932247709,75.333,235.7643741344311,947.64
"['GPU-1070', '10000000', '0.5', '1000000']",0.06637271535356148,0.0762150797500211,201.12,176.4484785992784,198.527,83.20789187931635,150.343
"['GPU-1070', '10000000', '0.0', '10000']",0.04288370147875439,0.08042304401203065,982.352,585.658176836967,988.051,882.8072623166395,844.927
"['GPU-2080', '10000000', '0.5', '1000000']",0.07699588926404631,0.06667373763435969,561.59,439.54322187925953,262.19,233.91531779684715,429.476
"['GPU-750', '10000000', '0.5', '1000000']",0.07205937371190432,0.07219019497729891,660.049,494.4358751132446,295.627,302.974734707368,519.014
"['GPU-2080', '10000000', '0.5', '10000']",0.014868146011248879,0.029081497211849765,1021.043,581.5231630391003,1324.083,595.7699003063179,756.336
"['GPU-750', '10000000', '0.5', '10000']",0.013444053055297094,0.02580763886252108,1017.616,571.6389547118006,1382.432,576.4319121769717,726.012
"['GPU-1070', '10000000', '0.5', '10000']",0.012186794938451186,0.02204609282326547,958.059,584.3148479364528,1390.318,586.2358133686478,775.159
