HW / # of runs / method / overhead,Performance decline (%)
"['GPU-1070', '10000', '0.0', '1000000']",129.61669756826836
"['GPU-750', '10000', '0.0', '100000']",11.011871114671075
"['GPU-1070', '10000', '0.0', '100000']",15.209901194230529
"['GPU-750', '10000', '0.0', '1000000']",25.49127358363508
"['GPU-750', '10000', '1.0', '1000000']",24.970964422634772
"['GPU-1070', '10000', '1.0', '100000']",14.915662154871367
"['GPU-1070', '10000', '0.5', '100000']",15.474052532078161
"['GPU-1070', '10000', '1.0', '1000000']",124.64876258474835
"['GPU-1070', '10000', '0.5', '1000000']",127.08591268487301
"['GPU-750', '10000', '0.5', '1000000']",25.745980497753063
"['GPU-750', '10000', '1.0', '100000']",10.367776572375252
"['GPU-2080', '10000', '0.0', '100000']",8.531691701655566
"['GPU-2080', '10000', '0.0', '1000000']",27.83553520540974
"['GPU-2080', '10000', '1.0', '1000000']",28.231416100995897
"['GPU-2080', '10000', '0.5', '100000']",8.065861330252343
"['GPU-750', '10000', '0.5', '100000']",10.706927686852136
"['GPU-2080', '10000', '0.5', '1000000']",27.73502635311677
"['GPU-2080', '10000', '1.0', '100000']",8.185685475619096
"['GPU-750', '10000000', '1.0', '1000000']",28.246981715604434
"['GPU-750', '10000000', '0.0', '100000']",20.482727847759183
"['GPU-750', '10000000', '0.0', '1000000']",18.967502104556743
"['GPU-1070', '10000000', '0.0', '1000000']",7.039087422469276
"['GPU-1070', '10000000', '1.0', '1000000']",31.97946347406099
"['GPU-2080', '10000000', '0.0', '1000000']",17.114014982813146
"['GPU-2080', '10000000', '1.0', '1000000']",25.970512149005238
"['GPU-2080', '10000000', '1.0', '100000']",28.057925223939762
"['GPU-750', '10000000', '1.0', '100000']",30.792643720871897
"['GPU-1070', '10000000', '1.0', '100000']",38.20631171546521
"['GPU-2080', '10000000', '0.0', '100000']",18.23315210264662
"['GPU-1070', '10000000', '0.0', '100000']",5.922909988274389
"['GPU-1070', '10000000', '0.5', '1000000']",7.49419811854877
"['GPU-750', '10000000', '0.5', '1000000']",7.317597872300456
"['GPU-2080', '10000000', '0.5', '1000000']",7.532541824531173
"['GPU-1070', '10000000', '0.5', '100000']",2.687295636881199
"['GPU-2080', '10000000', '0.5', '100000']",2.526627028386882
"['GPU-750', '10000000', '0.5', '100000']",2.4074335888721743
