HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['GPU-1070', '10000', '0.0', '1000000']",1.2961669756826837,0.487923052731276,2.783,1.8766755180371486,16.889,0.4274096395730915,15.106
"['GPU-750', '10000', '0.0', '100000']",0.11011871114671075,0.11881174643469013,25.66,21.51028591162842,16.771,0.4985569175129355,16.299
"['GPU-1070', '10000', '0.0', '100000']",0.1520990119423053,0.08760174838207524,9.544,7.714535890123267,16.889,0.4274096395730915,10.213
"['GPU-750', '10000', '0.0', '1000000']",0.2549127358363508,0.12939509759344267,6.188,4.811928511522174,16.771,0.4985569175129355,11.769
"['GPU-750', '10000', '1.0', '1000000']",0.24970964422634773,0.11406919320163368,6.297,4.834748287139672,16.839,1.0700836415906936,11.702
"['GPU-1070', '10000', '1.0', '100000']",0.14915662154871367,0.07565610642901975,9.108,7.117466965149891,17.128,1.8153831551493476,10.31
"['GPU-1070', '10000', '0.5', '100000']",0.1547405253207816,0.07752448852580869,9.27,7.95833525305387,17.11,1.986932308862081,10.72
"['GPU-1070', '10000', '1.0', '1000000']",1.2464876258474835,0.4462790915019911,2.848,1.9164801068625785,16.583,0.5395470322409346,14.735
"['GPU-1070', '10000', '0.5', '1000000']",1.2708591268487301,0.47049173541433664,2.837,1.8948432652860765,16.565,0.5345792738219468,14.728
"['GPU-750', '10000', '0.5', '1000000']",0.2574598049775306,0.11736020014065285,6.188,4.811928511522174,16.872,1.1097819605670296,11.81
"['GPU-750', '10000', '1.0', '100000']",0.10367776572375252,0.11484650292443549,25.003,20.767065055033655,18.912,5.012410198696831,16.265
"['GPU-2080', '10000', '0.0', '100000']",0.08531691701655565,0.09852064865289084,22.242,19.360254027259042,16.782,0.4964634931190813,14.446
"['GPU-2080', '10000', '0.0', '1000000']",0.2783553520540974,0.12784054234991685,5.369,4.06876381718084,16.761,0.4958618759291745,12.462
"['GPU-2080', '10000', '1.0', '1000000']",0.282314161009959,0.11560122196313886,5.178,3.956048028019882,16.737,0.8578059221059271,12.639
"['GPU-2080', '10000', '0.5', '100000']",0.08065861330252343,0.08918112299186214,21.643,18.194052627163636,18.645,4.736346165558426,14.388
"['GPU-750', '10000', '0.5', '100000']",0.10706927686852136,0.11481606414084802,25.66,21.51028591162842,18.809,4.8316166031671015,16.703
"['GPU-2080', '10000', '0.5', '1000000']",0.2773502635311677,0.11767910217285223,5.369,4.06876381718084,16.761,0.8554992694327681,12.454
"['GPU-2080', '10000', '1.0', '100000']",0.08185685475619095,0.08755000825842948,22.295,19.73220654159083,18.755,4.930413268682454,15.08
"['GPU-750', '10000000', '1.0', '1000000']",0.28246981715604436,0.18753578515742428,638.557,505.43978944182857,32.801,39.60766843680653,608.324
"['GPU-750', '10000000', '0.0', '100000']",0.20482727847759183,0.16330963866010956,976.779,582.2813238967914,117.318,238.78332621018578,887.323
"['GPU-750', '10000000', '0.0', '1000000']",0.18967502104556744,0.15559563671725118,639.446,501.8004454800733,69.302,80.26718380508936,576.2
"['GPU-1070', '10000000', '0.0', '1000000']",0.07039087422469276,0.10062871908450924,209.009,169.85673645457808,165.472,106.3780673635313,130.171
"['GPU-1070', '10000000', '1.0', '1000000']",0.3197946347406099,0.2112472687846226,209.009,169.85673645457808,26.915,27.596662388774483,185.858
"['GPU-2080', '10000000', '0.0', '1000000']",0.17114014982813147,0.12626352189175458,576.572,445.99165106086906,76.042,81.9398330239939,512.286
"['GPU-2080', '10000000', '1.0', '1000000']",0.25970512149005237,0.16069088144786337,566.051,445.7044787737723,31.642,43.57287959270078,538.209
"['GPU-2080', '10000000', '1.0', '100000']",0.2805792522393976,0.15631994076643196,947.191,582.4794009396383,43.255,87.64920977966658,910.338
"['GPU-750', '10000000', '1.0', '100000']",0.307926437208719,0.19542119791205506,992.306,586.1454020667568,50.051,126.93624541083605,957.231
"['GPU-1070', '10000000', '1.0', '100000']",0.38206311715465213,0.23402581410155873,751.821,520.2649872507278,41.019,100.11809346466801,719.05
"['GPU-2080', '10000000', '0.0', '100000']",0.18233152102646621,0.13076871003883936,933.237,565.0019830328032,120.866,227.62857035969802,841.317
"['GPU-1070', '10000000', '0.0', '100000']",0.05922909988274389,0.09357427225596411,751.821,520.2649872507278,603.868,576.4554038050125,631.311
"['GPU-1070', '10000000', '0.5', '1000000']",0.0749419811854877,0.08372686551926756,209.009,169.85673645457808,190.954,83.73584587260106,149.235
"['GPU-750', '10000000', '0.5', '1000000']",0.07317597872300456,0.0704496814761336,639.446,501.8004454800733,280.437,264.4483088072223,505.835
"['GPU-2080', '10000000', '0.5', '1000000']",0.07532541824531173,0.06702020816898259,567.228,439.6180774445018,268.341,249.22093555518165,432.983
"['GPU-1070', '10000000', '0.5', '100000']",0.02687295636881199,0.03150880827527061,717.992,512.2925179387261,942.823,530.0908692582811,614.683
"['GPU-2080', '10000000', '0.5', '100000']",0.02526627028386882,0.037492971267238204,941.195,573.8665585090318,1057.884,638.5453989686246,720.183
"['GPU-750', '10000000', '0.5', '100000']",0.02407433588872174,0.03484252200231433,976.779,582.2813238967914,1078.752,646.1881835007508,696.405
