"X1","X2"
"TBX","A=(TBX-24)/16"
"TBY","B=(TBY-24)/16"
"LOCAL","C=(LOCAL-1)/1"
"WPTX","D=(WPTX-3)/2"
"WPTY","E=(WPTY-3)/2"
"VECTOR","F=(VECTOR-2)/1"
"UNROLL_FACTOR","G=(UNROLL_FACTOR-4)/3"
"PADDING","H=(PADDING-0.5)/0.5"
"TBX_XL","J=(TBX_XL-27)/19"
"TBY_XL","K=(TBY_XL-27)/19"
"Condition","G==1 and H==-1"
"Global size","-2422482.51 +760548.23*A  +760548.23*B  +618604.07*C  -4247501.96*D  -3486084.24*E  -189960.43*F  +2641780.16*(D**2)  +2706122.87*(E**2)  +0.00*(F**2)  -273958.51*A*C  -273958.51*B*C  +529748.53*A*D  +529748.53*B*D  +1237208.13*C*D  +1392140.61*A*E  +1392140.61*B*E  +804185.29*C*E  +4264183.52*D*E  +124276.76*A*F  +124276.76*B*F  -224345.20*C*F  +117186.18*D*F  +74463.79*E*F  -547917.02*A*C*D  -547917.02*B*C*D  -356146.07*A*C*E  -356146.07*B*C*E  +1495528.92*A*D*E  +1495528.92*B*D*E  +1608370.57*C*D*E  +147516.12*A*C*F  +147516.12*B*C*F  +141374.09*C*D*F  -55670.62*A*E*F  -55670.62*B*E*F  -291648.76*C*E*F  -73754.93*D*E*F  -712292.13*A*C*D*E  -712292.13*B*C*D*E  +191770.96*A*C*E*F  +191770.96*B*C*E*F  +183786.31*C*D*E*F "
"Local size","512 +256.00*A  +256.00*B  +0.00*C  +0.00*D  +0.00*E  +0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  -0.00*D*F  -0.00*E*F  -0.00*A*C*D  -0.00*B*C*D  -0.00*A*C*E  -0.00*B*C*E  +0.00*A*D*E  +0.00*B*D*E  +0.00*C*D*E  -0.00*A*C*F  -0.00*B*C*F  -0.00*C*D*F  +0.00*A*E*F  +0.00*B*E*F  -0.00*C*E*F  -0.00*D*E*F  -0.00*A*C*D*E  -0.00*B*C*D*E  +0.00*A*C*E*F  +0.00*B*C*E*F  +0.00*C*D*E*F "
"dram_utilization","3.47 +0.36*A  +0.36*B  +1.80*C  +1.58*D  +1.80*E  -0.17*F  -0.39*(D**2)  -0.04*(E**2)  -0.07*(F**2)  +0.94*A*C  +0.94*B*C  +0.31*A*D  +0.31*B*D  +1.45*C*D  +0.62*A*E  +0.62*B*E  +1.41*C*E  +0.76*D*E  +0.03*A*F  +0.03*B*F  -0.08*C*F  -0.11*D*F  -0.07*E*F  +0.95*A*C*D  +0.95*B*C*D  +1.09*A*C*E  +1.09*B*C*E  +0.72*A*D*E  +0.72*B*D*E  +1.24*C*D*E  -0.01*A*C*F  -0.01*B*C*F  -0.18*C*D*F  -0.05*A*E*F  -0.05*B*E*F  -0.25*C*E*F  -0.35*D*E*F  +0.96*A*C*D*E  +0.96*B*C*D*E  +0.07*A*C*E*F  +0.07*B*C*E*F  -0.23*C*D*E*F "
"dram_read_transactions","2129647.32 -431.35*A  +44832.49*B  -19323.32*C  +10832.17*D  +21834.43*E  -941.65*F  +1954.43*(D**2)  +8286.83*(E**2)  +617.43*(F**2)  +1802.35*A*C  -31769.81*B*C  +191.89*A*D  +30372.23*B*D  -28586.37*C*D  -1937.37*A*E  +14266.45*B*E  -32361.17*C*E  +18429.51*D*E  -143.59*A*F  -4708.93*B*F  +5464.60*C*F  -1367.20*D*F  -4240.42*E*F  +2855.90*A*C*D  -42683.09*B*C*D  +2094.18*A*C*E  -55625.00*B*C*E  -2322.98*A*D*E  +40014.00*B*D*E  -44157.85*C*D*E  -369.74*A*C*F  +7865.92*B*C*F  -801.45*C*D*F  +372.97*A*E*F  -8357.70*B*E*F  +10010.08*C*E*F  -498.28*D*E*F  +3434.11*A*C*D*E  -69412.25*B*C*D*E  -604.05*A*C*E*F  +16267.29*B*C*E*F  -1059.35*C*D*E*F "
"dram_write_transactions","2049265.59 +18909.67*A  +17370.79*B  -7838.78*C  -5811.47*D  +6097.18*E  +16301.70*F  +13917.00*(D**2)  +7691.74*(E**2)  +24812.70*(F**2)  +6952.91*A*C  +7224.26*B*C  +25216.05*A*D  +22706.28*B*D  -10566.42*C*D  +14590.66*A*E  +14143.31*B*E  -7569.11*C*E  +22343.71*D*E  -2661.21*A*F  -2958.54*B*F  +12288.24*C*F  -19785.50*D*F  -1798.15*E*F  +14031.58*A*C*D  +13187.61*B*C*D  +7944.30*A*C*E  +8979.58*B*C*E  +13058.38*A*D*E  +13097.01*B*D*E  -15820.95*C*D*E  -3390.32*A*C*F  -2978.32*B*C*F  +14691.19*C*D*F  +867.54*A*E*F  +342.20*B*E*F  +18428.25*C*E*F  +127.18*D*E*F  +16367.29*A*C*D*E  +16939.20*B*C*D*E  -4523.89*A*C*E*F  -4033.22*B*C*E*F  +18094.28*C*D*E*F "
"l2_utilization","1.48 -0.42*A  -0.42*B  -2.35*C  +0.37*D  +0.11*E  -0.10*F  -0.16*(D**2)  -0.09*(E**2)  +0.03*(F**2)  -0.18*A*C  -0.18*B*C  -0.54*A*D  -0.54*B*D  -0.70*C*D  -0.30*A*E  -0.30*B*E  +0.19*C*E  -0.30*D*E  +0.06*A*F  +0.06*B*F  -0.14*C*F  -0.01*D*F  +0.04*E*F  -0.36*A*C*D  -0.36*B*C*D  +0.04*A*C*E  +0.04*B*C*E  -0.21*A*D*E  -0.21*B*D*E  +0.38*C*D*E  +0.10*A*C*F  +0.10*B*C*F  +0.11*C*D*F  -0.05*A*E*F  -0.05*B*E*F  +0.01*C*E*F  -0.12*D*E*F  +0.08*A*C*D*E  +0.08*B*C*D*E  -0.02*A*C*E*F  -0.02*B*C*E*F  -0.07*C*D*E*F "
"l2_read_transactions","422048.74 +35348082.97*A  +36099799.25*B  -34077088.86*C  +36180889.34*D  +9016206.43*E  +1603487.62*F  +9567594.42*(D**2)  +25360411.24*(E**2)  -19.73*(F**2)  +44812892.38*A*C  +49405470.86*B*C  +37200934.99*A*D  +37262703.55*B*D  +52265583.78*C*D  +43850533.78*A*E  +44638856.94*B*E  +92567794.61*C*E  +63022446.80*D*E  -448229.46*A*F  -448410.79*B*F  +2171982.94*C*F  +1412838.21*D*F  -406205.83*E*F  +42489624.01*A*C*D  +51281788.97*B*C*D  +53543037.57*A*C*E  +59324336.79*B*C*E  +41742409.73*A*D*E  +42483600.05*B*D*E  +77327104.75*C*D*E  -832156.82*A*C*F  -832546.16*B*C*F  +1013071.92*C*D*F  +1100620.26*A*E*F  +1100438.93*B*E*F  -1748022.94*C*E*F  +3588810.71*D*E*F  +51048829.37*A*C*D*E  +55484643.82*B*C*D*E  +2007758.25*A*C*E*F  +2007384.91*B*C*E*F  +4532832.45*C*D*E*F "
"l2_write_transactions","3145740.16 +23.87*A  +55.87*B  +22.16*C  +2097156.33*D  +23.73*E  -1048558.09*F  +18.81*(D**2)  +9.13*(E**2)  +2097152.00*(F**2)  +57.03*A*C  +62.37*B*C  +32.87*A*D  +32.87*B*D  +21.12*C*D  +17.19*A*E  +49.19*B*E  +90.86*C*E  +26.71*D*E  -1.64*A*F  +30.36*B*F  +26.22*C*F  -2097154.74*D*F  +15.11*E*F  -5.00*A*C*D  -5.00*B*C*D  +75.97*A*C*E  +54.63*B*C*E  +15.04*A*D*E  +15.04*B*D*E  +0.64*C*D*E  +55.00*A*C*F  +60.34*B*C*F  +11.12*C*D*F  +0.15*A*E*F  +32.15*B*E*F  +79.92*C*E*F  -1.18*D*E*F  -2.85*A*C*D*E  -2.85*B*C*D*E  +81.44*A*C*E*F  +60.10*B*C*E*F  -5.07*C*D*E*F "
"tex_utilization","1.88 -0.01*A  -0.01*B  -0.17*C  -0.32*D  -0.20*E  -0.03*F  -0.12*(D**2)  -0.01*(E**2)  -0.00*(F**2)  +0.33*A*C  +0.21*B*C  -0.00*A*D  -0.00*B*D  -0.03*C*D  +0.04*A*E  +0.04*B*E  -0.25*C*E  -0.42*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  -0.08*D*F  +0.00*E*F  +0.50*A*C*D  +0.26*B*C*D  +0.20*A*C*E  +0.24*B*C*E  +0.11*A*D*E  +0.11*B*D*E  -0.10*C*D*E  -0.03*A*C*F  -0.03*B*C*F  -0.10*C*D*F  -0.04*A*E*F  -0.04*B*E*F  -0.02*C*E*F  -0.14*D*E*F  +0.19*A*C*D*E  +0.27*B*C*D*E  -0.02*A*C*E*F  -0.02*B*C*E*F  -0.12*C*D*E*F "
"tex_cache_transactions","-16599170.97 +20605238.31*A  +21249548.63*B  +3279877.62*C  -15732732.62*D  -15272064.94*E  +1465405.33*F  +24150625.48*(D**2)  +24982542.20*(E**2)  +0.00*(F**2)  +24621603.27*A*C  +25265913.59*B*C  +23140473.22*A*D  +23380517.87*B*D  +55160033.56*C*D  +24525223.35*A*E  +24877860.38*B*E  +41232161.47*C*E  +49532901.95*D*E  -1018190.16*A*F  -1018190.16*B*F  +4087557.59*C*F  -1141950.00*D*F  -596437.26*E*F  +30448091.37*A*C*D  +30688136.02*B*C*D  +20585316.00*A*C*E  +20937953.03*B*C*E  +23803077.50*A*D*E  +24115135.55*B*D*E  +35950527.97*C*D*E  -2790403.42*A*C*F  -2790403.42*B*C*F  -2986498.49*C*D*F  +366997.55*A*E*F  +366997.55*B*E*F  -4486383.06*C*E*F  +275115.67*D*E*F  +14980617.49*A*C*D*E  +15292675.54*B*C*D*E  +2996064.36*A*C*E*F  +2996064.36*B*C*E*F  +3011491.33*C*D*E*F "
"local_memory_overhead","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  +0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  -0.00*A*D*E  -0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  +0.00*C*E*F  +0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  -0.00*A*C*E*F  -0.00*B*C*E*F  +0.00*C*D*E*F "
"shared_utilization","0.81 +0.09*A  -0.17*B  +0.93*C  -0.42*D  -0.26*E  -0.17*F  +0.14*(D**2)  +0.09*(E**2)  -0.03*(F**2)  -0.13*A*C  -0.38*B*C  +0.19*A*D  -0.32*B*D  -0.45*C*D  +0.12*A*E  +0.22*B*E  -0.30*C*E  -0.82*D*E  +0.08*A*F  +0.08*B*F  -0.21*C*F  +0.06*D*F  +0.09*E*F  -0.10*A*C*D  -0.61*B*C*D  -0.06*A*C*E  +0.04*B*C*E  +0.26*A*D*E  +0.47*B*D*E  -1.01*C*D*E  +0.12*A*C*F  +0.12*B*C*F  +0.07*C*D*F  -0.13*A*E*F  -0.13*B*E*F  +0.09*C*E*F  -0.34*D*E*F  +0.08*A*C*D*E  +0.28*B*C*D*E  -0.13*A*C*E*F  -0.13*B*C*E*F  -0.34*C*D*E*F "
"shared_efficiency","84.75 -5.62*A  +4.04*B  +79.01*C  +0.08*D  -7.63*E  +6.12*F  -8.05*(D**2)  -0.05*(E**2)  -0.00*(F**2)  -1.26*A*C  +8.40*B*C  -12.43*A*D  +9.83*B*D  -7.25*C*D  -2.74*A*E  -9.20*B*E  -7.60*C*E  -4.37*D*E  -3.19*A*F  -3.19*B*F  +9.53*C*F  -0.50*D*F  -2.10*E*F  -3.80*A*C*D  +18.47*B*C*D  -2.63*A*C*E  -9.09*B*C*E  -3.33*A*D*E  -14.19*B*D*E  -4.26*C*D*E  -5.49*A*C*F  -5.49*B*C*F  -2.90*C*D*F  +2.65*A*E*F  +2.65*B*E*F  -2.10*C*E*F  +6.42*D*E*F  -3.23*A*C*D*E  -14.09*B*C*D*E  +2.65*A*C*E*F  +2.65*B*C*E*F  +6.42*C*D*E*F "
