"X1","X2"
"WORK_GROUP_SIZE_X","A=(WORK_GROUP_SIZE_X-24)/8"
"WORK_GROUP_SIZE_Y","B=(WORK_GROUP_SIZE_Y-4)/2"
"WORK_GROUP_SIZE_Z","C=-1"
"Z_ITERATIONS","D=(Z_ITERATIONS-6)/5"
"INNER_UNROLL_FACTOR","E=(INNER_UNROLL_FACTOR-3)/3"
"USE_SOA","F=(USE_SOA-0.5)/0.5"
"USE_CONSTANT_MEMORY","G=-1"
"VECTOR_SIZE","H=-1"
"Condition","A==1 and C==-1 and F==1 and G==-1 and H==-1"
"Global size","3932160 +0.00*B  -4915200.00*D  -0.00*E  -0.00*(B**2)  +819200.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"Local size","128 +64.00*B  +0.00*D  -0.00*E  -0.00*(B**2)  -0.00*(D**2)  +0.00*(E**2)  -0.00*B*D  -0.00*B*E  +0.00*D*E  +0.00*B*D*E "
"dram__throughput.avg.pct_of_peak_sustained_elapsed","16.27 +0.04*B  +11.94*D  -2.41*E  -0.09*(B**2)  -0.22*(D**2)  -3.42*(E**2)  +0.03*B*D  +0.33*B*E  +3.55*D*E  -0.07*B*D*E "
"dram__sectors_read.sum","2391919.61 +646815.56*B  +4235940.17*D  -4404083.07*E  -587219.72*(B**2)  +627708.68*(D**2)  -6052313.33*(E**2)  +150520.20*B*D  -101073.30*B*E  +6057602.87*D*E  -15460.70*B*D*E "
"dram__sectors_write.sum","4819072.38 +256332.20*B  +10553972.05*D  -6574965.98*E  -328330.56*(B**2)  +740193.40*(D**2)  -8403175.00*(E**2)  +631577.04*B*D  -249978.72*B*E  +9736698.28*D*E  -87190.67*B*D*E "
"lts__t_sectors.avg.pct_of_peak_sustained_elapsed","75.52 -0.12*B  +7.33*D  +3.51*E  +0.25*(B**2)  -3.04*(D**2)  +2.05*(E**2)  -0.25*B*D  +0.51*B*E  -2.60*D*E  -0.04*B*D*E "
"lts__t_sectors_op_read.sum","9445836.34 +880376.88*B  +12053410.71*D  -3360697.94*E  -422409.44*(B**2)  +120934.26*(D**2)  -7806546.67*(E**2)  +600961.21*B*D  +368288.82*B*E  +8038576.43*D*E  -224833.46*B*D*E "
"lts__t_sectors_op_write.sum","138412334.53 +157.52*B  -517.21*D  +121.16*E  +27.78*(B**2)  +92.59*(D**2)  -83.33*(E**2)  -3.92*B*D  +553.18*B*E  +37.37*D*E  -112.12*B*D*E "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active","10.36 -0.01*B  -11.63*D  +0.07*E  +0.00*(B**2)  +1.87*(D**2)  +0.05*(E**2)  -0.00*B*D  +0.00*B*E  -0.06*D*E  +0.00*B*D*E "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","31981579 -0.00*B  -39321640.42*D  -0.00*E  +0.00*(B**2)  +6553607.29*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed","0.12 -0.00*B  -0.14*D  +0.00*E  +0.00*(B**2)  +0.02*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  -0.00*D*E  +0.00*B*D*E "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum","136085585.83 -173985.25*B  +298473.20*D  -311602.24*E  +194083.33*(B**2)  -38182.87*(D**2)  -517466.67*(E**2)  -62627.92*B*D  +83173.40*B*E  +472216.14*D*E  -3731.75*B*D*E "
"l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum","136385188.41 +75679.21*B  -47709.19*D  +5322.66*E  -77333.33*(B**2)  -1898.15*(D**2)  +81616.67*(E**2)  +42933.11*B*D  -45101.32*B*E  -69649.72*D*E  +13324.16*B*D*E "
"sm__warps_active.avg.pct_of_peak_sustained_active","95.06 -0.37*B  -11.07*D  +11.07*E  -0.75*(B**2)  +1.55*(D**2)  -2.31*(E**2)  +0.06*B*D  -1.05*B*E  +0.60*D*E  +0.24*B*D*E "
"smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","99.71 -0.07*B  -0.67*D  +0.43*E  -0.06*(B**2)  +0.02*(D**2)  +0.11*(E**2)  +0.01*B*D  -0.09*B*E  -0.03*D*E  +0.02*B*D*E "
"smsp__sass_thread_inst_executed_op_fp16_pred_on.sum","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
