"X1","X2"
"MWG","A=(MWG-32)/16"
"NWG","B=-1"
"KWG","C=-1"
"MDIMC","D=(MDIMC-16)/8"
"NDIMC","E=(NDIMC-12)/4"
"MDIMA","F=(MDIMA-16)/8"
"NDIMB","G=(NDIMB-12)/4"
"KWI","H=-1"
"VWM","J=(VWM-2)/1"
"VWN","K=(VWN-1.5)/0.5"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","B==-1 and C==-1 and E==-1 and G==-1 and H==-1 and K==1 and L==-1 and M==-1 and N==-1 and O==-1 and P==-1"
"Global size","16384 -4096.00*A  +4096.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Local size","128 -0.00*A  +64.00*D  +0.00*F  +0.00*J  -0.00*D*F "
"dram_utilization","4 -0.67*A  +0.33*D  -0.00*F  +0.33*J  +0.00*D*F "
"dram_read_transactions","2111649.22 -1880.00*A  +2511.56*D  -59.11*F  +26.67*J  -59.11*D*F "
"dram_write_transactions","8234.11 +36.00*A  -59.56*D  +52.44*F  -38.67*J  -28.89*D*F "
"l2_utilization","3.33 +0.33*A  +0.67*D  +0.00*F  -0.67*J  -0.00*D*F "
"l2_read_transactions","10485859.56 +7864320.00*A  +524310.22*D  +22.22*F  -8388578.67*J  +22.22*D*F "
"l2_write_transactions","-35.44 +16410.67*A  -16401.78*D  -17.78*F  -16410.67*J  +8.89*D*F "
"tex_utilization","7.67 -1.67*A  +1.00*D  -0.00*F  +0.33*J  +0.00*D*F "
"tex_cache_transactions","33554432 -4194304.00*A  +4194304.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"local_memory_overhead","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_efficiency","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_load_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_store_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"local_load_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"local_store_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"achieved_occupancy","0.52 -0.12*A  +0.13*D  +0.00*F  +0.00*J  -0.00*D*F "
"sm_efficiency","94.01 -0.07*A  -3.13*D  -0.07*F  -0.00*J  +0.07*D*F "
"inst_fp_16","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_fp_32","268435456 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_fp_64","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_integer","365585749.33 -66142208.00*A  +66142208.00*D  -0.00*F  -10132138.67*J  +0.00*D*F "
"inst_control","-174762.67 +2097152.00*A  -2097152.00*D  -0.00*F  -2271914.67*J  +0.00*D*F "
"inst_compute_ld_st","167821312 -16777216.00*A  +16777216.00*D  -0.00*F  -33570816.00*J  +0.00*D*F "
"inst_misc","78557184 -18033322.67*A  +18033322.67*D  -0.00*F  -3493888.00*J  +0.00*D*F "
"inst_bit_convert","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_executed","27508053.33 -3084032.00*A  +3084032.00*D  -0.00*F  -1545898.67*J  +0.00*D*F "
"half_precision_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"single_precision_fu_utilization","3.33 -0.67*A  +0.67*D  -0.00*F  +0.33*J  -0.00*D*F "
"flop_sp_efficiency","9.06 -1.34*A  +0.75*D  -0.00*F  +0.50*J  +0.00*D*F "
"double_precision_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"flop_dp_efficiency","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"special_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"cf_fu_utilization","1 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"ldst_fu_utilization","1 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"tex_fu_utilization","5.67 -1.00*A  +1.00*D  +0.00*F  -0.33*J  -0.00*D*F "
"issue_slot_utilization","25.77 -5.40*A  +4.48*D  -0.00*F  +0.36*J  -0.01*D*F "
"warp_execution_efficiency","100 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"warp_nonpred_execution_efficiency","99.99 -0.03*A  +0.03*D  +0.00*F  -0.01*J  -0.00*D*F "
"Maximum work-group size","1024 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Local memory size","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Private memory size","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Constant memory size","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Registers count","34.67 +2.67*A  -2.67*D  +0.00*F  +2.67*J  +0.00*D*F "
