"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==-1 and C==1 and D==-1 and J==1"
"Global size","67108864 +0.00*E  +58720256.00*F  -58720256.00*H  -0.00*(E**2)  +0.00*(F**2)  +12845056.00*(H**2)  +0.00*E*F  -0.00*E*H  -12845056.00*F*H "
"Local size","64 +56.00*E  +56.00*F  +0.00*H  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +49.00*E*F  -0.00*E*H  +0.00*F*H "
"dram_utilization","2 +0.06*E  +0.47*F  -0.41*H  +0.07*(E**2)  -0.14*(F**2)  +0.20*(H**2)  -0.17*E*F  +0.17*E*H  +0.00*F*H "
"dram_read_transactions","8687094 -23828374.15*E  +105303.80*F  -611221.92*H  +6931850.74*(E**2)  -96613.84*(F**2)  +162469.03*(H**2)  -27900.74*E*F  +32818.77*E*H  +69723.60*F*H "
"dram_write_transactions","8388608 -978661.83*E  -978615.11*F  -23449216.29*H  +285447.46*(E**2)  +285448.55*(F**2)  +6839354.67*(H**2)  +356809.24*E*F  -4.34*E*H  -19.06*F*H "
"l2_utilization","1 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"l2_read_transactions","8395683 -24466603.23*E  -979030.50*F  +1205.63*H  +7136011.28*(E**2)  +285680.89*(F**2)  -435.01*(H**2)  +357586.01*E*F  +120.12*E*H  +57.17*F*H "
"l2_write_transactions","8388609 -0.00*E  -0.00*F  -23488102.40*H  +0.00*(E**2)  -0.00*(F**2)  +6850696.53*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"tex_utilization","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"tex_cache_transactions","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"local_memory_overhead","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"shared_efficiency","50 -33.46*E  +0.00*F  -33.46*H  +7.21*(E**2)  +0.00*(F**2)  +7.21*(H**2)  +0.00*E*F  +1.35*E*H  -0.00*F*H "
"shared_load_transactions","2097152 +1835008.00*E  -241.50*F  +1835133.77*H  +0.00*(E**2)  -4.76*(F**2)  -0.61*(H**2)  +34.88*E*F  +1605597.12*E*H  +39.13*F*H "
"shared_store_transactions","2097152 +66.32*E  -544.37*F  +766.09*H  +7.28*(E**2)  -8526.48*(F**2)  -209.41*(H**2)  -2173.27*E*F  +2155.74*E*H  +8671.30*F*H "
"local_load_transactions","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"local_store_transactions","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"achieved_occupancy","0.48 +0.61*E  +0.58*F  +0.04*H  -0.14*(E**2)  -0.15*(F**2)  -0.01*(H**2)  -0.05*E*F  -0.01*E*H  +0.02*F*H "
"sm_efficiency","99.99 -0.01*E  -0.00*F  -0.01*H  +0.00*(E**2)  +0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"inst_fp_32","67108864 +0.00*E  +58720256.00*F  -58720256.00*H  -0.00*(E**2)  +0.00*(F**2)  +12845056.00*(H**2)  +0.00*E*F  -0.00*E*H  -12845056.00*F*H "
"inst_fp_64","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"inst_integer","3288399808 -62634995.73*E  +2177600114.67*F  -2177542826.67*H  +18268524.09*(E**2)  -79924792.89*(F**2)  +470985386.67*(H**2)  +1427179.44*E*F  -1427228.44*E*H  -391060593.78*F*H "
"inst_control","67108864 +0.00*E  +58720256.00*F  -58720256.00*H  -0.00*(E**2)  +0.00*(F**2)  +12845056.00*(H**2)  +0.00*E*F  -0.00*E*H  -12845056.00*F*H "
"inst_compute_ld_st","268435456 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"inst_misc","1207959552 +62634939.73*E  +916035993.60*F  -853401053.87*H  -18268524.09*(E**2)  -33111699.91*(F**2)  +180401675.38*(H**2)  -1427228.44*E*F  +1427228.44*E*H  -165558499.56*F*H "
"inst_bit_convert","134217728 +0.00*E  +117440512.00*F  -117440512.00*H  -0.00*(E**2)  +0.00*(F**2)  +25690112.00*(H**2)  +0.00*E*F  -0.00*E*H  -25690112.00*F*H "
"inst_executed","182452224 +0.00*E  +121630446.93*F  -119673105.07*H  -0.00*(E**2)  -4388727.47*(F**2)  +25761473.42*(H**2)  +0.00*E*F  -0.00*E*H  -21943637.33*F*H "
"flop_sp_efficiency","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"flop_dp_efficiency","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"cf_fu_utilization","1 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"ldst_fu_utilization","2 -1.11*E  -1.98*F  +0.87*H  +0.41*(E**2)  -0.27*(F**2)  -0.00*(H**2)  -0.17*E*F  +0.26*E*H  +0.68*F*H "
"tex_fu_utilization","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"issue_slot_utilization","27.44 +27.48*E  +24.11*F  +2.01*H  -6.69*(E**2)  -4.93*(F**2)  -0.89*(H**2)  -1.81*E*F  +0.68*E*H  -0.21*F*H "
"Maximum work-group size","1024 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Local memory size","256 +224.00*E  -0.00*F  +224.00*H  -0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  -0.00*E*F  +196.00*E*H  +0.00*F*H "
"Private memory size","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Constant memory size","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Registers count","32 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
