"X1","X2"
"WORK_GROUP_SIZE_X","A=(WORK_GROUP_SIZE_X-192)/128"
"OUTER_UNROLL_FACTOR","B=(OUTER_UNROLL_FACTOR-3)/2"
"INNER_UNROLL_FACTOR1","C=(INNER_UNROLL_FACTOR1-4)/4"
"INNER_UNROLL_FACTOR2","D=(INNER_UNROLL_FACTOR2-2)/2"
"USE_SOA","E=(USE_SOA-0.5)/0.5"
"LOCAL_MEM","F=(LOCAL_MEM-0.5)/0.5"
"USE_CONSTANT_MEMORY","G=-1"
"VECTOR_TYPE","H=(VECTOR_TYPE-2)/1"
"Condition","E==-1 and F==1 and G==-1"
"Global size","2048 -0.00*A  -10240.00*B  -0.00*C  -0.00*D  -0.00*(A**2)  +4096.00*(B**2)  +0.00*(C**2)  -0.00*(D**2)  -0.00*A*B  -0.00*A*C  +0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  -0.00*A*B*C  -0.00*A*B*D  -0.00*A*C*D  -0.00*B*C*D  +0.00*A*B*C*D "
"Local size","192 +128.00*A  +0.00*B  +0.00*C  +0.00*D  -0.00*(A**2)  -0.00*(B**2)  -0.00*(C**2)  +0.00*(D**2)  -0.00*A*B  +0.00*A*C  -0.00*B*C  -0.00*A*D  -0.00*B*D  -0.00*C*D  +0.00*A*B*C  +0.00*A*B*D  +0.00*A*C*D  +0.00*B*C*D  -0.00*A*B*C*D "
"dram_utilization","1.88 +0.13*A  +1.17*B  +0.25*C  -0.56*D  -0.08*(A**2)  +0.02*(B**2)  -0.10*(C**2)  -1.11*(D**2)  -0.03*A*B  -0.01*A*C  -0.02*B*C  +0.01*A*D  +1.11*B*D  +0.00*C*D  -0.01*A*B*C  +0.01*A*B*D  +0.00*A*C*D  -0.00*B*C*D  +0.00*A*B*C*D "
"dram_read_transactions","-427269.36 -1630977.15*A  +3529249.99*B  +7640.26*C  -1798692.53*D  +1127963.85*(A**2)  -11622.58*(B**2)  +37714.86*(C**2)  -3707433.73*(D**2)  +541972.83*A*B  -146771.00*A*C  +223198.16*B*C  -201097.74*A*D  +3744725.11*B*D  -84443.50*C*D  -304680.84*A*B*C  -44013.32*A*B*D  +114330.90*A*C*D  -19498.61*B*C*D  +25005.59*A*B*C*D "
"dram_write_transactions","17748610.81 +317699.56*A  +32301527.75*B  +2478269.06*C  -15925348.08*D  -143877.51*(A**2)  +285321.04*(B**2)  -1013276.34*(C**2)  -31865722.64*(D**2)  +153634.66*A*B  +2937.53*A*C  -37404.09*B*C  -34421.77*A*D  +31866743.30*B*D  +6722.27*C*D  +5975.80*A*B*C  +8980.35*A*B*D  -1766.75*A*C*D  -4458.80*B*C*D  -334.29*A*B*C*D "
"l2_utilization","1.37 +0.06*A  +0.54*B  +0.00*C  -0.27*D  -0.05*(A**2)  -0.00*(B**2)  -0.00*(C**2)  -0.52*(D**2)  -0.04*A*B  +0.00*A*C  -0.01*B*C  +0.01*A*D  +0.52*B*D  +0.00*C*D  +0.01*A*B*C  +0.00*A*B*D  -0.00*A*C*D  +0.00*B*C*D  -0.00*A*B*C*D "
"l2_read_transactions","35662502.03 -33703.23*A  +63803124.13*B  +6214619.50*C  -31738861.70*D  +17567.64*(A**2)  +1047253.08*(B**2)  -2526597.43*(C**2)  -63460017.52*(D**2)  +424264.47*A*B  +968.25*A*C  -23347.22*B*C  +12381.28*A*D  +63455392.26*B*D  +6792.66*C*D  +1934.08*A*B*C  +13093.10*A*B*D  -1987.85*A*C*D  +646.51*B*C*D  -1908.27*A*B*C*D "
"l2_write_transactions","17760501.09 +314641.35*A  +32318614.62*B  +2489237.35*C  -15933750.95*D  -142979.77*(A**2)  +286492.02*(B**2)  -1017259.44*(C**2)  -31881359.93*(D**2)  +150466.74*A*B  +2589.02*A*C  -35161.09*B*C  -33200.68*A*D  +31881529.67*B*D  +5942.68*C*D  +5178.04*A*B*C  +9502.48*A*B*D  -1620.64*A*C*D  -4580.90*B*C*D  -294.52*A*B*C*D "
"tex_utilization","0 +0.00*A  +0.00*B  +0.00*C  -0.00*D  -0.00*(A**2)  +0.00*(B**2)  -0.00*(C**2)  +0.00*(D**2)  +0.00*A*B  -0.00*A*C  +0.00*B*C  -0.00*A*D  -0.00*B*D  +0.00*C*D  +0.00*A*B*C  +0.00*A*B*D  +0.00*A*C*D  +0.00*B*C*D  -0.00*A*B*C*D "
