Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,58942,16777216,64,8,8,0,1,1,1,1,0,8,8,4,80615509,104845270,4,319294934,106955402,4,308281344,48.2165,0,0,0,0,205520896,102760448,0.737974,108.775,0,822083584,0,9596567552,822083584,2902458368,385875968,0,458227712,0,2,1.26223,0,0,0,1,1,4,16.5776,100,99.0847,1024,0,200,0,40
conv,21379,16777216,64,8,8,0,1,1,1,7,0,8,8,1,2103315,2068914,2,216531008,4194313,2,205520896,0,0,0,0,0,0,0,0.960875,99.9748,0,822083584,0,1006632960,16777216,1660944384,637534208,0,129499136,0,1,1.02529,0,0,0,1,1,2,4.0816,100,100,1024,0,0,0,32
conv,20155,8388608,64,8,8,0,1,2,1,1,0,8,8,8,52232297,60810366,2,179568984,62914569,2,167772160,48,0,0,0,0,115343360,58720256,0.986308,99.9572,0,822083584,0,3850371072,419430400,1778384896,327155712,0,228327424,0,1,1.08941,0,0,0,1,1,2,8.09664,100,98.5075,1024,0,224,0,32
conv,11158,8388608,64,8,8,0,1,2,1,7,0,8,8,1,2103315,2069238,2,121897008,4194313,2,110100480,0,0,0,0,0,0,0,0.967479,99.9856,0,822083584,0,729808896,8388608,897581056,419430400,0,89915392,0,1,1.96827,0,0,0,1,1,2,5.14274,100,100,1024,0,0,0,32
conv,12870,4194304,64,8,8,0,1,4,1,1,0,8,8,7,33137047,38787090,3,126550868,40894473,2,120061952,53.0059,0,0,0,0,115343360,36700160,0.740119,100.006,0,822083584,0,2000683008,209715200,1149239296,599785472,0,151126016,0,1,1.72579,0,0,0,1,1,3,8.35593,100,98.8725,1024,0,280,0,40
conv,6103,4194304,64,8,8,0,1,4,1,7,0,8,8,1,2103315,2069182,3,74580200,4194313,2,62390272,0,0,0,0,0,0,0,0.726622,99.8838,0,822083584,0,444596224,4194304,515899392,201326592,0,62128128,0,1,3.63768,0,0,0,1,1,2,6.81988,100,100,1024,0,0,0,40
conv,9284,2097152,64,8,8,0,1,8,1,1,0,8,8,8,28570267,27773326,3,85734212,29884425,2,73662464,52.3257,0,0,0,0,70254592,25690112,0.735934,100.094,0,822083584,0,1107296256,104857600,729808896,748683264,0,110624768,0,1,2.39483,0,0,0,1,1,2,8.87508,100,99.2299,1024,0,392,0,40
conv,3510,2097152,64,8,8,0,1,8,1,7,0,8,8,2,2117083,2068678,3,50921520,4194313,2,38535168,0,0,0,0,0,0,0,0.545412,99.9327,0,822083584,0,314572800,2097152,325058560,115343360,0,49348608,0,1,6.3501,0,0,0,1,1,3,10.0025,100,100,1024,0,0,0,56
conv,21058,8388608,64,8,8,0,2,1,1,1,0,8,8,8,62517122,60807335,3,277073048,62914569,2,212860928,47.4922,0,0,0,0,205520896,58720256,0.730813,99.9907,0,822083584,0,4395630592,411041792,1837105152,251658240,0,243269632,0,1,1.05481,0,0,0,1,1,3,7.54621,100,99.1379,1024,0,224,0,38
conv,12343,8388608,64,8,8,0,2,1,1,7,0,8,8,1,2103315,2068674,3,174325960,4194313,2,110100480,0,0,0,0,0,0,0,0.967056,99.9828,0,822083584,0,511705088,8388608,897581056,251658240,0,77856768,0,1,1.79633,0,0,0,1,1,2,3.85036,100,100,1024,0,0,0,32
conv,21090,8388608,64,8,8,0,2,1,2,1,0,8,8,8,62654169,60806918,3,277074072,60817465,2,212860928,47.787,0,0,0,0,205520896,58720256,0.730482,100.079,0,822083584,0,4437573632,411041792,1828716544,268435456,0,244842496,0,1,1.05398,0,0,0,1,1,3,7.5658,100,99.1435,1024,0,224,0,36
conv,12240,8388608,64,8,8,0,2,1,2,7,0,8,8,1,2103315,2068710,3,174325856,2097161,2,110100480,0,0,0,0,0,0,0,0.685795,100.001,0,822083584,0,562036736,8388608,889192448,436207616,0,84934656,0,1,1.8107,0,0,0,1,1,2,4.30545,100,100,1024,0,0,0,40
conv,14133,4194304,64,8,8,0,2,2,1,1,0,8,8,8,44070545,35641448,3,166465060,37748745,2,139460608,49.6308,0,0,0,0,160432128,33554432,0.737892,99.8781,0,822083584,0,1925185536,209715200,1241513984,364904448,0,144310272,0,1,1.5709,0,0,0,1,1,3,6.94164,100,98.8193,1024,0,256,0,40
