Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram__throughput.avg.pct_of_peak_sustained_elapsed,dram__sectors_read.sum,dram__sectors_write.sum,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__sass_thread_inst_executed_op_fp16_pred_on.sum,smsp__sass_thread_inst_executed_op_fp32_pred_on.sum,smsp__sass_thread_inst_executed_op_fp64_pred_on.sum,smsp__sass_thread_inst_executed_op_integer_pred_on.sum,smsp__sass_thread_inst_executed_op_control_pred_on.sum,smsp__sass_thread_inst_executed_op_memory_pred_on.sum,smsp__sass_thread_inst_executed_op_misc_pred_on.sum,smsp__sass_thread_inst_executed_op_conversion_pred_on.sum,smsp__inst_executed.sum,smsp__inst_executed_pipe_fp16.sum,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.ratio,smsp__thread_inst_executed_per_inst_executed.pct,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,20252,16777216,64,8,8,0,1,1,1,1,0,8,8,66.5371,5.45362e+07,1.03717e+08,23.4026,8.29193e+07,1.04858e+08,4.04216,5.13802e+07,0.0863615,0,0,1.02799e+08,1.03576e+08,87.0341,99.9686,0,8.22084e+08,0,4.89895e+09,8.22084e+08,2.90246e+09,1.9126e+09,0,3.59137e+08,0,4.62179,0,0,3.7795,0,7.39711,32,100,1024,0,200,0,58
conv,4558,16777216,64,8,8,0,1,1,1,7,0,8,8,11.9835,2.10338e+06,2.09718e+06,6.63037,8.17081e+06,2.0973e+06,21.9493,5.13802e+07,0.447877,0,0,0,0,95.7887,99.9432,0,8.22084e+08,0,4.1943e+08,1.67772e+07,1.66094e+09,1.17441e+08,0,9.54204e+07,0,7.5062,0,0,11.3153,0,10.1954,32,100,1024,0,0,0,64
conv,12557,8388608,64,8,8,0,1,2,1,1,0,8,8,68.2363,3.46456e+07,6.03551e+07,17.8612,4.93692e+07,6.08174e+07,2.85437,2.75251e+07,0.0562678,0,0,5.76326e+07,5.86827e+07,87.513,99.9545,0,8.22084e+08,0,2.56691e+09,4.1943e+08,1.4764e+09,6.0398e+08,0,1.87433e+08,0,2.47691,0,0,2.50506,0,5.03133,32,100,1024,0,224,0,62
conv,3262,8388608,64,8,8,0,1,2,1,7,0,8,8,24.0019,2.10364e+06,2.09728e+06,10.7484,6.12494e+06,2.09727e+06,23.5916,2.75251e+07,0.449303,0,0,0,0,94.1786,99.8734,0,8.22084e+08,0,2.68435e+08,8.38861e+06,8.97581e+08,5.87203e+07,0,6.44874e+07,0,13.4962,0,0,12.259,0,13.8345,32,100,1024,0,0,0,64
conv,9259,4194304,64,8,8,0,1,4,1,1,0,8,8,72.5747,3.14353e+07,3.87964e+07,20.8848,5.08582e+07,3.87974e+07,2.34743,1.55976e+07,0.040422,0,0,5.76371e+07,3.66932e+07,97.2318,99.9459,0,8.22084e+08,0,1.52673e+09,2.09715e+08,1.12407e+09,5.07511e+08,0,1.33038e+08,0,3.29618,0,0,2.72997,0,5.1315,32,100,1024,0,280,0,64
conv,5010,4194304,64,8,8,0,1,4,1,7,0,8,8,41.8459,2.10336e+06,2.09725e+06,19.8531,6.71122e+06,2.09717e+06,23.3208,1.55976e+07,0.392861,0,0,0,0,95.174,99.7608,0,8.22084e+08,0,1.80355e+08,4.1943e+06,5.15899e+08,2.93601e+07,0,4.86277e+07,0,21.6592,0,0,12.3064,0,18.2648,32,100,1024,0,0,0,64
conv,7621,2097152,64,8,8,0,1,8,1,1,0,8,8,75.3127,2.82587e+07,2.77865e+07,20.0349,3.81268e+07,2.77873e+07,1.86825,9.63379e+06,0.0263906,0,0,3.51137e+07,2.56903e+07,98.5341,99.9342,0,8.22084e+08,0,9.24844e+08,1.04858e+08,7.08837e+08,5.55745e+08,0,9.84351e+07,0,3.88858,0,0,2.24468,0,4.95831,32,100,1024,0,392,0,64
conv,2624,2097152,64,8,8,0,1,8,1,7,0,8,8,45.2969,2.10336e+06,2.09718e+06,43.3635,1.55504e+07,2.09717e+06,15.6773,9.63379e+06,0.212533,0,0,0,0,96.9219,99.7194,0,8.22084e+08,0,1.32121e+08,2.09715e+06,3.25059e+08,1.46801e+07,0,4.05668e+07,0,22.5919,0,0,8.36539,0,16.4936,32,100,1024,0,0,0,64
conv,12946,8388608,64,8,8,0,2,1,1,1,0,8,8,78.8846,5.261e+07,6.06502e+07,23.2048,8.6261e+07,6.11137e+07,2.75525,2.75251e+07,0.0546821,0,0,1.0268e+08,5.87114e+07,90.2115,99.9618,0,8.22084e+08,0,2.55014e+09,4.11042e+08,1.83711e+09,1.41767e+09,0,2.22036e+08,0,3.65143,0,0,3.02234,0,5.79179,32,100,1024,0,224,0,64
conv,3792,8388608,64,8,8,0,2,1,1,7,0,8,8,17.2674,2.10338e+06,2.09717e+06,8.77415,5.91374e+06,3.55136e+06,16.9558,2.75251e+07,0.322859,0,0,0,0,96.2095,99.9198,0,8.22084e+08,0,3.0199e+08,8.38861e+06,8.97581e+08,5.87203e+07,0,6.5536e+07,0,9.37042,0,0,8.80496,0,10.0981,32,100,1024,0,0,0,64
