Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,16085,4194304,64,8,8,0,1,1,1,1,0,8,8,5,22065215,26214532,3,79775499,26215313,0,0,48.4295,0,0,0,7105544,9078357,0.488336,99.9852,205520896,0,1669332992,205520896,725614592,272629760,0,97255424,0.82752,0,1,5,0,21.7497,1024,0,200,0,32
conv,8610,4194304,64,8,8,0,1,1,1,7,0,8,8,1,675780,524288,2,54133014,524289,0,0,0,0,0,0,0,0,0.469751,99.9756,205520896,0,138412032,4194304,415236096,37748736,0,25034752,1.37146,0,1,6,0,15.9466,1024,0,0,0,32
conv,8458,2097152,64,8,8,0,1,2,1,1,0,8,8,6,14521040,15204352,2,44892194,15204353,0,0,48.4183,0,0,0,4095157,5007457,0.488489,99.9707,205520896,0,790626304,104857600,444596224,255852544,0,57147392,1.39898,0,1,5,0,20.8477,1024,0,224,0,32
conv,4876,2097152,64,8,8,0,1,2,1,7,0,8,8,1,813104,524288,2,30474554,524289,0,0,0,0,0,0,0,0,0.469104,99.9446,205520896,0,113246208,2097152,224395264,18874368,0,17629184,2.42729,0,1,6,0,17.1327,1024,0,0,0,32
conv,5631,1048576,64,8,8,0,1,4,1,1,0,8,8,6,9973598,9699416,3,32784594,9699441,0,0,54.8786,0,0,0,4450313,3493218,0.488169,99.9408,205520896,0,411041792,52428800,287309824,182452224,0,36012032,2.10351,0,1,5,0,24.9222,1024,0,280,0,40
conv,3033,1048576,64,8,8,0,1,4,1,7,0,8,8,1,717186,524288,2,18645430,524289,0,0,0,0,0,0,0,0,0.48315,99.913,205520896,0,73400320,1048576,128974848,9437184,0,13074432,3.91647,0,1,6,0,18.4656,1024,0,0,0,40
conv,4643,524288,64,8,8,0,1,8,1,1,0,8,8,6,7908683,6946792,2,21478722,6946605,0,0,53.3705,0,0,0,2968325,2767545,0.487248,99.9186,205520896,0,223870976,26214400,182452224,223870976,0,27148288,2.59715,0,1,5,0,23.1482,1024,0,392,0,36
conv,2118,524288,64,8,8,0,1,8,1,7,0,8,8,1,586437,524288,2,12731182,524289,0,0,0,0,0,0,0,0,0.481799,99.8159,205520896,0,53477376,524288,81264640,4718592,0,10797056,5.62386,0,1,6,0,20.6329,1024,0,0,0,56
conv,9653,2097152,64,8,8,0,2,1,1,1,0,8,8,7,21340343,15239234,3,69269606,15728641,0,0,47.4923,0,0,0,7886941,6472713,0.487924,99.9695,205520896,0,836763648,102760448,459276288,153092096,0,55443456,1.22377,0,1,5,0,20.9392,1024,0,224,0,32
conv,5645,2097152,64,8,8,0,2,1,1,7,0,8,8,1,662786,919233,3,43581734,1048577,0,0,0,0,0,0,0,0,0.424219,99.9527,205520896,0,71303168,2097152,224395264,18874368,0,16318464,2.09474,0,1,6,0,15.0254,1024,0,0,0,40
conv,9666,2097152,64,8,8,0,2,1,2,1,0,8,8,7,21405206,15204360,3,69270690,15204353,0,0,47.788,0,0,0,7888649,6475035,0.488635,99.9719,205520896,0,847249408,102760448,457179136,155189248,0,55771136,1.22035,0,1,5,0,21.9644,1024,0,224,0,32
conv,5555,2097152,64,8,8,0,2,1,2,7,0,8,8,1,527578,524288,3,43581734,524289,0,0,0,0,0,0,0,0,0.419918,99.9564,205520896,0,83886080,2097152,222298112,20971520,0,16711680,2.129,0,1,6,0,14.9512,1024,0,0,0,40
conv,5741,1048576,64,8,8,0,2,2,1,1,0,8,8,7,13024571,8964492,3,42081826,9437185,0,0,50.0744,0,0,0,6328678,3689555,0.489505,99.9556,205520896,0,395313152,52428800,310378496,181403648,0,36208640,2.06332,0,1,6,0,25.098,1024,0,256,0,40
conv,3227,1048576,64,8,8,0,2,2,1,7,0,8,8,1,663450,960673,3,24674650,1048577,0,0,0,0,0,0,0,0,0.472074,99.9236,205520896,0,57671680,1048576,122683392,9437184,0,12386304,3.67653,0,1,6,0,17.5119,1024,0,0,0,40
conv,5840,1048576,64,8,8,0,2,2,2,1,0,8,8,7,12995203,8912896,3,42150818,8912897,0,0,50.643,0,0,0,6282860,3672417,0.488034,99.9582,205520896,0,404750336,52428800,308281344,183500800,0,36503552,2.016,0,1,6,0,23.54,1024,0,256,0,40
conv,3175,1048576,64,8,8,0,2,2,2,7,0,8,8,1,675824,524288,3,24674690,524289,0,0,0,0,0,0,0,0,0.46679,99.8752,205520896,0,67108864,1048576,120586240,10485760,0,12648448,3.73702,0,1,6,0,17.6346,1024,0,0,0,40
conv,4310,524288,64,8,8,0,2,4,1,1,0,8,8,6,9188630,5851068,3,31105394,6291457,0,0,56.5405,0,0,0,5548373,2332323,0.486965,99.9089,205520896,0,211288064,26214400,227540992,119013376,0,24887296,2.75603,0,1,6,0,23.8173,1024,0,320,0,38
conv,2042,524288,64,8,8,0,2,4,1,7,0,8,8,2,539695,997495,3,15221242,1048577,0,0,0,0,0,0,0,0,0.477902,99.7812,205520896,0,42467328,524288,71827456,4718592,0,10158080,5.83509,0,1,6,0,20.2019,1024,0,0,0,56
conv,4362,524288,64,8,8,0,2,4,2,1,0,8,8,6,9368170,5767168,3,31198330,5767169,0,0,57.3969,0,0,0,5628943,2341064,0.487243,99.9064,205520896,0,214958080,26214400,225443840,119537664,0,24952832,2.7261,0,1,6,0,23.9672,1024,0,320,0,40
conv,2036,524288,64,8,8,0,2,4,2,7,0,8,8,1,559360,524288,3,15221242,524289,0,0,0,0,0,0,0,0,0.47901,99.8518,205520896,0,46137344,524288,69730304,5242880,0,10223616,5.86097,0,1,6,0,20.683,1024,0,0,0,56
conv,4435,262144,64,8,8,0,2,8,1,1,0,8,8,6,9503719,4305674,2,25911758,4718593,0,0,62.2979,0,0,0,5033077,1584333,0.482885,99.8589,205520896,0,132644864,13107200,186122240,127664128,0,20889600,2.66215,0,1,5,0,17.7573,1024,0,448,0,38
conv,2067,262144,64,8,8,0,2,8,1,7,0,8,8,5,3566888,1458915,2,11149690,1670341,0,0,9.95487,0,0,0,268488,265873,0.479561,99.7615,205520896,0,33292288,262144,54001664,7864320,0,9404416,5.78694,0,1,6,0,20.8054,1024,0,80,0,63
conv,4469,262144,64,8,8,0,2,8,2,1,0,8,8,6,9380502,4194304,2,25846450,4194305,0,0,63.3191,0,0,0,5422983,1705304,0.482276,99.8262,205520896,0,135266304,13107200,184025088,115343360,0,20520960,2.68579,0,1,5,0,19.9055,1024,0,448,0,38
conv,2181,262144,64,8,8,0,2,8,2,7,0,8,8,4,3929139,1243568,2,11214378,1243469,0,0,11.5457,0,0,0,310246,318385,0.479346,99.8136,205520896,0,35913728,262144,53215232,7340032,0,9445376,5.4785,0,1,6,0,20.709,1024,0,88,0,63
conv,8993,1048576,64,8,8,0,4,1,1,1,0,8,8,7,25346652,9862917,3,68582078,11272149,0,0,43.6588,0,0,0,8626261,4620680,0.488651,99.9544,205520896,0,418381824,51380224,371195904,78643200,0,35422208,1.32373,0,1,6,0,20.5914,1024,0,280,0,38
conv,4762,1048576,64,8,8,0,4,1,1,7,0,8,8,1,675218,1808424,3,42893638,2097153,0,0,0,0,0,0,0,0,0.444762,99.9159,205520896,0,35651584,1048576,128974848,9437184,0,11894784,2.48532,0,1,6,0,15.765,1024,0,0,0,56
conv,8971,1048576,64,8,8,0,4,1,2,1,0,8,8,7,25361625,9750294,3,68583342,10223573,0,0,44.2408,0,0,0,8701478,4787023,0.488294,99.9526,205520896,0,424673280,51380224,369098752,79691776,0,35586048,1.31581,0,1,6,0,21.1434,1024,0,280,0,39
conv,4813,1048576,64,8,8,0,4,1,2,7,0,8,8,1,527586,970392,3,42893638,1048577,0,0,0,0,0,0,0,0,0.440185,99.8921,205520896,0,41943040,1048576,126877696,10485760,0,12058624,2.48556,0,1,6,0,15.731,1024,0,0,0,56
conv,8848,1048576,64,8,8,0,4,1,4,1,0,8,8,7,25154836,9699744,3,68581874,9699497,0,0,44.5375,0,0,0,8698788,4926817,0.489467,99.9688,205520896,0,424673280,51380224,368050176,79691776,0,35553280,1.3519,0,1,6,0,21.7258,1024,0,280,0,39
