Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,84360,16777216,64,8,8,0,1,1,1,1,0,8,8,2,3574020,35607177,3,320589815,106954754,5,308281344,48.2165,0,0,0,0,205520896,102760448,0.738766,99.9973,822083584,0,9596567552,822083584,2902458368,402653184,0,458752000,3,1.80158,0,0,0,1,1,6,25.9949,100,99.0857,1024,0,200,0,40
conv,54459,16777216,64,8,8,0,1,1,1,7,0,8,8,1,3012287,2108733,3,217569624,4194306,5,205520896,0,0,0,0,0,0,0,0.952098,99.9949,822083584,0,1006632960,16777216,1660944384,654311424,0,130023424,1,2.79129,0,0,0,1,1,5,11.2228,100,100,1024,0,0,0,32
conv,48420,8388608,64,8,8,0,1,2,1,1,0,8,8,6,9451151,52724641,3,180348342,62914562,5,167772160,48,0,0,0,0,115343360,58720256,0.97229,99.9897,822083584,0,3850371072,419430400,1778384896,729808896,0,240910336,2,3.1301,0,0,0,1,1,6,25.1393,100,98.5854,1024,0,224,0,32
conv,28869,8388608,64,8,8,0,1,2,1,7,0,8,8,1,2623195,2108925,3,122417204,4194306,5,110100480,0,0,0,0,0,0,0,0.961543,99.9938,822083584,0,729808896,8388608,897581056,394264576,0,89128960,2,5.26808,0,0,0,1,1,5,13.4937,100,100,1024,0,0,0,32
conv,32342,4194304,64,8,8,0,1,4,1,1,0,8,8,5,5928207,32372531,4,132772836,40894466,5,120061952,54.5042,0,0,0,0,115343360,36700160,0.737943,99.9901,822083584,0,2000683008,209715200,1149239296,591396864,0,150863872,2,4.69921,0,0,0,1,1,6,22.947,100,98.8705,1024,0,280,0,40
conv,15538,4194304,64,8,8,0,1,4,1,7,0,8,8,2,2360956,2107081,3,74838342,4194306,5,62390272,0,0,0,0,0,0,0,0.724772,99.9846,822083584,0,444596224,4194304,515899392,209715200,0,62390272,2,8.64821,0,0,0,1,1,5,16.2402,100,100,1024,0,0,0,40
conv,24137,2097152,64,8,8,0,1,8,1,1,0,8,8,7,13459282,27374831,3,86440242,29884418,4,73662464,52.459,0,0,0,0,70254592,25690112,0.738195,99.9855,822083584,0,1107296256,104857600,729808896,754974720,0,110821376,2,5.59716,0,0,0,1,1,5,21.0068,100,99.2312,1024,0,392,0,40
conv,10963,2097152,64,8,8,0,1,8,1,7,0,8,8,2,2420197,2108665,3,51183126,4194306,4,38535168,0,0,0,0,0,0,0,0.542383,99.9748,822083584,0,314572800,2097152,325058560,119537664,0,49479680,2,12.2627,0,0,0,1,1,4,19.3377,100,100,1024,0,0,0,56
conv,54535,8388608,64,8,8,0,2,1,1,1,0,8,8,3,3594264,31591388,4,277985774,62914562,5,212860928,47.4942,0,0,0,0,205520896,58720256,0.73885,99.9952,822083584,0,4395630592,411041792,1837105152,251658240,0,243269632,2,2.4662,0,0,0,1,1,6,17.7425,100,99.1379,1024,0,224,0,38
conv,31899,8388608,64,8,8,0,2,1,1,7,0,8,8,1,2622935,2108553,3,174975268,4194306,4,110100480,0,0,0,0,0,0,0,0.949072,99.9904,822083584,0,511705088,8388608,897581056,285212672,0,78905344,1,4.21114,0,0,0,1,1,4,9.28272,100,100,1024,0,0,0,32
