Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,35911,16777216,64,16,4,1,1,0,0,0,1,1,2100154,2070605,1,35655248,2097802,10,538968064,0,0,0,0,0,0,0,0.982008,98.887,0,8606711808,0,889192448,117440512,1107296256,1040187392,50331648,372244480,0,3,20.0168,0,0,2,1,1,3,29.1612,100,99.1549,1024,0,0,0,32
directCoulombSum,41956,16777216,64,16,4,1,1,0,1,0,1,1,2098478,2068523,1,136316216,2097161,3,538968064,0,0,0,0,0,0,0,0.937365,99.995,0,8606711808,0,3724541952,285212672,4328521728,1610612736,50331648,584056832,0,1,4.58352,0,0,1,1,1,3,9.2014,100,99.5512,1024,0,0,0,32
directCoulombSum,5477,8388608,64,16,4,1,2,0,0,0,1,1,2097190,2068507,1,18874416,2097161,9,270532608,0,0,0,0,0,0,0,0.960677,99.3617,0,6459228160,0,872415232,142606336,570425344,285212672,25165824,262406144,0,4,24.3935,0,0,3,1,1,3,34.8479,100,99.5005,1024,0,0,0,29
directCoulombSum,21147,8388608,64,16,4,1,2,0,1,0,1,1,2097190,2068507,1,69206064,2097289,3,270532608,0,0,0,0,0,0,0,0.940635,100.019,0,6459228160,0,1962934272,142606336,2181038080,1073741824,25165824,371458048,0,1,6.31023,0,0,1,1,1,3,11.0551,100,99.6471,1024,0,0,0,32
directCoulombSum,11039,8388608,64,16,4,1,2,1,0,0,1,1,2097566,2076675,5,155189688,138412041,7,406847488,92.8571,0,0,0,0,272629760,136314880,0.983948,99.9025,0,6996099072,0,6224347136,1090519040,2743074816,1182793728,25165824,588775424,0,4,12.8899,0,0,2,1,1,6,39.2173,100,96.9279,1024,0,8,0,16
directCoulombSum,24355,8388608,64,16,4,1,2,1,1,0,1,1,2097190,2076631,3,205520944,138412041,3,406847488,79.2683,0,0,0,0,272629760,136314880,0.992214,100.031,0,6996099072,0,9982443520,1090519040,4353687552,2256535552,25165824,790102016,0,2,5.81682,0,0,1,1,1,4,22.5636,100,97.7107,1024,0,8,0,19
directCoulombSum,2965,4194304,64,16,4,1,4,0,0,0,1,2,2097190,2068479,1,10485808,2097161,9,136314880,0,0,0,0,0,0,0,0.982976,100.213,0,5385486336,0,541065216,71303168,301989888,163577856,12582912,203030528,0,5,35.521,0,0,5,1,1,3,49.5386,100,99.6772,1024,0,0,0,32
directCoulombSum,10817,4194304,64,16,4,1,4,0,1,0,1,1,2097190,2068507,1,35651632,2097161,3,136314880,0,0,0,0,0,0,0,0.973364,99.7336,0,5385486336,0,1073741824,71303168,1107296256,696254464,12582912,261488640,0,2,9.60761,0,0,2,1,1,3,15.5019,100,99.7494,1024,0,0,0,32
directCoulombSum,9285,4194304,64,16,4,1,4,1,0,0,1,1,2098470,4395884,6,146802232,138412041,6,272629760,95.5882,0,0,0,0,272629760,136314880,0.991084,99.7847,0,5653921792,0,4815060992,1082130432,2470445056,595591168,12582912,466223104,0,3,11.7188,0,0,2,1,1,6,35.0821,100,98.0602,1024,0,16,0,15
directCoulombSum,14080,4194304,64,16,4,1,4,1,1,0,1,1,2097190,4987069,4,171966528,138412041,4,272629760,87.8378,0,0,0,0,272629760,136314880,0.987541,99.9071,0,5653921792,0,6694109184,1082130432,3275751424,1132462080,12582912,566886400,0,3,7.7041,0,0,1,1,1,6,27.2804,100,98.4046,1024,0,16,0,19
