Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram__throughput.avg.pct_of_peak_sustained_elapsed,dram__sectors_read.sum,dram__sectors_write.sum,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__sass_thread_inst_executed_op_fp16_pred_on.sum,smsp__sass_thread_inst_executed_op_fp32_pred_on.sum,smsp__sass_thread_inst_executed_op_fp64_pred_on.sum,smsp__sass_thread_inst_executed_op_integer_pred_on.sum,smsp__sass_thread_inst_executed_op_control_pred_on.sum,smsp__sass_thread_inst_executed_op_memory_pred_on.sum,smsp__sass_thread_inst_executed_op_misc_pred_on.sum,smsp__sass_thread_inst_executed_op_conversion_pred_on.sum,smsp__inst_executed.sum,smsp__inst_executed_pipe_fp16.sum,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.ratio,smsp__thread_inst_executed_per_inst_executed.pct,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,3980,16777216,64,16,4,1,1,0,0,0,1,7.76662,2097210,2097250,2.3045,2098770,2097180,12.3257,34078700,0.568711,0,0,0,0,85.2131,99.9502,0,7532970000,0,603980000,117441000,1107300000,1291850000,50331600,340263000,0,43.2435,0,25.4151,6.54343,0,30.7733,32,100,896,0,0,0,66
directCoulombSum,4155,16777216,64,16,4,1,1,0,1,0,1,9.53194,2097560,2097270,2.21353,2099360,2097230,46.8202,134742000,0.546346,0,0,0,0,82.6376,99.9179,0,7532970000,0,3456110000,285213000,4328520000,1308620000,50331600,534249000,0,41.5564,0,24.4235,23.7856,0,46.4322,32,100,1024,0,0,0,37
directCoulombSum,2040,8388608,64,16,4,1,2,0,0,0,1,19.4663,2097210,2097160,4.50183,2098730,2097180,12.2888,17301500,0.558282,0,0,0,0,97.1358,99.9082,0,5385490000,0,696254000,142606000,570425000,1224740000,25165800,253493000,0,60.6292,0,48.8014,6.61241,0,45.03,32,100,1024,0,0,0,31
directCoulombSum,2182,8388608,64,16,4,1,2,0,1,0,1,18.2047,2097200,2097210,4.21934,2099080,2097180,44.996,67633200,0.522773,0,0,0,0,89.2338,99.8441,0,5385490000,0,1778380000,142606000,2181040000,1216350000,25165800,337379000,0,56.8967,0,45.7268,22.9507,0,56.1555,32,100,1024,0,0,0,40
directCoulombSum,4665,8388608,64,16,4,1,2,1,0,0,1,8.47497,2097360,2102420,65.5131,2142140,138412000,5.34795,17301500,0.242826,0,0,136314000,136315000,96.9585,99.8298,0,5922360000,0,5519700000,1090520000,2743070000,2239760000,25165800,567804000,0,34.1752,0,21.243,13.3782,0,43.905,32,100,1024,0,8,0,18
directCoulombSum,4752,8388608,64,16,4,1,2,1,1,0,1,8.3074,2098230,2104160,64.5495,2242360,138413000,20.6008,67633200,0.239359,0,0,136314000,136315000,94.6215,99.9582,0,5922360000,0,6585060000,1090520000,4353690000,2785020000,25165800,668467000,0,38.7125,0,20.9127,20.8329,0,50.8853,32,100,1024,0,8,0,20
directCoulombSum,1105,4194304,64,16,4,1,4,0,0,0,1,35.7087,2097350,2097290,8.34454,2098720,2097180,11.7653,8912900,0.518192,0,0,0,0,97.3316,99.78,0,4311740000,0,394265000,71303200,301990000,1249900000,12582900,199229000,0,90.3642,0,89.6718,6.49168,0,65.7833,32,100,1024,0,0,0,41
directCoulombSum,1232,4194304,64,16,4,1,4,0,1,0,1,32.0608,2097190,2097120,7.51581,2098720,2097220,40.3972,34078700,0.465721,0,0,0,0,96.9294,99.8438,0,4311740000,0,931135000,71303200,1107300000,1170210000,12582900,238682000,0,81.1623,0,80.5403,20.757,0,70.7847,32,100,1024,0,0,0,43
directCoulombSum,4122,4194304,64,16,4,1,4,1,0,0,1,12.3094,2098150,3363200,74.2688,3032940,138412000,3.10716,8912900,0.13674,0,0,136324000,136315000,96.796,99.5696,0,4580180000,0,3066040000,1082130000,2470450000,1677720000,12582900,454558000,0,26.7795,0,23.7124,13.55,0,39.6888,32,100,1024,0,16,0,16
directCoulombSum,4133,4194304,64,16,4,1,4,1,1,0,1,11.9088,2097880,3181820,74.4258,3168320,138412000,11.8858,34078700,0.136926,0,0,136319000,136316000,96.0662,99.8563,0,4580180000,0,3871340000,1082130000,3275750000,1677720000,12582900,504889000,0,31.127,0,23.6766,17.9175,0,44.0169,32,100,1024,0,16,0,20
directCoulombSum,4180,4194304,64,16,4,1,4,2,0,0,1,11.7499,2097160,3133840,73.9841,3044670,138412000,3.08731,8912900,0.136192,0,0,136332000,136317000,97.5485,99.9305,0,4580180000,0,1992290000,545260000,1396700000,1677720000,12582900,353894000,0,26.5759,0,23.5322,7.63206,0,30.6648,32,100,1024,0,16,0,19
directCoulombSum,4141,4194304,64,16,4,1,4,2,1,0,1,10.9748,2097660,2799260,73.8248,2968190,138411000,11.8091,34078700,0.136116,0,0,136318000,136319000,97.1226,99.9379,0,4580180000,0,2797600000,545260000,2202010000,1677720000,12582900,404226000,0,30.9175,0,23.5172,11.9856,0,35.0038,32,100,1024,0,16,0,20
directCoulombSum,1025,2097152,64,16,4,1,8,0,0,0,1,38.4595,2097230,2097010,8.97711,2098760,2097180,6.6994,4718590,0.278658,0,0,0,0,97.5601,99.7064,0,3774870000,0,239075000,35651600,167772000,1159730000,6291460,168755000,0,85.1479,0,95.9544,3.86612,0,59.9725,32,100,1024,0,0,0,53
directCoulombSum,1088,2097152,64,16,4,1,8,0,1,0,1,36.1087,2097190,2096920,8.44125,2099050,2097180,23.0813,17301500,0.262022,0,0,0,0,97.4507,99.7986,0,3774870000,0,507511000,35651600,570425000,1145040000,6291460,189268000,0,79.9904,0,90.1424,12.0336,0,63.1882,32,100,1024,0,0,0,51
directCoulombSum,4233,2097152,64,16,4,1,8,1,0,0,1,21.3105,2097520,7550450,76.5174,10383900,138412000,1.61906,4718590,0.0670325,0,0,136348000,136335000,83.0208,99.0877,0,3909090000,0,2646610000,1077940000,2336230000,1390410000,6291460,397869000,0,22.0313,0,23.2264,12.5941,0,34.2254,32,100,1024,0,32,0,18
directCoulombSum,4241,2097152,64,16,4,1,8,1,1,0,1,20.8894,2097900,7320330,76.5493,10277400,138412000,5.95827,17301500,0.0670676,0,0,136269000,136336000,82.4259,98.9181,0,3909090000,0,3049260000,1077940000,2738880000,1390410000,6291460,423035000,0,24.2502,0,23.2784,14.7919,0,36.4716,32,100,1024,0,32,0,20
directCoulombSum,4208,2097152,64,16,4,1,8,2,0,0,1,24.9177,2097830,9106200,78.6913,14373000,138412000,1.6228,4718590,0.0671094,0,0,136252000,136401000,86.5901,99.2051,0,3909090000,0,1572860000,541065000,1262490000,1390410000,6291460,297206000,0,22.0304,0,23.2255,6.82109,0,25.5652,32,100,1024,0,32,0,20
directCoulombSum,4206,2097152,64,16,4,1,8,2,1,0,1,23.7063,2097510,8568670,78.2323,13327900,138412000,5.95702,17301500,0.0671847,0,0,136301000,136366000,87.2093,99.1791,0,3909090000,0,1975520000,541065000,1665140000,1390410000,6291460,322372000,0,24.2286,0,23.2577,8.99824,0,27.7684,32,100,1024,0,32,0,20
directCoulombSum,4195,2097152,64,16,4,1,8,4,0,0,1,25.8576,2097340,9544250,79.3956,15224000,138412000,1.62157,4718590,0.0673075,0,0,136300000,136306000,92.7894,99.669,0,3909090000,0,1035990000,272630000,725615000,1390410000,6291460,246874000,0,21.9926,0,23.1856,3.92805,0,21.1994,32,100,1024,0,32,0,22
directCoulombSum,4202,2097152,64,16,4,1,8,4,1,0,1,21.2959,2097160,7515800,78.0509,12590200,138412000,5.9374,17301500,0.0673305,0,0,136447000,136159000,94.4811,99.8406,0,3909090000,0,1438650000,272630000,1128270000,1390410000,6291460,272040000,0,24.1203,0,23.1537,6.08066,0,23.3282,32,100,1024,0,32,0,23
directCoulombSum,1011,1048576,64,16,4,1,16,0,0,0,1,38.955,2097940,2097490,9.07984,2098990,2097180,3.76892,2621440,0.140891,0,0,0,0,97.3583,99.6411,0,3506440000,0,240124000,67108900,100663000,1132460000,3145730,162300000,0,80.3612,0,96.8105,2.33307,0,58.3632,32,100,1024,0,0,0,48
directCoulombSum,1064,1048576,64,16,4,1,16,0,1,0,1,37.0723,2097190,2097240,8.64762,2098720,2097180,12.1974,8912900,0.134159,0,0,0,0,97.2063,99.6522,0,3506440000,0,240124000,67108900,301990000,1125120000,3145730,193724000,0,76.5133,0,92.175,6.52944,0,66.3275,32,100,1024,0,0,0,60
directCoulombSum,4508,1048576,64,16,4,1,16,1,0,0,1,49.8387,2407500,22800100,73.0907,21505000,138412000,0.812601,2621440,0.029791,0,0,136393000,136323000,75.4451,96.7932,0,3573550000,0,2438990000,1075840000,2269120000,1248850000,3145730,369656000,0,18.0667,0,21.0727,11.116,0,28.9341,32,100,1024,0,64,0,18
directCoulombSum,4484,1048576,64,16,4,1,16,1,1,0,1,48.5056,2382040,21843400,75.474,21095800,138412000,2.82322,8912900,0.0307798,0,0,136601000,136323000,74.3413,98.3684,0,3573550000,0,2640310000,1075840000,2470450000,1248850000,3145730,382239000,0,19.3687,0,21.4234,12.3023,0,30.417,32,100,1024,0,64,0,20
