Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,local_load_transactions,local_store_transactions,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,19106,16777216,64,16,4,1,1,0,0,0,1,1,2542246,2097152,2,69206555,2097153,0,0,0,0,0,0,0.486549,99.9919,8623489024,0,654311424,117440512,1107296256,268435456,50331648,340787200,23.6917,0,1,4,0,52.5478,0,0,1024,0,0,0,32
directCoulombSum,39983,16777216,64,16,4,1,1,0,1,0,1,1,2838185,2097152,1,136315302,2097153,0,0,0,0,0,0,0.48868,99.9933,8623489024,0,3506438144,285212672,4328521728,234881024,50331648,534249472,10.1332,0,1,6,0,30.3748,0,0,1024,0,0,0,32
directCoulombSum,8923,8388608,64,16,4,1,2,0,0,0,1,1,2102837,2097152,2,35651974,2097153,0,0,0,0,0,0,0.487453,99.9792,6476005376,0,729808896,142606336,570425344,276824064,25165824,258211840,31.5173,0,1,3,0,75.6838,0,0,1024,0,0,0,31
directCoulombSum,19057,8388608,64,16,4,1,2,0,1,0,1,1,2404687,2097152,2,69206438,2097153,0,0,0,0,0,0,0.491952,99.9909,6476005376,0,1811939328,142606336,2181038080,150994944,25165824,338427904,14.7396,0,1,6,0,39.0013,0,0,1024,0,0,0,32
directCoulombSum,28740,8388608,64,16,4,1,2,1,0,0,1,1,2545284,2139693,1,35688138,2157821,0,0,0.309545,0,0,0,0.497108,99.9919,7012876288,0,5536481280,1073741824,2743074816,1719664640,25165824,583794688,10.5508,0,1,4,0,44.4779,34078738,34079732,1024,0,8,0,17
directCoulombSum,32394,8388608,64,16,4,1,2,1,1,0,1,1,2555174,10687782,1,77671158,10957937,0,0,19.6049,0,0,0,0.486841,99.9899,7012876288,0,8757706752,1073741824,4353687552,1719664640,25165824,734789632,9.14952,0,1,5,0,44.2311,34085182,34212356,1024,0,8,0,19
directCoulombSum,5751,4194304,64,16,4,1,4,0,0,0,1,2,2245725,2097152,2,18874806,2097153,0,0,0,0,0,0,0.489932,99.9686,5402263552,0,419430400,71303168,301989888,109051904,12582912,197787648,38.0857,0,1,3,0,72.297,0,0,1024,0,0,0,32
directCoulombSum,9941,4194304,64,16,4,1,4,0,1,0,1,1,2393959,2097152,2,35652022,2097153,0,0,0,0,0,0,0.494018,99.9817,5402263552,0,956301312,71303168,1107296256,109051904,12582912,239730688,22.004,0,1,5,0,51.7624,0,0,1024,0,0,0,32
directCoulombSum,28538,4194304,64,16,4,1,4,1,0,0,1,4,2690649,49187452,2,66111070,50768653,0,0,82.0742,0,0,0,0.468295,99.9748,5670699008,0,4429185024,1073741824,2470445056,876609536,12582912,462815232,8.1182,0,1,4,0,41.9037,34092164,35087819,1024,0,16,0,17
directCoulombSum,30450,4194304,64,16,4,1,4,1,1,0,1,4,2625433,59785853,2,94453962,62600077,0,0,75.9579,0,0,0,0.472019,99.9789,5670699008,0,6039797760,1073741824,3275751424,876609536,12582912,538312704,7.42998,0,1,5,0,35.5776,34103694,35345950,1024,0,16,0,21
directCoulombSum,22347,4194304,64,16,4,1,4,2,0,0,1,5,2394201,52110133,2,71404762,57611753,0,0,83.7464,0,0,0,0.472705,99.9843,5670699008,0,2818572288,536870912,1396703232,876609536,12582912,362151936,10.1299,0,1,3,0,45.0758,34162416,36809357,1024,0,16,0,18
directCoulombSum,25840,4194304,64,16,4,1,4,2,1,0,1,5,2543546,75079056,3,112863714,83793673,0,0,80.8143,0,0,0,0.483741,99.9767,5670699008,0,4429185024,536870912,2202009600,876609536,12582912,437649408,8.75643,0,1,4,0,44.1446,34329872,37431476,1024,0,16,0,19
directCoulombSum,4805,2097152,64,16,4,1,8,0,0,0,1,2,2246657,2097152,1,10486214,2097153,0,0,0,0,0,0,0.493529,99.9659,4865392640,0,260046848,35651584,167772160,88080384,6291456,169410560,39.1499,0,1,2,0,70.5508,0,0,1024,0,0,0,31
directCoulombSum,7036,2097152,64,16,4,1,8,0,1,0,1,2,2245735,2097152,1,18874838,2097153,0,0,0,0,0,0,0.4951,99.9759,4865392640,0,528482304,35651584,570425344,88080384,6291456,190382080,27.3073,0,1,4,0,56.7495,0,0,1024,0,0,0,32
directCoulombSum,34954,2097152,64,16,4,1,8,1,0,0,1,7,2746242,135556389,3,145578346,137242513,0,0,95.55,0,0,0,0.496981,99.9778,4999610368,0,3875536896,1073741824,2336227328,455081984,6291456,402391040,5.59635,0,1,4,0,32.0945,34188484,35845354,1024,0,32,0,18
directCoulombSum,35242,2097152,64,16,4,1,8,1,1,0,1,7,2826864,135086517,3,153733374,137019821,0,0,92.7885,0,0,0,0.497157,99.9596,4999610368,0,4680843264,1073741824,2738880512,455081984,6291456,440139776,5.49207,0,1,4,0,31.5083,34235720,36202761,1024,0,32,0,20
directCoulombSum,26396,2097152,64,16,4,1,8,2,0,0,1,8,2690984,118762707,3,143618634,136287281,0,0,95.5124,0,0,0,0.483761,99.9687,4999610368,0,2264924160,536870912,1262485504,455081984,6291456,301727744,7.35048,0,1,3,0,33.9867,35015675,41681926,1024,0,32,0,18
directCoulombSum,26967,2097152,64,16,4,1,8,2,1,0,1,8,2691012,123078558,4,152704838,136695489,0,0,92.7611,0,0,0,0.490052,99.9701,4999610368,0,3070230528,536870912,1665138688,455081984,6291456,339476480,7.21647,0,1,3,0,35.3931,35361949,43176777,1024,0,32,0,20
directCoulombSum,25136,2097152,64,16,4,1,8,4,0,0,1,8,2542793,113124760,4,141727656,135624221,0,0,95.4699,0,0,0,0.480089,99.9792,4999610368,0,1459617792,268435456,725614592,455081984,6291456,251396096,7.69729,0,1,3,0,36.1757,37317571,64869197,1024,0,32,0,23
directCoulombSum,26592,2097152,64,16,4,1,8,4,1,0,1,8,2431369,121521783,4,151958722,136777461,0,0,92.7446,0,0,0,0.487934,99.9651,4999610368,0,2264924160,268435456,1128267776,455081984,6291456,289144832,7.30653,0,1,4,0,36.4316,39004646,67745325,1024,0,32,0,23
directCoulombSum,5575,1048576,64,16,4,1,16,0,0,0,1,2,2245851,2097236,1,6291974,2097205,0,0,0.000190734,0,0,0,0.49558,99.9496,4596957184,0,392167424,67108864,100663296,61865984,3145728,162856960,31.2707,0,1,2,0,70.0306,0,0,1024,0,0,0,31
directCoulombSum,5148,1048576,64,16,4,1,16,0,1,0,1,2,2240623,2097152,1,10486214,2097153,0,0,0,0,0,0,0.494835,99.9609,4596957184,0,794820608,67108864,301989888,68157440,3145728,181927936,33.8947,0,1,3,0,68.9858,0,0,1024,0,0,0,38
directCoulombSum,45825,1048576,64,16,4,1,16,1,0,0,1,6,25217716,137722335,2,142390430,138202093,0,0,97.0104,0,0,0,0.458285,99.9519,4664066048,0,3598712832,1073741824,2269118464,244318208,3145728,372178944,3.91616,0,1,3,0,23.253,34271884,35961421,1024,0,64,0,18
directCoulombSum,45831,1048576,64,16,4,1,16,1,1,0,1,6,25807253,137764074,2,146618206,138239781,0,0,95.5828,0,0,0,0.458911,99.9222,4664066048,0,4001366016,1073741824,2470445056,244318208,3145728,391053312,3.86289,0,1,3,0,21.769,34285784,35985829,1024,0,64,0,21
directCoulombSum,40889,1048576,64,16,4,1,16,2,0,0,1,7,24194427,137138323,2,142275502,138118805,0,0,97.0083,0,0,0,0.458586,99.948,4664066048,0,1988100096,536870912,1195376640,244318208,3145728,271515648,4.32234,0,1,2,0,20.5073,36128761,42461129,1024,0,64,0,18
directCoulombSum,41576,1048576,64,16,4,1,16,2,1,0,1,7,25644109,137294791,2,146543022,138193089,0,0,95.5811,0,0,0,0.459143,99.9559,4664066048,0,2390753280,536870912,1396703232,244318208,3145728,290390016,4.23682,0,1,2,0,20.9493,36519907,42506846,1024,0,64,0,19
directCoulombSum,40443,1048576,64,16,4,1,16,4,0,0,1,7,22538348,136983066,2,142095194,138060117,0,0,97.0058,0,0,0,0.456767,99.9773,4664066048,0,1182793728,268435456,658505728,244318208,3145728,221184000,4.40073,0,1,2,0,20.3175,44319589,62549870,1024,0,64,0,23
directCoulombSum,41035,1048576,64,16,4,1,16,4,1,0,1,7,24680304,137229848,2,146451342,138167249,0,0,95.5788,0,0,0,0.458934,99.9416,4664066048,0,1585446912,268435456,859832320,244318208,3145728,240058368,4.31821,0,1,2,0,20.9422,45090729,62041562,1024,0,64,0,23
directCoulombSum,41146,1048576,64,16,4,1,16,8,0,0,1,7,23852079,137696177,2,142183958,138228081,0,0,97.0084,0,0,0,0.468135,99.9786,4664066048,0,780140544,134217728,658505728,244318208,3145728,204406784,4.31819,0,1,3,0,21.1696,57012397,85031267,1024,0,64,0,30
directCoulombSum,41891,1048576,64,16,4,1,16,8,1,0,1,7,26231307,137753341,2,146450770,138256657,0,0,95.5807,0,0,0,0.468492,99.9665,4664066048,0,1182793728,134217728,859832320,244318208,3145728,223281152,4.21015,0,1,3,0,21.9448,55755920,81118117,1024,0,64,0,30
directCoulombSum,4736,524288,64,16,4,1,32,0,0,0,1,2,2252037,2097340,1,4194954,2097209,0,0,0.000190734,0,0,0,0.494632,99.9249,4462739456,0,254803968,33554432,67108864,122159104,1572864,154009600,35.2004,0,1,1,0,68.5526,0,0,1024,0,0,0,47
directCoulombSum,4741,524288,64,16,4,1,32,0,1,0,1,2,2097665,2097500,1,6292078,2097153,0,0,0,0,0,0,0.494367,99.9206,4462739456,0,456130560,33554432,167772160,88604672,1572864,162398208,35.5686,0,1,2,0,64.0838,0,0,1024,0,0,0,48
directCoulombSum,76200,524288,64,16,4,1,32,1,0,0,1,7,137945735,138324347,2,140448406,138352753,0,0,97.7434,0,0,0,0.489584,99.9226,4496293888,0,3460300800,1073741824,2235564032,138936320,1572864,357072896,2.19502,0,1,2,0,13.4006,34570186,36300227,1024,0,128,0,18
directCoulombSum,76149,524288,64,16,4,1,32,1,1,0,1,7,137833026,138323736,2,142550002,138359957,0,0,97.0139,0,0,0,0.48974,99.9419,4496293888,0,3661627392,1073741824,2336227328,138936320,1572864,366510080,2.19366,0,1,2,0,11.1097,34567645,36267530,1024,0,128,0,21
directCoulombSum,70509,524288,64,16,4,1,32,2,0,0,1,7,137695345,138371927,2,140472014,138376633,0,0,97.7438,0,0,0,0.47985,99.9608,4496293888,0,1849688064,536870912,1161822208,138936320,1572864,256409600,2.3644,0,1,2,0,12.469,39469880,45584483,1024,0,128,0,18
directCoulombSum,70557,524288,64,16,4,1,32,2,1,0,1,7,137554476,138362595,2,142570262,138378113,0,0,97.0142,0,0,0,0.478365,99.928,4496293888,0,2051014656,536870912,1262485504,138936320,1572864,265846784,2.37058,0,1,2,0,11.9117,40259752,46043586,1024,0,128,0,19
directCoulombSum,70478,524288,64,16,4,1,32,4,0,0,1,7,137202508,138368668,2,140473934,138384329,0,0,97.7438,0,0,0,0.478215,99.9648,4496293888,0,1044381696,268435456,624951296,138936320,1572864,206077952,2.37233,0,1,2,0,12.5937,56702971,73049781,1024,0,128,0,23
directCoulombSum,70353,524288,64,16,4,1,32,4,1,0,1,7,137178917,138380526,2,142578534,138387117,0,0,97.0143,0,0,0,0.477822,99.9763,4496293888,0,1245708288,268435456,725614592,138936320,1572864,215515136,2.38082,0,1,2,0,12.7449,55607609,71079231,1024,0,128,0,23
