Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,63541,16777216,64,16,4,1,1,0,0,0,1,1,3006074,2097155,1,36690085,2097154,10,538968064,0,0,0,0,0,0,0,0.980584,99.9941,8606711808,0,889192448,117440512,1107296256,1056964608,50331648,372768768,3,20.1971,0,0,2,1,1,3,29.1943,100,99.1561,1024,0,0,0,32
directCoulombSum,77352,16777216,64,16,4,1,1,0,1,0,1,1,3135704,2097178,1,137474524,2097154,8,538968064,0,0,0,0,0,0,0,0.696941,99.9956,8606711808,0,3724541952,285212672,4328521728,1291845632,50331648,574095360,3,14.7507,0,0,1,1,1,8,28.9361,100,99.5434,1024,0,0,0,32
directCoulombSum,28451,8388608,64,16,4,1,2,0,0,0,1,1,2486696,2099114,1,19263850,2097154,10,270532608,0,0,0,0,0,0,0,0.977151,99.9948,6459228160,0,872415232,159383552,570425344,260046848,25165824,262406144,4,27.7932,0,0,3,1,1,3,39.3558,100,99.4006,1024,0,0,0,31
directCoulombSum,39324,8388608,64,16,4,1,2,0,1,0,1,1,2779534,2099170,1,69792060,2097154,8,270532608,0,0,0,0,0,0,0,0.878713,99.9887,6459228160,0,1962934272,159383552,2181038080,1065353216,25165824,371982336,4,20.1188,0,0,2,1,1,8,35.3602,100,99.5772,1024,0,0,0,32
directCoulombSum,56166,8388608,64,16,4,1,2,1,0,0,1,1,3135718,2103238,3,156228056,138412034,8,406847488,92.8571,0,0,0,0,272629760,136314880,0.985081,99.9939,6996099072,0,6224347136,1073741824,2743074816,1174405120,25165824,587726848,4,14.8505,0,0,2,1,1,7,45.1883,100,96.967,1024,0,8,0,16
directCoulombSum,66028,8388608,64,16,4,1,2,1,1,0,1,1,3017924,2101246,3,206441840,138412034,7,406847488,79.2683,0,0,0,0,272629760,136314880,0.961342,99.9964,6996099072,0,9982443520,1073741824,4353687552,1711276032,25165824,772276224,5,12.6468,0,0,2,1,1,9,49.0731,100,97.6918,1024,0,8,0,19
directCoulombSum,14440,4194304,64,16,4,1,4,0,0,0,1,2,2356952,2099174,1,10745562,2097154,10,136314880,0,0,0,0,0,0,0,0.968595,99.9818,5385486336,0,541065216,79691776,301989888,159383552,12582912,203292672,6,42.6681,0,0,5,1,1,3,59.6894,100,99.6132,1024,0,0,0,32
directCoulombSum,19963,4194304,64,16,4,1,4,0,1,0,1,1,2486674,2099118,1,35911450,2097154,8,136314880,0,0,0,0,0,0,0,0.912568,99.9902,5385486336,0,1073741824,79691776,1107296256,423624704,12582912,253362176,5,30.9087,0,0,4,1,1,8,50.8771,100,99.6896,1024,0,0,0,32
directCoulombSum,46134,4194304,64,16,4,1,4,1,0,0,1,1,2746352,2103246,4,147579606,138412034,7,272629760,95.5882,0,0,0,0,272629760,136314880,0.992246,99.9948,5653921792,0,4815060992,1073741824,2470445056,595591168,12582912,465829888,4,13.8622,0,0,2,1,1,8,41.4249,100,98.0867,1024,0,16,0,16
directCoulombSum,51075,4194304,64,16,4,1,4,1,1,0,1,1,2876114,2103306,4,172745862,138412034,6,272629760,87.8378,0,0,0,0,272629760,136314880,0.991901,99.9897,5653921792,0,6694109184,1073741824,3275751424,864026624,12582912,558104576,4,12.4906,0,0,2,1,1,9,44.1783,100,98.403,1024,0,16,0,19
