Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,2347,16384,64,16,16,32,8,8,8,8,2,1,1,0,0,0,0,32,2,2111117,4604,4,12583380,16393,10,33554432,0,0,0,0,0,0,0,0.506781,98.0842,0,268435456,0,581238784,4194304,268500992,69484544,0,37312000,0,4,11.4031,0,0,0,1,1,10,40.9936,100,99.8216,1024,0,0,0,32
gemm_fast,803,16384,64,16,16,32,8,8,8,8,2,1,1,0,0,0,1,32,4,2110175,8217,4,12582976,16395,5,18874368,0,2,33.3333,2097152,1048576,0,0,0.51212,97.3934,0,268435456,0,398786560,2097152,230752256,84148224,0,30757888,0,3,11.0947,0,0,0,1,1,6,35.7137,100,99.9967,1024,2048,0,0,38
gemm_fast,633,16384,64,16,16,32,8,8,8,8,2,1,1,0,0,1,0,32,5,2110371,8217,3,8388656,16393,6,18874368,0,4,30,4194304,1048576,0,0,0.510606,98.6191,0,268435456,0,434438144,2097152,230752256,90488832,0,32070144,0,4,12.8483,0,0,0,1,1,6,42.3763,100,99.9968,1024,2048,0,0,32
gemm_fast,504,16384,64,16,16,32,8,8,8,8,2,1,1,0,0,1,1,32,6,2107543,8223,3,8388656,16393,2,4194304,0,6,31.25,6291456,2097152,0,0,0.513112,98.7859,0,268435456,0,247808000,2097152,188809216,17039360,0,22631936,0,3,14.7651,0,0,0,1,2,2,31.5623,100,99.9955,1024,4096,0,0,32
gemm_fast,796,16384,64,16,16,32,8,8,8,8,2,1,2,0,0,0,0,32,4,2110991,8215,3,10485808,16393,8,33554432,0,0,0,0,0,0,0,0.506493,97.3519,0,268435456,0,375717888,2097152,201392128,82051072,0,29053952,0,3,9.15445,0,0,0,1,1,6,26.3255,100,99.9965,1024,0,0,0,32
gemm_fast,646,16384,64,16,16,32,8,8,8,8,2,1,2,0,0,0,1,32,5,2109979,8215,3,10485808,16393,6,18874368,0,2,33.3333,2097152,1048576,0,0,0.513906,98.6222,0,268435456,0,306544640,2097152,222363648,82083840,0,27548672,0,3,11.4223,0,0,0,1,1,5,30.7926,100,99.9963,1024,2048,0,0,40
gemm_fast,454,16384,64,16,16,32,8,8,8,8,2,1,2,0,0,1,0,32,6,2109099,8215,3,6291520,16393,8,18874368,0,5,30,4194304,1048576,0,0,0.519238,98.52,0,268435456,0,325419008,2097152,163643392,71581696,0,25975296,0,4,16.2765,0,0,0,1,2,5,44.0532,100,99.9961,1024,2048,0,0,38
gemm_fast,427,16384,64,16,16,32,8,8,8,8,2,1,2,0,0,1,1,32,7,2105643,9309,3,6291984,16393,2,4194304,0,7,31.25,6291456,2097152,0,0,0.520562,99.6331,0,268435456,0,249921536,2097152,180420608,19136512,0,22501376,0,4,16.911,0,0,0,1,3,2,36.1082,100,99.9954,1024,4096,0,0,32
gemm_fast,818,16384,64,16,16,32,8,8,8,8,2,2,1,0,0,0,0,32,4,2110535,8215,2,8388656,8201,8,33554432,0,0,0,0,0,0,0,0.508135,98.3683,0,268435456,0,560300032,2097152,201359360,63242240,0,34233344,0,3,9.00775,0,0,0,1,1,6,32.215,100,99.997,1024,0,0,0,40
gemm_fast,505,16384,64,16,16,32,8,8,8,8,2,2,1,0,0,0,1,32,6,2109683,8215,3,8388656,8201,7,18874368,0,3,33.3333,2097152,1048576,0,0,0.516274,95.7731,0,268435456,0,398802944,2097152,163610624,71581696,0,28267520,0,4,14.1025,0,0,0,1,1,4,44.2099,100,99.9964,1024,2048,0,0,34
gemm_fast,549,16384,64,16,16,32,8,8,8,8,2,2,1,0,0,1,0,32,5,2105807,8215,2,6292112,8201,7,18874368,0,4,30,4194304,1048576,0,0,0.531584,98.1804,0,268435456,0,400883712,2097152,222330880,80019456,0,30431232,0,4,13.6333,0,0,0,1,1,6,42.7768,100,99.9966,1024,2048,0,0,40
gemm_fast,473,16384,64,16,16,32,8,8,8,8,2,2,1,0,0,1,1,32,6,2107135,7967,3,6291624,8201,2,4194304,0,7,31.25,6291456,2097152,0,0,0.510386,93.2271,0,268435456,0,224739328,2097152,180387840,17055744,0,21648384,0,4,15.7637,0,0,0,1,3,2,33.8578,100,99.9953,1024,4096,0,0,32
gemm_fast,690,16384,64,16,16,32,8,8,8,8,2,2,2,0,0,0,0,32,4,2108119,8055,2,6291504,8201,9,33554432,0,0,0,0,0,0,0,0.518802,98.6264,0,268435456,0,361054208,2097152,134250496,65290240,0,25973760,0,3,10.6682,0,0,0,1,1,5,28.3377,100,99.9961,1024,0,0,0,32
gemm_fast,465,16384,64,16,16,32,8,8,8,8,2,2,2,0,0,0,1,32,6,2105991,7935,3,6291624,8201,8,18874368,0,3,33.3333,2097152,1048576,0,0,0.521833,98.6266,0,268435456,0,291864576,2097152,155222016,67403776,0,24532992,0,4,15.817,0,0,0,1,2,4,40.5086,100,99.9958,1024,2048,0,0,40
gemm_fast,489,16384,64,16,16,32,8,8,8,8,2,2,2,0,0,1,0,32,6,2106051,8215,2,4194424,8201,7,18874368,0,4,30,4194304,1048576,0,0,0.529417,96.4535,0,268435456,0,289767424,2097152,155222016,69500928,0,24532992,0,4,15.3022,0,0,0,1,2,4,40.9407,100,99.9958,1024,2048,0,0,40
gemm_fast,403,16384,64,16,16,32,8,8,8,8,2,2,2,0,0,1,1,32,7,2105363,9057,2,4194448,8201,2,4194304,0,8,31.25,6291456,2097152,0,0,0.521747,97.6871,0,268435456,0,203784192,2097152,171999232,19152896,0,20796928,0,4,18.7236,0,0,0,1,3,1,37.7811,100,99.9951,1024,4096,0,0,32
gemm_fast,983,16384,64,16,16,32,8,8,8,16,2,1,1,0,0,0,0,32,3,2110663,8215,3,12583088,16393,6,33554432,0,0,0,0,0,0,0,0.508142,97.1784,0,268435456,0,581238784,4194304,268500992,69484544,0,37312000,0,3,7.34081,0,0,0,1,1,7,26.6362,100,99.8216,1024,0,0,0,32
