Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,11588,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,0,0,32,1,6885941,126414,4,50332108,262153,10,134217728,0,0,0,0,0,0,0,0.958971,99.1499,0,1073741824,0,2328887296,16777216,1074790400,281280512,0,149512192,0,4,12.2884,0,0,0,1,1,10,43.7893,100,99.8137,1024,0,0,0,32
gemm_fast,1956,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,0,1,32,2,1724627,126745,5,50331696,262155,7,75497472,0,3,33.3333,8388608,4194304,0,0,0.729168,99.5397,0,1073741824,0,1599078400,8388608,923795456,339738624,0,123289600,0,4,15.1216,0,0,0,1,1,7,47.7232,100,99.9867,1024,2048,0,0,38
gemm_fast,1968,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,1,0,32,5,6525463,124639,3,33554480,262153,7,75497472,0,4,30,16777216,4194304,0,0,0.970168,98.9339,0,1073741824,0,1741684736,8388608,923795456,365690880,0,128557056,0,4,14.8125,0,0,0,1,1,7,48.8044,100,99.9873,1024,2048,0,0,32
gemm_fast,1472,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,1,1,32,6,6808213,127227,4,33554768,262153,2,16777216,0,8,31.25,25165824,8388608,0,0,0.733133,99.2769,0,1073741824,0,995360768,8388608,756023296,71303168,0,90791936,0,4,19.9773,0,0,0,1,3,3,42.6243,100,99.982,1024,4096,0,0,32
gemm_fast,2469,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,0,0,32,1,1514515,122903,3,41943368,262153,10,134217728,0,0,0,0,0,0,0,0.967242,99.5807,0,1073741824,0,1506803712,8388608,806354944,331350016,0,116473856,0,3,11.8473,0,0,0,1,1,8,33.3923,100,99.9859,1024,0,0,0,32
gemm_fast,1814,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,0,1,32,2,1724471,126743,4,41943216,262153,8,75497472,0,3,33.3333,8388608,4194304,0,0,0.725019,99.9602,0,1073741824,0,1230503936,8388608,890241024,331874304,0,110477312,0,4,16.1991,0,0,0,1,2,7,43.197,100,99.9852,1024,2048,0,0,40
gemm_fast,1468,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,1,0,32,2,1724423,126743,3,25166208,262153,10,75497472,0,6,30,16777216,4194304,0,0,0.724796,99.0361,0,1073741824,0,1306001408,8388608,655360000,289669120,0,104177664,0,5,20.072,0,0,0,1,2,6,54.1825,100,99.9843,1024,2048,0,0,38
gemm_fast,1308,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,1,1,32,5,4401473,125495,4,25165872,262153,3,16777216,0,10,31.25,25165824,8388608,0,0,0.733573,99.4969,0,1073741824,0,1004011520,8388608,722468864,79691776,0,90275840,0,5,22.8167,0,0,0,1,3,2,48.9388,100,99.9819,1024,4096,0,0,32
gemm_fast,2575,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,0,0,32,1,1724423,126743,3,33554480,131081,10,134217728,0,0,0,0,0,0,0,0.72787,99.6873,0,1073741824,0,2245525504,8388608,805830656,256901120,0,137216000,0,4,11.429,0,0,0,1,1,7,40.4084,100,99.9881,1024,0,0,0,40
gemm_fast,1561,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,0,1,32,2,1724423,126743,4,33554648,131081,9,75497472,0,3,33.3333,8388608,4194304,0,0,0.726723,99.0074,0,1073741824,0,1599340544,8388608,654835712,289669120,0,113328128,0,5,19.0973,0,0,0,1,2,5,58.0376,100,99.9855,1024,2048,0,0,34
