Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,10256,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,0,0,32,2,6961500,160112,2,50331975,262145,0,0,0,0,0,0,0,0,0.494924,99.9878,1073741824,0,1723334656,16777216,1074790400,63438848,0,123781120,6.1602,0,1,6,0,30.089,1024,0,0,0,32
gemm_fast,8892,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,0,1,32,2,9428532,145059,2,50331942,262145,0,0,0,74.9723,8388608,4198961,0,0,0.4941,99.8662,1073741824,0,1287127040,8388608,907018240,71303168,0,104628224,7.08918,0,1,7,0,30.0965,1024,2048,0,0,40
gemm_fast,8679,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,1,0,32,2,9555246,158134,2,33554718,262145,0,0,0,74.9883,8388608,4196275,0,0,0.494711,99.7012,1073741824,0,1345847296,8388608,907018240,54525952,0,105938944,7.28684,0,1,7,0,31.0666,1024,2048,0,0,40
gemm_fast,7527,262144,64,16,16,32,8,8,8,8,2,1,1,0,0,1,1,32,2,8639414,155255,2,33554710,262145,0,0,0,74.9275,16777216,8412964,0,0,0.372922,99.6044,1073741824,0,884736000,8388608,739246080,54525952,0,86286336,8.39226,0,1,7,0,30.8718,1024,4096,0,0,32
gemm_fast,7874,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,0,0,32,2,6227675,157910,2,41943262,262145,0,0,0,0,0,0,0,0,0.4894,99.9849,1073741824,0,1438121984,16777216,806354944,96993280,0,107528192,8.02886,0,1,6,0,34.5208,1024,0,0,0,40
gemm_fast,7633,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,0,1,32,2,7055978,155476,2,41943330,262145,0,0,0,74.9833,8388608,4197109,0,0,0.498288,98.4156,1073741824,0,1010565120,8388608,873463808,55312384,0,94437376,8.1342,0,1,7,0,31.0769,1024,2048,0,0,38
gemm_fast,6319,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,1,0,32,3,9764377,149385,2,25166082,262145,0,0,0,74.9756,8388608,4198406,0,0,0.495739,99.5592,1073741824,0,1010827264,8388608,638582784,55050240,0,87097344,10.03,0,1,7,0,38.0989,1024,2048,0,0,38
gemm_fast,6508,262144,64,16,16,32,8,8,8,8,2,1,2,0,0,1,1,32,3,10484960,142882,2,25166102,262145,0,0,0,74.9267,16777216,8413212,0,0,0.372068,99.4342,1073741824,0,641728512,8388608,705691648,55050240,0,77660160,9.67145,0,1,7,0,30.891,1024,4096,0,0,32
gemm_fast,7777,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,0,0,32,2,7315718,131072,2,33554722,131073,0,0,0,0,0,0,0,0,0.491641,99.9845,1073741824,0,1639972864,8388608,805830656,22544384,0,110968832,8.09137,0,1,6,0,38.6264,1024,0,0,0,40
gemm_fast,6315,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,0,1,32,3,10087546,131072,2,33554718,131073,0,0,0,74.9688,8388608,4199543,0,0,0.494663,99.634,1073741824,0,1279000576,8388608,638058496,63438848,0,95723520,9.9732,0,1,7,0,39.3028,1024,2048,0,0,36
gemm_fast,7670,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,1,0,32,2,8155043,131072,1,25166090,131073,0,0,0,74.9871,8388608,4196474,0,0,0.491813,99.871,1073741824,0,1278738432,8388608,872939520,55050240,0,102793216,8.22945,0,1,7,0,34.1795,1024,2048,0,0,40
gemm_fast,6638,262144,64,16,16,32,8,8,8,8,2,2,1,0,0,1,1,32,3,9805910,131072,2,25166118,131073,0,0,0,74.9736,16777216,8397458,0,0,0.371775,99.6528,1073741824,0,851181568,8388608,705167360,63438848,0,84451328,9.54404,0,1,7,0,30.3083,1024,4096,0,0,32
gemm_fast,5395,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,0,0,32,2,4426250,131072,2,25166090,131073,0,0,0,0,0,0,0,0,0.499073,99.9716,1073741824,0,1279000576,8388608,537395200,46923776,0,92061696,11.7211,0,1,6,0,45.1801,1024,0,0,0,40
gemm_fast,5631,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,0,1,32,4,10633240,131072,2,25166086,131073,0,0,0,74.9934,8388608,4195416,0,0,0.494351,99.7943,1073741824,0,943718400,8388608,604504064,46923776,0,83681280,11.2537,0,1,7,0,41.5699,1024,2048,0,0,40
gemm_fast,5294,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,1,0,32,3,9141355,131072,1,16777486,131073,0,0,0,74.974,8388608,4198665,0,0,0.495561,99.3574,1073741824,0,943718400,8388608,604504064,46923776,0,83681280,12.0972,0,1,7,0,41.0545,1024,2048,0,0,40
gemm_fast,5674,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,1,1,32,4,10865082,131072,1,16777494,131073,0,0,0,74.9942,16777216,8390546,0,0,0.372205,99.7194,1073741824,0,549453824,8388608,671612928,46923776,0,73457664,11.2729,0,1,8,0,33.1097,1024,4096,0,0,32
gemm_fast,10279,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,0,32,2,6793607,163275,2,50331870,262145,0,0,0,0,0,0,0,0,0.493588,99.988,1073741824,0,1723334656,16777216,1074790400,63438848,0,123781120,6.1431,0,1,6,0,30.0048,1024,0,0,0,32
gemm_fast,7951,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,1,32,2,7325042,152373,2,41943334,262145,0,0,0,74.9847,8388608,4196877,0,0,0.496257,98.6871,1073741824,0,1345847296,8388608,940572672,71303168,0,107511808,7.93822,0,1,7,0,33.87,1024,2048,0,0,40
gemm_fast,8793,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,0,32,2,9390825,161055,2,33554718,262145,0,0,0,74.984,8388608,4196985,0,0,0.495883,99.5358,1073741824,0,1345847296,8388608,907018240,54525952,0,105938944,7.33349,0,1,7,0,31.3497,1024,2048,0,0,40
gemm_fast,6635,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,1,32,3,9471042,145564,2,25166102,262145,0,0,0,74.9199,16777216,8415525,0,0,0.372935,99.7875,1073741824,0,1002176512,8388608,772800512,54525952,0,91004928,9.57241,0,1,8,0,34.0641,1024,4096,0,0,40
gemm_fast,7817,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,0,32,2,7668284,131072,2,33554706,131073,0,0,0,0,0,0,0,0,0.494249,99.984,1073741824,0,1639972864,8388608,805830656,22544384,0,110968832,8.1271,0,1,6,0,38.7434,1024,0,0,0,40
gemm_fast,5531,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,1,32,4,10170266,131072,2,25166102,131073,0,0,0,74.9937,8388608,4195360,0,0,0.494054,99.8324,1073741824,0,1337720832,8388608,671612928,63438848,0,98607104,11.4126,0,1,7,0,43.6284,1024,2048,0,0,36
gemm_fast,7657,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,0,32,2,8528231,131072,1,25166110,131073,0,0,0,74.9898,8388608,4196015,0,0,0.494519,99.9838,1073741824,0,1278738432,8388608,872939520,55050240,0,102793216,8.37286,0,1,7,0,34.715,1024,2048,0,0,40
