Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,11687,67108864,32,1,0,0,0,1,32,1,32,0,2,8389276,8358472,4,67109620,8388617,1,8388608,0,0,0,0,0,0,0,0.284887,97.4809,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,13.1876,100,100,1024,0,0,0,7
mtran,42304,67108864,32,1,0,0,0,1,32,1,32,1,3,67112621,8385896,1,67112773,8388617,1,8388608,0,0,0,0,0,0,0,0.495271,105.94,0,67108864,0,2483290080,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,2.19241,100,94.2383,1024,0,0,0,9
mtran,4063,33554432,32,1,0,0,0,1,32,1,64,0,6,8388852,8358138,4,67109180,8388617,1,8388608,0,0,0,0,0,0,0,0.474105,99.5904,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,15.0061,100,76.0563,1024,0,0,0,22
mtran,41162,33554432,32,1,0,0,0,1,32,1,64,1,3,67110268,8385578,1,67110356,8388617,1,8388608,0,0,0,0,0,0,0,0.497532,99.9619,0,33554432,0,2013528032,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,2.11864,100,80.2058,1024,0,0,0,22
mtran,3811,67108864,64,1,0,0,0,1,64,1,64,0,6,8388676,8358158,4,67109340,8388617,1,8388608,0,0,0,0,0,0,0,0.865685,99.8449,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,10.8192,100,100,1024,0,0,0,7
mtran,41129,67108864,64,1,0,0,0,1,64,1,64,1,3,67110212,8384610,1,67110252,8388745,1,8388608,0,0,0,0,0,0,0,0.804021,99.9703,0,67108864,0,2483552192,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,2.25626,100,94.2458,1024,0,0,0,9
mtran,4028,67108864,32,1,0,0,0,2,16,2,16,0,6,8388676,8371587,2,33554540,8388617,1,8388608,0,0,0,0,0,0,0,0.381471,99.7606,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,10.2069,100,100,1024,0,0,0,7
mtran,23791,67108864,32,1,0,0,0,2,16,2,16,1,3,33554564,8383682,1,33554604,8388617,1,8388608,0,0,0,0,0,0,0,0.491292,100.008,0,67108864,0,2483159008,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,3.82307,100,94.2345,1024,0,0,0,9
mtran,3686,33554432,32,1,0,0,0,2,16,2,32,0,6,8388676,8359962,2,33554676,8388617,1,8388608,0,0,0,0,0,0,0,0.461298,100.361,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,16.5169,100,76.0563,1024,0,0,0,22
mtran,22474,33554432,32,1,0,0,0,2,16,2,32,1,3,33554660,8383054,1,33554948,8388617,1,8388608,0,0,0,0,0,0,0,0.49552,99.9773,0,33554432,0,2013396960,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,3.87918,100,80.2019,1024,0,0,0,22
mtran,3001,16777216,32,1,0,0,0,2,16,2,64,0,7,8388676,8359918,3,33554540,8388665,1,8388608,0,0,0,0,0,0,0,0.481091,99.7947,0,0,0,587202560,117440512,134217728,134217728,0,31457280,0,1,0,0,0,0,1,1,1,8.274,100,96.6667,1024,0,0,0,22
mtran,22746,16777216,32,1,0,0,0,2,16,2,64,1,3,33554572,8382362,1,33554860,8388617,1,8388608,0,0,0,0,0,0,0,0.497723,100.07,0,16777216,0,973209568,117440512,134217728,150994944,33554432,47185920,0,1,0,0,0,1,1,1,1,1.67373,100,94.4531,1024,0,0,0,22
mtran,2866,67108864,64,1,0,0,0,2,32,2,32,0,8,8388676,8359950,3,33554540,8388617,1,8388608,0,0,0,0,0,0,0,0.849778,100.095,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,2,14.3873,100,100,1024,0,0,0,7
mtran,22562,67108864,64,1,0,0,0,2,32,2,32,1,3,33555516,8382498,1,33555796,8388617,1,8388608,0,0,0,0,0,0,0,0.815992,99.8595,0,67108864,0,2483290048,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,4.03616,100,94.2383,1024,0,0,0,9
mtran,2960,33554432,64,1,0,0,0,2,32,2,64,0,8,8388676,8359706,3,33554540,8388617,1,8388608,0,0,0,0,0,0,0,0.929145,99.78,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,2,20.5892,100,76.0563,1024,0,0,0,22
mtran,22676,33554432,64,1,0,0,0,2,32,2,64,1,3,33555244,8382678,1,33555284,8388617,1,8388608,0,0,0,0,0,0,0,0.895132,100.129,0,33554432,0,2013528000,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,3.84552,100,80.2058,1024,0,0,0,22
mtran,2804,67108864,128,1,0,0,0,2,64,2,64,0,8,8388676,8359630,3,33554540,8388617,1,8388608,0,0,0,0,0,0,0,0.88983,99.6651,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,2,0,0,0,0,1,1,2,14.7139,100,100,1024,0,0,0,7
mtran,22557,67108864,128,1,0,0,0,2,64,2,64,1,3,33554564,8382498,1,33555804,8388617,1,8388608,0,0,0,0,0,0,0,0.813434,100.01,0,67108864,0,2483552128,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,4.0313,100,94.2458,1024,0,0,0,9
mtran,5529,67108864,32,1,0,0,0,4,8,4,8,0,4,8388676,8376915,2,16777476,33554441,1,8388608,0,0,0,0,0,0,0,0.384231,95.2465,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,7.79245,100,100,1024,0,0,0,7
mtran,14547,67108864,32,1,0,0,0,4,8,4,8,1,3,16448991,8380175,1,16777380,33554441,1,8388608,0,0,0,0,0,0,0,0.485844,98.1597,0,67108864,0,2483093472,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,6.2606,100,94.2326,1024,0,0,0,9
mtran,4203,33554432,32,1,0,0,0,4,8,4,16,0,5,8388676,8373122,3,16777476,33554441,1,8388608,0,0,0,0,0,0,0,0.472598,100.383,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,14.4539,100,76.0563,1024,0,0,0,22
mtran,12467,33554432,32,1,0,0,0,4,8,4,16,1,3,16778868,8380250,1,16778916,33554441,1,8388608,0,0,0,0,0,0,0,0.491845,100.02,0,33554432,0,2013331424,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,7.00847,100,80.2,1024,0,0,0,22
