Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram__throughput.avg.pct_of_peak_sustained_elapsed,dram__sectors_read.sum,dram__sectors_write.sum,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__sass_thread_inst_executed_op_fp16_pred_on.sum,smsp__sass_thread_inst_executed_op_fp32_pred_on.sum,smsp__sass_thread_inst_executed_op_fp64_pred_on.sum,smsp__sass_thread_inst_executed_op_integer_pred_on.sum,smsp__sass_thread_inst_executed_op_control_pred_on.sum,smsp__sass_thread_inst_executed_op_memory_pred_on.sum,smsp__sass_thread_inst_executed_op_misc_pred_on.sum,smsp__sass_thread_inst_executed_op_conversion_pred_on.sum,smsp__inst_executed.sum,smsp__inst_executed_pipe_fp16.sum,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.ratio,smsp__thread_inst_executed_per_inst_executed.pct,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,2492,67108864,32,1,0,0,0,1,32,1,32,0,49.7977,8388620,8388670,57.3181,57045300,8388630,1.2152,2097150,2.43569,0,0,0,0,41.5529,99.9615,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,2.43662,0,0,2.43662,0,4.5688,32,100,1024,0,0,0,8
mtran,30407,67108864,32,1,0,0,0,1,32,1,32,1,34.5293,134222000,8389360,5.3993,67114800,8389620,0.098034,2097150,0.196117,0,0,0,0,49.3868,99.9941,0,0,0,1208220000,67108900,134218000,469762000,134218000,69206000,0,0.539354,0,0.588386,0.196129,0,0.80904,32,100,1024,0,0,0,10
mtran,2378,33554432,32,1,0,0,0,1,32,1,64,0,62.3029,8390030,8388890,61.2998,63224100,8388780,1.18914,2097150,2.38251,0,0,0,0,46.2373,99.9064,0,0,0,838861000,167772000,134218000,201327000,0,52428800,0,5.66377,0,0,2.38474,0,7.45245,32,100,1024,0,0,0,28
mtran,42832,33554432,32,1,0,0,0,1,32,1,64,1,24.5629,134219000,8388720,2.98125,67137000,8388940,0.0549494,2097150,0.109628,0,0,0,0,49.8205,99.6668,0,0,0,1241780000,167772000,134218000,234881000,67108900,71303200,0,0.357482,0,0.164992,0.109994,0,0.467483,32,100,1024,0,0,0,28
mtran,2212,67108864,64,1,0,0,0,1,64,1,64,0,70.262,8388630,8388620,61.6611,55080500,8388630,1.3504,2097150,2.69975,0,0,0,0,87.5906,99.8612,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,2.7035,0,0,2.7035,0,5.06936,32,100,1024,0,0,0,8
mtran,28899,67108864,64,1,0,0,0,1,64,1,64,1,36.5439,134219000,8388820,4.47362,67109900,8388980,0.0821603,2097150,0.164106,0,0,0,0,95.8182,99.3645,0,0,0,1208480000,67108900,134218000,469762000,134218000,69206000,0,0.454177,0,0.495466,0.165155,0,0.681283,32,100,1024,0,0,0,10
mtran,2513,67108864,32,1,0,0,0,2,16,2,16,0,50.7542,8388630,8385830,23.472,25140800,8388680,0.964252,2097150,1.94456,0,0,0,0,41.4639,99.4404,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,1.9555,0,0,1.9555,0,3.66667,32,100,1024,0,0,0,8
mtran,17715,67108864,32,1,0,0,0,2,16,2,16,1,31.612,67109700,8388710,4.05377,33556700,8388680,0.134058,2097150,0.268275,0,0,0,0,49.1599,99.9664,0,0,0,1275200000,67108900,134218000,402653000,134218000,69206000,0,0.738005,0,0.805097,0.268366,0,1.10702,32,100,1024,0,0,0,10
mtran,2072,33554432,32,1,0,0,0,2,16,2,32,0,68.6405,8388740,8388630,36.0914,29651300,8388630,1.31429,2097150,2.63346,0,0,0,0,45.5249,100.011,0,0,0,872415000,167772000,134218000,167772000,0,52428800,0,6.58289,0,0,2.63316,0,8.22875,32,100,1024,0,0,0,28
mtran,16190,33554432,32,1,0,0,0,2,16,2,32,1,34.4921,67109400,8388830,4.42546,33554500,8388980,0.146555,2097150,0.292729,0,0,0,0,49.5401,99.9205,0,0,0,1241650000,167772000,134218000,234881000,67108900,71303200,0,0.952124,0,0.439442,0.292961,0,1.2451,32,100,1024,0,0,0,28
mtran,1917,16777216,32,1,0,0,0,2,16,2,64,0,73.3609,8388620,8388670,40.5313,31390800,8388630,1.41028,2097150,0.707453,0,0,0,0,47.7431,100.025,0,0,0,520094000,167772000,134218000,67108900,0,29360100,0,2.29866,0,0,1.7682,0,4.95134,32,100,1024,0,0,0,28
mtran,18220,16777216,32,1,0,0,0,2,16,2,64,1,30.5396,67109900,8388660,3.94218,33556100,8388730,0.129586,2097150,0.0652052,0,0,0,0,49.786,100.606,0,0,0,704774000,167772000,134218000,100663000,33554400,38797300,0,0.307857,0,0.194436,0.16203,0,0.599557,32,100,1024,0,0,0,28
mtran,1769,67108864,64,1,0,0,0,2,32,2,32,0,71.8369,8388780,8385710,38.9427,30889100,8388680,1.37106,2097150,2.75774,0,0,0,0,89.2902,99.9558,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,2.75896,0,0,2.75896,0,5.17335,32,100,1024,0,0,0,8
mtran,16196,67108864,64,1,0,0,0,2,32,2,32,1,34.504,67109700,8388630,4.45476,33555800,8388680,0.146291,2097150,0.294629,0,0,0,0,96.9654,99.9964,0,0,0,1275330000,67108900,134218000,402653000,134218000,69206000,0,0.81026,0,0.88392,0.29464,0,1.21542,32,100,1024,0,0,0,10
mtran,1622,33554432,64,1,0,0,0,2,32,2,64,0,78.9135,8388630,8387590,42.7064,30839800,8388680,1.48375,2097150,3.02692,0,0,0,0,93.7232,99.7149,0,0,0,872415000,167772000,134218000,167772000,0,52428800,0,7.58895,0,0,3.03558,0,9.48652,32,100,1024,0,0,0,28
mtran,19413,33554432,64,1,0,0,0,2,32,2,64,1,28.6707,67110200,8388930,3.68012,33555300,8389110,0.12216,2097150,0.243273,0,0,0,0,97.5007,99.8949,0,0,0,1241780000,167772000,134218000,234881000,67108900,71303200,0,0.791468,0,0.365293,0.243529,0,1.03502,32,100,1024,0,0,0,28
mtran,1557,67108864,128,1,0,0,0,2,64,2,64,0,86.2678,8388620,8388580,49.3218,32943100,8388630,1.65464,2097150,3.3145,0,0,0,0,85.9262,99.977,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,3.31526,0,0,3.31526,0,6.21659,32,100,1024,0,0,0,8
mtran,16156,67108864,128,1,0,0,0,2,64,2,64,1,34.5324,67109600,8388730,4.43816,33554700,8388780,0.146732,2097150,0.293268,0,0,0,0,94.9102,99.9199,0,0,0,1275590000,67108900,134218000,402653000,134218000,69206000,0,0.807133,0,0.880509,0.293503,0,1.21074,32,100,1024,0,0,0,10
mtran,3593,67108864,32,1,0,0,0,4,8,4,8,0,36.2114,8388620,8379640,11.1984,14010900,8388630,0.700269,2097150,1.38662,0,0,0,0,42.901,94.8073,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,1.46256,0,0,1.46256,0,2.74239,32,100,1024,0,0,0,8
mtran,4143,67108864,32,1,0,0,0,4,8,4,8,1,37.2918,12234000,8388860,10.5605,16756500,8388630,0.592235,2097150,1.16566,0,0,0,0,45.4621,96.8325,0,0,0,1275130000,67108900,134218000,402653000,134218000,69206000,0,3.31041,0,3.61136,1.20379,0,4.96569,32,100,1024,0,0,0,10
mtran,2654,33554432,32,1,0,0,0,4,8,4,16,0,49.4569,8388630,8382970,16.193,15256200,8388680,0.926835,2097150,1.89994,0,0,0,0,46.4789,100.025,0,0,0,872415000,167772000,134218000,167772000,0,52428800,0,4.74866,0,0,1.89946,0,5.93592,32,100,1024,0,0,0,28
mtran,9027,33554432,32,1,0,0,0,4,8,4,16,1,31.6186,30427900,8388630,4.73655,16778300,8388630,0.260995,2097150,0.522073,0,0,0,0,49.1286,100.007,0,0,0,1241580000,167772000,134218000,234881000,67108900,71303200,0,1.69662,0,0.783055,0.522037,0,2.21869,32,100,1024,0,0,0,28
mtran,1902,16777216,32,1,0,0,0,4,8,4,32,0,67.4318,8388620,8388680,22.7709,16021800,8388630,1.24417,2097150,0.648065,0,0,0,0,47.9164,99.8819,0,0,0,520094000,167772000,134218000,67108900,0,29360100,0,2.1087,0,0,1.62208,0,4.54217,32,100,1024,0,0,0,28
mtran,8912,16777216,32,1,0,0,0,4,8,4,32,1,34.9159,33555200,8388500,4.86643,16778200,8388680,0.267314,2097150,0.133978,0,0,0,0,49.5633,99.9828,0,0,0,704709000,167772000,134218000,100663000,33554400,38797300,0,0.636503,0,0.402002,0.335001,0,1.2396,32,100,1024,0,0,0,28
mtran,1921,8388608,32,1,0,0,0,4,8,4,64,0,67.4587,8388620,8388630,22.5455,15795500,8388630,1.26869,2097150,0.323436,0,0,0,0,48.9548,100.016,0,0,0,385876000,75497500,134218000,33554400,0,20709400,0,1.69777,0,0,1.45523,0,3.19387,32,100,1024,0,0,0,28
mtran,8720,8388608,32,1,0,0,0,4,8,4,64,1,35.6129,33554900,8388590,4.93947,16777400,8388680,0.27186,2097150,0.0680272,0,0,0,0,49.7629,99.9119,0,0,0,486605000,75497500,134218000,41943000,16777200,25428000,0,0.459588,0,0.204261,0.306392,0,0.825653,32,100,1024,0,0,0,28
mtran,2376,67108864,64,1,0,0,0,4,16,4,16,0,54.6082,8388620,8381160,17.4659,14806500,8388630,1.02323,2097150,2.09552,0,0,0,0,91.8077,99.921,0,0,0,402653000,67108900,134218000,402653000,0,31457300,0,2.09718,0,0,2.09718,0,3.93243,32,100,1024,0,0,0,8
