Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,23030,67108864,32,1,0,0,0,1,32,1,32,0,2,8688227,8388608,1,67119276,8388609,0,0,0,0,0,0,0,0,0.232563,99.9947,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,4,0,12.1508,1024,0,0,0,6
mtran,62786,67108864,32,1,0,0,0,1,32,1,32,1,3,68148908,8388608,1,67115143,8388609,0,0,0,0,0,0,0,0,0.24388,99.998,67108864,0,1141112800,67108864,134217728,469762048,134217728,69206016,0,0,1,3,0,9.96297,1024,0,0,0,6
mtran,22662,33554432,32,1,0,0,0,1,32,1,64,0,2,8836430,8388608,1,67118463,8388609,0,0,0,0,0,0,0,0,0.241297,99.9942,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,4,0,14.6602,1024,0,0,0,26
mtran,62834,33554432,32,1,0,0,0,1,32,1,64,1,3,68242870,8388608,1,67115259,8388609,0,0,0,0,0,0,0,0,0.246941,99.9974,33554432,0,1174667232,33554432,134217728,402653184,67108864,75497472,0,0,1,4,0,10.154,1024,0,0,0,26
mtran,17645,67108864,64,1,0,0,0,1,64,1,64,0,2,8687674,8388608,2,67118059,8388609,0,0,0,0,0,0,0,0,0.456675,99.9918,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,6,0,16.4132,1024,0,0,0,6
mtran,75697,67108864,64,1,0,0,0,1,64,1,64,1,2,68589398,8388608,1,67112347,8388609,0,0,0,0,0,0,0,0,0.482102,99.9968,67108864,0,1141374912,67108864,134217728,469762048,134217728,69206016,0,0,1,4,0,10.7795,1024,0,0,0,6
mtran,16015,67108864,32,1,0,0,0,2,16,2,16,0,2,8688150,8388608,1,33564443,8388609,0,0,0,0,0,0,0,0,0.224403,99.992,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,3,0,11.5403,1024,0,0,0,6
mtran,34633,67108864,32,1,0,0,0,2,16,2,16,1,3,34149768,8388608,1,33562335,8388609,0,0,0,0,0,0,0,0,0.238971,99.9962,67108864,0,1140981728,67108864,134217728,469762048,134217728,69206016,0,0,1,2,0,8.51174,1024,0,0,0,6
mtran,15837,33554432,32,1,0,0,0,2,16,2,32,0,2,8688350,8388608,1,33565187,8388609,0,0,0,0,0,0,0,0,0.23728,99.9915,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,4,0,14.412,1024,0,0,0,26
mtran,32873,33554432,32,1,0,0,0,2,16,2,32,1,3,34150132,8388608,1,33562015,8388609,0,0,0,0,0,0,0,0,0.24423,99.9962,33554432,0,1174536160,33554432,134217728,402653184,67108864,75497472,0,0,1,2,0,8.87661,1024,0,0,0,26
mtran,14441,16777216,32,1,0,0,0,2,16,2,64,0,2,8688486,8388608,1,33564995,8388609,0,0,0,0,0,0,0,0,0.243256,99.9893,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,4,0,12.4502,1024,0,0,0,26
mtran,33369,16777216,32,1,0,0,0,2,16,2,64,1,3,34150104,8388608,1,33560975,8388609,0,0,0,0,0,0,0,0,0.247151,99.9954,16777216,0,738328544,16777216,134217728,268435456,33554432,42467328,0,0,1,2,0,7.05727,1024,0,0,0,26
mtran,11075,67108864,64,1,0,0,0,2,32,2,32,0,3,8688306,8388608,2,33566471,8388609,0,0,0,0,0,0,0,0,0.448324,99.988,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,6,0,18.8878,1024,0,0,0,6
mtran,32829,67108864,64,1,0,0,0,2,32,2,32,1,3,34145144,8388608,1,33560267,8388609,0,0,0,0,0,0,0,0,0.46611,99.9958,67108864,0,1141112768,67108864,134217728,469762048,134217728,69206016,0,0,1,4,0,14.4178,1024,0,0,0,6
mtran,10564,33554432,64,1,0,0,0,2,32,2,64,0,3,8391840,8388608,2,33566219,8388609,0,0,0,0,0,0,0,0,0.470357,99.9877,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,6,0,23.7497,1024,0,0,0,26
mtran,32404,33554432,64,1,0,0,0,2,32,2,64,1,3,34149568,8388608,1,33559527,8388609,0,0,0,0,0,0,0,0,0.475736,99.9949,33554432,0,1174667200,33554432,134217728,402653184,67108864,75497472,0,0,1,5,0,14.8624,1024,0,0,0,26
mtran,9443,67108864,128,1,0,0,0,2,64,2,64,0,4,8687666,8388608,2,33564395,8388609,0,0,0,0,0,0,0,0,0.833324,99.9858,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,6,0,21.3218,1024,0,0,0,6
mtran,33292,67108864,128,1,0,0,0,2,64,2,64,1,3,34105476,8388608,1,33558175,8388609,0,0,0,0,0,0,0,0,0.947537,99.9941,67108864,0,1141374848,67108864,134217728,469762048,134217728,69206016,0,0,1,5,0,15.0115,1024,0,0,0,6
mtran,20659,67108864,32,1,0,0,0,4,8,4,8,0,2,8687167,8388608,1,16783979,8388609,0,0,0,0,0,0,0,0,0.230494,99.9929,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,2,0,7.21311,1024,0,0,0,6
mtran,24373,67108864,32,1,0,0,0,4,8,4,8,1,2,17218528,8388608,1,16784767,8388609,0,0,0,0,0,0,0,0,0.234075,99.9936,67108864,0,1140916192,67108864,134217728,469762048,134217728,69206016,0,0,1,2,0,9.93416,1024,0,0,0,6
mtran,18309,33554432,32,1,0,0,0,4,8,4,16,0,2,8687454,8388608,1,16785799,8388609,0,0,0,0,0,0,0,0,0.239271,99.9932,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,2,0,10.4825,1024,0,0,0,26
mtran,21731,33554432,32,1,0,0,0,4,8,4,16,1,2,17075982,8388608,1,16785667,8388609,0,0,0,0,0,0,0,0,0.241081,99.9942,33554432,0,1174470624,33554432,134217728,402653184,67108864,75497472,0,0,1,2,0,10.923,1024,0,0,0,26
mtran,19430,16777216,32,1,0,0,0,4,8,4,32,0,2,8687899,8388608,1,16786327,8388609,0,0,0,0,0,0,0,0,0.24497,99.9932,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,2,0,7.31773,1024,0,0,0,26
mtran,21615,16777216,32,1,0,0,0,4,8,4,32,1,2,17076322,8388608,1,16785507,8388609,0,0,0,0,0,0,0,0,0.24552,99.9925,16777216,0,738263008,16777216,134217728,268435456,33554432,42467328,0,0,1,2,0,7.64415,1024,0,0,0,26
mtran,17645,8388608,32,1,0,0,0,4,8,4,64,0,2,8691420,8388608,1,16786171,8388609,0,0,0,0,0,0,0,0,0.247208,99.9927,0,0,369098752,8388608,134217728,125829120,0,21233664,0,0,1,2,0,6.44298,1024,0,0,0,24
mtran,22932,8388608,32,1,0,0,0,4,8,4,64,1,2,17276918,8388610,1,16784415,8388609,0,0,0,0,0,0,0,0,0.247895,99.9926,8388608,0,444661728,8388608,134217728,134217728,16777216,25427968,0,0,1,2,0,5.4258,1024,0,0,0,24
mtran,12873,67108864,64,1,0,0,0,4,16,4,16,0,3,8687282,8388608,1,16784567,8388609,0,0,0,0,0,0,0,0,0.455338,99.9885,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,4,0,13.9279,1024,0,0,0,6
mtran,20278,67108864,64,1,0,0,0,4,16,4,16,1,3,17075730,8388608,1,16784283,8388609,0,0,0,0,0,0,0,0,0.467738,99.9918,67108864,0,1140981696,67108864,134217728,469762048,134217728,69206016,0,0,1,2,0,12.7286,1024,0,0,0,6
mtran,13816,33554432,64,1,0,0,0,4,16,4,32,0,3,8539408,8388608,1,16785139,8388609,0,0,0,0,0,0,0,0,0.473732,99.9905,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,4,0,16.7625,1024,0,0,0,26
mtran,19045,33554432,64,1,0,0,0,4,16,4,32,1,3,17076306,8388608,1,16785027,8388609,0,0,0,0,0,0,0,0,0.478369,99.9914,33554432,0,1174536128,33554432,134217728,402653184,67108864,75497472,0,0,1,3,0,13.1404,1024,0,0,0,26
mtran,13605,16777216,64,1,0,0,0,4,16,4,64,0,3,8687613,8388608,1,16784815,8388609,0,0,0,0,0,0,0,0,0.481305,99.99,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,4,0,12.5018,1024,0,0,0,26
mtran,19816,16777216,64,1,0,0,0,4,16,4,64,1,3,17217356,8388608,1,16784391,8388609,0,0,0,0,0,0,0,0,0.483976,99.9903,16777216,0,738328512,16777216,134217728,268435456,33554432,42467328,0,0,1,3,0,9.45289,1024,0,0,0,26
mtran,11312,67108864,128,1,0,0,0,4,32,4,32,0,3,8543943,8388606,1,16785163,8388609,0,0,0,0,0,0,0,0,0.867413,99.9869,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,7,0,21.7289,1024,0,0,0,6
mtran,18198,67108864,128,1,0,0,0,4,32,4,32,1,3,17076030,8388608,1,16784511,8388609,0,0,0,0,0,0,0,0,0.900393,99.9884,67108864,0,1141112704,67108864,134217728,469762048,134217728,69206016,0,0,1,5,0,20.6721,1024,0,0,0,6
mtran,12046,33554432,128,1,0,0,0,4,32,4,64,0,3,8687333,8388608,1,16785171,8388609,0,0,0,0,0,0,0,0,0.906705,99.9876,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,7,0,24.9746,1024,0,0,0,26
mtran,18575,33554432,128,1,0,0,0,4,32,4,64,1,3,17076462,8388608,1,16784775,8388609,0,0,0,0,0,0,0,0,0.926105,99.99,33554432,0,1174667136,33554432,134217728,402653184,67108864,75497472,0,0,1,5,0,19.6395,1024,0,0,0,26
