Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,36544,67108864,32,1,0,0,0,1,32,1,32,0,2,8909939,8392848,2,67765506,8388612,1,8388608,0,0,0,0,0,0,0,0.474882,99.9962,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,6.34361,100,100,1024,0,0,0,7
mtran,76590,67108864,32,1,0,0,0,1,32,1,32,1,5,68408635,8419008,1,68412699,8388612,1,8388608,0,0,0,0,0,0,0,0.491223,99.9982,67108864,0,2483290080,67108864,134217728,402653184,134217728,109051904,1,0,0,0,1,1,1,1,7.15042,100,94.2383,1024,0,0,0,9
mtran,39065,33554432,32,1,0,0,0,1,32,1,64,0,2,8909143,8395801,2,67762641,8388612,1,8388608,0,0,0,0,0,0,0,0.491199,99.9951,0,0,1241513984,167772160,134217728,268435456,0,74448896,1,0,0,0,0,1,1,1,9.68521,100,76.0563,1024,0,0,0,23
mtran,77657,33554432,32,1,0,0,0,1,32,1,64,1,4,68408039,8418711,1,68409723,8388612,1,8388608,0,0,0,0,0,0,0,0.496013,99.9976,33554432,0,2013528032,167772160,134217728,301989888,67108864,105906176,1,0,0,0,1,1,1,1,6.83376,100,80.2058,1024,0,0,0,23
mtran,40183,67108864,64,1,0,0,0,1,64,1,64,0,2,8909195,8395573,1,67633265,8388612,1,8388608,0,0,0,0,0,0,0,0.915431,99.9954,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,6.04679,100,100,1024,0,0,0,7
mtran,77680,67108864,64,1,0,0,0,1,64,1,64,1,4,68278323,8418248,1,68410295,8388612,1,8388608,0,0,0,0,0,0,0,0.842646,99.9973,67108864,0,2483552192,67108864,134217728,402653184,134217728,109051904,1,0,0,0,1,1,1,1,7.04256,100,94.2458,1024,0,0,0,9
mtran,13066,67108864,32,1,0,0,0,2,16,2,16,0,6,8520789,8394713,2,33820851,8388612,1,8388608,0,0,0,0,0,0,0,0.390367,99.9892,0,0,939524096,67108864,134217728,335544320,0,46137344,2,0,0,0,0,1,1,2,18.4689,100,100,1024,0,0,0,7
mtran,41895,67108864,32,1,0,0,0,2,16,2,16,1,5,34335215,8413187,1,34338895,8388612,1,8388608,0,0,0,0,0,0,0,0.484421,99.9967,67108864,0,2483159008,67108864,134217728,402653184,134217728,109051904,2,0,0,0,1,1,1,1,13.0955,100,94.2345,1024,0,0,0,9
mtran,13936,33554432,32,1,0,0,0,2,16,2,32,0,5,8650349,8398309,2,33820383,8388612,1,8388608,0,0,0,0,0,0,0,0.47111,99.988,0,0,1241513984,167772160,134217728,268435456,0,74448896,3,0,0,0,0,1,1,2,27.1075,100,76.0563,1024,0,0,0,23
mtran,40811,33554432,32,1,0,0,0,2,16,2,32,1,5,34335375,8418621,1,34339643,8388612,1,8388608,0,0,0,0,0,0,0,0.49385,99.9961,33554432,0,2013396960,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,13.0538,100,80.2019,1024,0,0,0,23
