Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,4550,16384,64,64,1,0,0,0,0,0,1,1,21781,16384,2,16793903,16385,0,0,0,0,0,0,0,0,0.499117,99.9437,3758325760,0,88293376,16777216,268500992,8634368,0,129523712,31.5685,0,1,3,0,69.1549,1024,0,0,0,32
nbody_kernel,3130,16384,64,64,1,0,0,0,1,0,1,1,170062,16384,1,2113910,16385,0,0,0,98.4722,16777216,526510,0,0,0.494919,99.5285,3758325760,0,25378816,4194304,289472512,8634368,0,127688704,46.0614,0,1,4,0,84.9809,1024,1024,0,0,40
nbody_kernel,9820,16384,64,64,1,0,0,1,0,0,1,1,315090,16384,1,33568902,16385,0,0,0,0,0,0,0,0,0.499777,99.8317,3758325760,0,826654720,67108864,1073889280,4456448,0,179208192,14.6256,0,1,5,0,43.2326,1024,0,0,0,32
nbody_kernel,5143,16384,64,64,1,0,0,1,0,0,2,1,19676,16384,1,16791670,16385,0,0,0,0,0,0,0,0,0.499216,99.9338,3758374912,0,816168960,67108864,537018368,2457600,0,161976832,27.6419,0,1,5,0,68.2187,1024,0,0,0,40
nbody_kernel,4039,16384,64,64,1,0,0,1,0,0,4,1,159776,16384,2,16791750,16385,0,0,0,0,0,0,0,0,0.497436,99.8384,3758473216,0,179666944,16777216,268582912,2670592,0,132101632,35.2546,0,1,3,0,75.1408,1024,0,0,0,56
nbody_kernel,3049,16384,64,64,1,0,0,1,1,0,1,1,298330,16384,1,2111878,16385,0,0,0,98.467,16777216,527425,0,0,0.494323,99.4418,3758325760,0,50708480,4194304,302137344,8650752,0,128876544,46.9574,0,1,4,0,86.5738,1024,1024,0,0,40
nbody_kernel,3134,16384,64,64,1,0,0,1,1,0,2,1,167800,16384,1,2112150,16385,0,0,0,99.9514,16777216,270437,0,0,0.488487,98.579,3758374912,0,25542656,2097152,285360128,6651904,0,127439360,45.0868,0,1,4,0,82.987,1024,2048,0,0,48
nbody_kernel,3786,16384,64,64,1,0,0,1,1,0,4,1,163752,16384,1,2111686,16385,0,0,0,99.9742,16777216,266537,0,0,0.338523,93.6918,3758473216,0,113606656,16777216,276971520,8962048,0,130496000,38.0594,0,1,3,0,77.1908,1024,4096,0,0,56
nbody_kernel,4507,16384,64,64,1,0,1,0,0,0,1,1,169930,16384,2,16793766,16385,0,0,0,0,0,0,0,0,0.499072,99.9364,3758325760,0,88293376,16777216,268500992,8634368,0,129523712,31.5215,0,1,3,0,69.0758,1024,0,0,0,32
nbody_kernel,3129,16384,64,64,1,0,1,0,1,0,1,1,21908,16384,1,2113910,16385,0,0,0,98.4737,16777216,526242,0,0,0.495176,99.3737,3758325760,0,25378816,4194304,289472512,8634368,0,127688704,46.0043,0,1,4,0,85.0071,1024,1024,0,0,40
