Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,14053,16384,64,64,1,0,0,0,0,0,1,1,267928,6221,1,8664719,16386,10,134234112,0,0,0,0,0,0,0,0.999405,99.9885,3758325760,0,92553216,16777216,268500992,205733888,0,135816192,5,28.1086,0,0,2,1,1,3,46.468,100,99.9027,1024,0,0,0,32
nbody_kernel,6373,16384,64,64,1,0,0,0,1,0,1,0,0,0,1,2113560,16386,1,2113536,0,6,9.09091,16777216,524288,0,0,0.716511,99.4643,3758325760,0,29638656,4194304,289472512,8601600,0,127820800,10,62.2228,0,0,3,1,2,1,94.61,100,99.9992,1024,1024,0,0,40
nbody_kernel,14083,16384,64,64,1,0,0,1,0,0,1,1,227716,76,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.992783,99.8757,3758325760,0,826753024,67108864,1073889280,541294592,0,195987456,6,28.0011,0,0,2,1,1,10,59.5343,100,99.9326,1024,0,0,0,32
nbody_kernel,14491,16384,64,64,1,0,0,1,0,0,2,1,259458,0,1,17051154,16386,10,134232064,0,0,0,0,0,0,0,0.687909,96.9633,3758374912,0,816267264,67108864,537018368,203751424,0,168270336,6,27.2673,0,0,2,1,1,6,51.7349,100,99.9604,1024,0,0,0,40
nbody_kernel,14500,16384,64,64,1,0,0,1,0,0,4,1,259458,16,1,8662426,16386,10,134232064,0,0,0,0,0,0,0,0.52271,97.7184,3758473216,0,181878784,16777216,268582912,85475328,0,134758400,5,27.2666,0,0,2,1,1,3,45.3419,100,99.9749,1024,0,0,0,56
nbody_kernel,6372,16384,64,64,1,0,0,1,1,0,1,0,0,0,1,2111608,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.71047,97.6602,3758325760,0,59195392,4194304,302137344,12812288,0,129271808,10,60.3412,0,0,3,1,2,1,95.8083,100,99.9992,1024,1024,0,0,40
nbody_kernel,6561,16384,64,64,1,0,0,1,1,0,2,1,2,16,1,2241248,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.579517,99.6989,3758374912,0,29835264,2097152,285360128,6619136,0,127572480,10,61.9821,0,0,3,1,2,1,93.8139,100,99.9992,1024,2048,0,0,48
nbody_kernel,6405,16384,64,64,1,0,0,1,1,0,4,1,88,0,1,2111680,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.488717,99.952,3758473216,0,115818496,16777216,276971520,8929280,0,130564096,10,61.8971,0,0,3,1,2,1,95.3887,100,99.9741,1024,4096,0,0,57
nbody_kernel,14068,16384,64,64,1,0,1,0,0,0,1,1,259468,120,1,8664474,16386,10,134234112,0,0,0,0,0,0,0,0.999708,99.9895,3758325760,0,92553216,16777216,268500992,205733888,0,135816192,5,28.1173,0,0,2,1,1,3,46.4819,100,99.9027,1024,0,0,0,32
nbody_kernel,6361,16384,64,64,1,0,1,0,1,0,1,1,259458,0,1,2373018,16386,1,2113536,0,6,9.09091,16777216,524288,0,0,0.71739,99.6229,3758325760,0,29638656,4194304,289472512,8601600,0,127820800,10,62.4866,0,0,3,1,2,1,94.86,100,99.9992,1024,1024,0,0,40
nbody_kernel,14084,16384,64,64,1,0,1,1,0,0,1,1,129732,16,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.993331,99.9289,3758325760,0,826753024,67108864,1073889280,541294592,0,195987456,6,28.017,0,0,2,1,1,10,59.5363,100,99.9326,1024,0,0,0,32
