DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=20, mode=live)
==================================================================================
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/1.0/10000            22.615       17.039      5.58
680/10000/1.0/1000000          42.777       36.381      6.40
680/10000000/1.0/10000         28.036       28.237     -0.20
680/10000000/1.0/1000000       27.426       26.159      1.27
750/10000/1.0/100              17.863       22.042     -4.18
750/10000/1.0/1000              9.878       21.653    -11.78
750/10000/1.0/10000            18.553       18.576     -0.02
750/10000/1.0/100000           10.316       10.677     -0.36
750/10000/1.0/1000000          26.808       24.667      2.14
750/1000000/1.0/100000         26.205       28.312     -2.11
750/1000000/1.0/1000000        27.669       21.012      6.66
750/10000000/1.0/100           23.396       31.491     -8.10
750/10000000/1.0/1000          31.100       31.488     -0.39
750/10000000/1.0/10000         24.118       31.496     -7.38
750/10000000/1.0/1000000       30.637       28.454      2.18
1070/10000/1.0/100             26.103       31.222     -5.12
1070/10000/1.0/1000            28.098       28.759     -0.66
1070/10000/1.0/10000           15.779       18.210     -2.43
1070/10000/1.0/100000          13.327       14.950     -1.62
1070/10000/1.0/1000000        122.755      121.585      1.17
1070/1000000/1.0/100000        31.149       33.007     -1.86
1070/1000000/1.0/1000000       15.326       19.182     -3.86
1070/10000000/1.0/100          42.509       41.809      0.70
1070/10000000/1.0/1000         42.886       41.784      1.10
1070/10000000/1.0/10000        33.689       41.639     -7.95
1070/10000000/1.0/1000000       38.357       33.070      5.29
2080/10000/1.0/100             20.174       20.200     -0.03
2080/10000/1.0/1000            17.557       19.535     -1.98
2080/10000/1.0/10000           16.399       15.651      0.75
2080/10000/1.0/100000           6.869        8.156     -1.29
2080/10000/1.0/1000000         27.220       26.694      0.53
2080/1000000/1.0/100000        27.277       24.905      2.37
2080/1000000/1.0/1000000       21.661       17.364      4.30
2080/10000000/1.0/100          27.013       27.784     -0.77
2080/10000000/1.0/1000         31.542       27.780      3.76
2080/10000000/1.0/10000        28.720       27.756      0.96
2080/10000000/1.0/1000000       31.436       25.007      6.43
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 3.07 pp over 37 configs (mode=live)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1

results written to: total_runtime_results.txt
