DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=live)
==================================================================================
seed_base=1
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/1.0/10000            16.767       17.039     -0.27
680/10000/1.0/1000000          36.358       36.381     -0.02
680/10000000/1.0/10000         28.521       28.237      0.28
680/10000000/1.0/1000000       25.077       26.159     -1.08
750/10000/1.0/100              22.880       22.042      0.84
750/10000/1.0/1000             21.438       21.653     -0.22
750/10000/1.0/10000            18.318       18.576     -0.26
750/10000/1.0/100000           10.097       10.677     -0.58
750/10000/1.0/1000000          24.519       24.667     -0.15
750/1000000/1.0/100000         27.330       28.312     -0.98
750/1000000/1.0/1000000        19.819       21.012     -1.19
