DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=15, mode=live)
==================================================================================
seed_base=3
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/1.0/10000            16.181       17.039     -0.86
680/10000/1.0/1000000          34.900       36.381     -1.48
680/10000000/1.0/10000         35.713       28.237      7.48
680/10000000/1.0/1000000       20.669       26.159     -5.49
750/10000/1.0/100              28.052       22.042      6.01
750/10000/1.0/1000             20.157       21.653     -1.50
750/10000/1.0/10000            15.723       18.576     -2.85
750/10000/1.0/100000            6.545       10.677     -4.13
750/10000/1.0/1000000          23.615       24.667     -1.05
750/1000000/1.0/100000         22.795       28.312     -5.52
750/1000000/1.0/1000000        21.458       21.012      0.45
750/10000000/1.0/100           29.636       31.491     -1.86
750/10000000/1.0/1000          43.127       31.488     11.64
750/10000000/1.0/10000         29.162       31.496     -2.33
750/10000000/1.0/1000000       19.640       28.454     -8.81
1070/10000/1.0/100             28.976       31.222     -2.25
1070/10000/1.0/1000            33.765       28.759      5.01
1070/10000/1.0/10000           25.428       18.210      7.22
1070/10000/1.0/100000          17.561       14.950      2.61
1070/10000/1.0/1000000        129.772      121.585      8.19
1070/1000000/1.0/100000        44.119       33.007     11.11
1070/1000000/1.0/1000000       11.757       19.182     -7.43
1070/10000000/1.0/100          38.606       41.809     -3.20
1070/10000000/1.0/1000         40.766       41.784     -1.02
1070/10000000/1.0/10000        39.051       41.639     -2.59
1070/10000000/1.0/1000000       37.105       33.070      4.04
2080/10000/1.0/100             16.641       20.200     -3.56
2080/10000/1.0/1000            24.294       19.535      4.76
2080/10000/1.0/10000           12.730       15.651     -2.92
2080/10000/1.0/100000          15.496        8.156      7.34
2080/10000/1.0/1000000         25.128       26.694     -1.57
2080/1000000/1.0/100000        22.079       24.905     -2.83
2080/1000000/1.0/1000000       23.350       17.364      5.99
2080/10000000/1.0/100          28.827       27.784      1.04
2080/10000000/1.0/1000         30.408       27.780      2.63
2080/10000000/1.0/10000        23.674       27.756     -4.08
2080/10000000/1.0/1000000       30.033       25.007      5.03
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 4.27 pp over 37 configs (mode=live)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1
