config                         seed1     seed2     seed3     seed4     seed5    Python   spread       sd
-------------------------------------------------------------------------------------------
680/10000/0.5/10000             7.22      6.83      7.36      7.19      7.37      6.72     0.54     0.19
680/10000/0.5/1000000          35.96     36.71     35.96     36.20     36.22     37.13     0.75     0.27
680/10000000/0.5/10000          1.16      1.20      1.19      1.27      1.11      0.91     0.16     0.05
680/10000000/0.5/1000000        3.16      3.16      3.11      3.23      2.99      2.99     0.23     0.08
750/10000/0.5/100               5.92      5.93      5.86      5.70      5.80      5.51     0.22     0.08
750/10000/0.5/1000              6.73      6.61      6.45      6.89      6.45      6.21     0.44     0.17
750/10000/0.5/10000             9.85     10.18     11.36     10.76     10.50     10.03     1.50     0.51
750/10000/0.5/100000           10.23     11.12     10.98     10.76     10.55     10.28     0.89     0.31
750/10000/0.5/1000000          25.03     24.78     24.77     24.70     25.27     25.69     0.58     0.21
750/1000000/0.5/100000          6.24      6.73      6.55      6.46      6.58      6.63     0.49     0.16
750/1000000/0.5/1000000        11.07     11.52     11.77     10.97     11.51     11.62     0.81     0.30
750/10000000/0.5/100            1.29      1.16      1.32      1.32      1.36      1.37     0.20     0.07
750/10000000/0.5/1000           1.34      1.35      1.37      1.43      1.24      1.38     0.19     0.06
750/10000000/0.5/10000          1.36      1.36      1.43      1.42      1.41      1.32     0.07     0.03
750/10000000/0.5/1000000        6.63      6.74      7.05      6.76      6.83      6.96     0.42     0.14
1070/10000/0.5/100              7.97      8.51      7.93      8.13      8.27      7.89     0.58     0.21
1070/10000/0.5/1000             9.07      9.16      9.37      9.25      9.28      9.23     0.30     0.10
1070/10000/0.5/10000           11.01     10.75     10.90     10.82     11.15     11.13     0.40     0.14
1070/10000/0.5/100000          14.78     15.26     15.16     14.58     15.29     15.10     0.71     0.28
1070/10000/0.5/1000000        123.90    122.29    122.66    122.95    122.28    125.70     1.62     0.60
1070/1000000/0.5/100000         7.31      7.25      7.42      7.00      7.49      6.84     0.48     0.17
1070/1000000/0.5/1000000       10.94     11.23     10.59     10.53     10.79     10.75     0.70     0.25
1070/10000000/0.5/100           1.13      1.12      1.11      1.14      1.04      0.99     0.10     0.04
1070/10000000/0.5/1000          1.14      1.04      1.21      1.09      1.01      1.04     0.20     0.07
1070/10000000/0.5/10000         1.25      1.29      1.44      1.25      1.39      1.29     0.19     0.08
1070/10000000/0.5/1000000       7.39      7.03      7.51      7.09      7.60      7.61     0.58     0.23
2080/10000/0.5/100              6.52      6.27      6.40      6.33      6.39      6.29     0.25     0.08
2080/10000/0.5/1000             6.89      6.91      6.76      6.65      7.11      6.99     0.47     0.16
2080/10000/0.5/10000            9.42      8.86      9.24      8.87      9.15      9.52     0.56     0.22
2080/10000/0.5/100000           8.08      8.55      7.92      8.44      8.40      8.35     0.62     0.24
2080/10000/0.5/1000000         27.20     27.02     26.62     26.50     26.68     27.36     0.70     0.26
2080/1000000/0.5/100000         7.67      7.36      7.79      7.03      7.49      7.68     0.75     0.26
2080/1000000/0.5/1000000        9.85      9.77      9.57     10.12      9.70     10.93     0.55     0.18
2080/10000000/0.5/100           1.57      1.41      1.34      1.50      1.37      1.17     0.23     0.08
2080/10000000/0.5/1000          1.46      1.30      1.31      1.36      1.51      1.25     0.21     0.08
2080/10000000/0.5/10000         1.43      1.54      1.53      1.48      1.60      1.52     0.17     0.06
2080/10000000/0.5/1000000       7.27      7.35      7.39      7.60      7.24      8.00     0.36     0.12
-------------------------------------------------------------------------------------------
mean spread across seeds: 0.49 pp over 37 configs
