DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=hist)
==================================================================================
seed_base=1
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/0.0/10000             6.806        6.674      0.13
680/10000/0.0/1000000          37.716       37.521      0.20
680/10000000/0.0/10000          5.299        4.784      0.51
680/10000000/0.0/1000000        5.747        6.623     -0.88
750/10000/0.0/100              15.754       15.057      0.70
750/10000/0.0/1000             16.070       14.826      1.24
750/10000/0.0/10000            14.147       14.003      0.14
750/10000/0.0/100000           11.032       10.617      0.41
750/10000/0.0/1000000          25.650       25.746     -0.10
750/1000000/0.0/100000         19.262       19.425     -0.16
750/1000000/0.0/1000000        15.574       15.078      0.50
750/10000000/0.0/100           20.836       20.826      0.01
750/10000000/0.0/1000          21.769       20.839      0.93
750/10000000/0.0/10000         22.228       22.304     -0.08
750/10000000/0.0/1000000       19.944       19.163      0.78
1070/10000/0.0/100              6.972        6.762      0.21
1070/10000/0.0/1000             7.931        7.673      0.26
1070/10000/0.0/10000            9.397        9.121      0.28
1070/10000/0.0/100000          14.802       14.881     -0.08
1070/10000/0.0/1000000        127.934      129.640     -1.71
1070/1000000/0.0/100000         6.335        6.863     -0.53
1070/1000000/0.0/1000000        9.437        9.437     -0.00
1070/10000000/0.0/100           3.678        3.547      0.13
1070/10000000/0.0/1000          4.277        3.664      0.61
1070/10000000/0.0/10000         4.457        4.156      0.30
1070/10000000/0.0/1000000        6.815        7.070     -0.26
2080/10000/0.0/100             14.010       13.960      0.05
2080/10000/0.0/1000            14.098       14.016      0.08
2080/10000/0.0/10000           11.667       11.236      0.43
2080/10000/0.0/100000           8.875        8.088      0.79
2080/10000/0.0/1000000         27.542       28.000     -0.46
2080/1000000/0.0/100000        17.093       17.225     -0.13
2080/1000000/0.0/1000000       12.141       13.028     -0.89
2080/10000000/0.0/100          18.375       18.058      0.32
2080/10000000/0.0/1000         18.343       17.999      0.34
2080/10000000/0.0/10000        17.405       17.279      0.13
2080/10000000/0.0/1000000       17.466       17.820     -0.35
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 0.41 pp over 37 configs (mode=hist)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1
